"Familia";"Especie";"Ação";"Situação"
Fabaceae;Albizia robsonii;1.1 Site/area protection;on going;
Fabaceae;Albizia robsonii;3.4 Ex-situ conservation;needed;
CYPERACEAE;Abildgaardia papillosa;1.1 Site/area protection;on going;
CYPERACEAE;Abildgaardia papillosa;4 Education & awareness;on going;
MALPIGHIACEAE;Acmanthera fernandesii;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus aggregatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Actinocephalus callophyllus;1.1 Site/area protection;;
ERIOCAULACEAE;Actinocephalus compactus;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus coutoensis;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus deflexus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Actinocephalus diffusus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Actinocephalus falcifolius;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus fimbriatus;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus glabrescens;1.1 Site/area protection;;
ERIOCAULACEAE;Actinocephalus graminifolius;1.1 Site/area protection;on going;
ERIOCAULACEAE;Actinocephalus herzogii;1.1 Site/area protection;on going;
ERIOCAULACEAE;Actinocephalus nodifer;1.1 Site/area protection;needed;
ERIOCAULACEAE;Actinocephalus robustus;1.1 Site/area protection;;
FABACEAE;Aeschynomene simplicifolia;1.1 Site/area protection;on going;
ALSTROEMERIACEAE;Alstroemeria chapadensis;1.1 Site/area protection;on going;
MALPIGHIACEAE;Amorimia velutina;1.1 Site/area protection;needed;
POACEAE;Andropogon campestris;1.1 Site/area protection;on going;
PLANTAGINACEAE;Angelonia pratensis;1.1 Site/area protection;on going;
ARACEAE;Anthurium megapetiolatum;1.1 Site/area protection;on going;
POLYGALACEAE;Asemeia pohliana;1.1 Site/area protection;;
POACEAE;Axonopus aureus;1.1 Site/area protection;on going;
POACEAE;Axonopus grandifolius;1.1 Site/area protection;needed;
MALPIGHIACEAE;Banisteriopsis arborea;1.1 Site/area protection;on going;
MALPIGHIACEAE;Banisteriopsis byssacea;1.1 Site/area protection;on going;
VELLOZIACEAE;Barbacenia blackii;1.1 Site/area protection;on going;
VELLOZIACEAE;Barbacenia fulva;1.1 Site/area protection;on going;
VELLOZIACEAE;Barbacenia glabra;1.1 Site/area protection;on going;
VELLOZIACEAE;Barbacenia lymansmithii;1.1 Site/area protection;on going;
FABACEAE;Bauhinia candelabriformis;1.1 Site/area protection;on going;
FABACEAE;Bauhinia malacotrichoides;1.1 Site/area protection;on going;
RUBIACEAE;Borreria amapaensis;1.1 Site/area protection;;
RUBIACEAE;Borreria burchellii;1.1 Site/area protection;on going;
RUBIACEAE;Borreria gracillima;1.1 Site/area protection;on going;
RUBIACEAE;Borreria guimaraesensis;1.1 Site/area protection;on going;
RUBIACEAE;Borreria paulista;1.1 Site/area protection;on going;
RUBIACEAE;Borreria rosmarinifolia;1.1 Site/area protection;on going;
RUBIACEAE;Borreria tocantinsiana;1.1 Site/area protection;needed;
VERBENACEAE;Bouchea chascanoides;1.1 Site/area protection;on going;
SOLANACEAE;Brunfelsia rupestris;1.1 Site/area protection;on going;
SCROPHULARIACEAE;Buddleja longiflora;1.1 Site/area protection;on going;
SCROPHULARIACEAE;Buddleja speciosissima;1.1 Site/area protection;on going;
CYPERACEAE;Bulbostylis lombardii;1.1 Site/area protection;on going;
MALPIGHIACEAE;Byrsonima cordifolia;1.1 Site/area protection;needed;
MALPIGHIACEAE;Byrsonima hatschbachii;1.1 Site/area protection;on going;
VOCHYSIACEAE;Callisthene erythroclada;1 Land/water protection;on going;
MELASTOMATACEAE;Cambessedesia cambessedesioides;1.1 Site/area protection;on going;
MELASTOMATACEAE;Cambessedesia salviifolia;1.1 Site/area protection;on going;
MELASTOMATACEAE;Cambessedesia semidecandra;1.1 Site/area protection;on going;
MELASTOMATACEAE;Chaetostoma inerme;1.1 Site/area protection;on going;
MELASTOMATACEAE;Chaetostoma selagineum;1.1 Site/area protection;on going;
MELASTOMATACEAE;Chaetostoma stenocladon;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista altoana;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista ericifolia;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista gymnothyrsa;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista leucopilis;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista pachyclada;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista phyllostachya;1.1 Site/area protection;on going;
FABACEAE;Chamaecrista psoraleopsis;1.1 Site/area protection;on going;
ASTERACEAE;Chrysolaena dusenii;1.1 Site/area protection;on going;
CACTACEAE;Cipocereus pleurocarpus;5.1.1 International level;on going;
CACTACEAE;Cipocereus pleurocarpus;2.1 Site/area management;needed;
ERIOCAULACEAE;Comanthera cipoensis;1.1 Site/area protection;on going;
ERIOCAULACEAE;Comanthera circinnata;1.1 Site/area protection;on going;
ERIOCAULACEAE;Comanthera floccosa;1.1 Site/area protection;needed;
ERIOCAULACEAE;Comanthera hatschbachii;1.1 Site/area protection;on going;
FABACEAE;Crotalaria rufipila;1.1 Site/area protection;on going;
EUPHORBIACEAE;Croton arlineae;1 Land/water protection;on going;
CYPERACEAE;Cryptangium humile;1.1 Site/area protection;on going;
CYPERACEAE;Cryptangium polyphyllum;1.1 Site/area protection;on going;
LYTHRACEAE;Cuphea cunninghamiifolia;1.1 Site/area protection;on going;
LYTHRACEAE;Cuphea disperma;1.1 Site/area protection;on going;
LYTHRACEAE;Cuphea glareosa;1.1 Site/area protection;on going;
LYTHRACEAE;Cuphea sclerophylla;1.1 Site/area protection;on going;
CYPERACEAE;Cyperus almensis;1.1 Site/area protection;on going;
FABACEAE;Desmodium glabrescens;2.1 Site/area management;on going;
FABACEAE;Desmodium juruenense;1.1 Site/area protection;on going;
POACEAE;Dichanthelium aequivaginatum;1.1 Site/area protection;on going;
POACEAE;Dichanthelium sendulskyii;1.1 Site/area protection;on going;
POACEAE;Digitaria pampinosa;1.1 Site/area protection;on going;
POACEAE;Digitaria pampinosa;5.1.1 International level;on going;
POACEAE;Digitaria pampinosa;1.1 Site/area protection;on going;
EBENACEAE;Diospyros mexiae;1.1 Site/area protection;needed;
LYTHRACEAE;Diplusodon adpressipilus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon alatus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon argenteus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon bradei;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon canastrensis;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon leucocalycinus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon nigricans;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon parvifolius;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon rupestris;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon sigillatus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon sordidus;1.1 Site/area protection;on going;
APOCYNACEAE;Ditassa insignis;1.1 Site/area protection;on going;
APOCYNACEAE;Ditassa obscura;1.1 Site/area protection;on going;
BROMELIACEAE;Dyckia bracteata;1.1 Site/area protection;on going;
BROMELIACEAE;Dyckia mello-barretoi;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis loefgreniana;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis morroi;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis olivaceonux;1.1 Site/area protection;on going;
ERIOCAULACEAE;Eriocaulon aquatile;1.1 Site/area protection;on going;
