"Familia";"Especie";"Bioma"
ERIOCAULACEAE;Comanthera pignalii;Cerrado
ERIOCAULACEAE;Comanthera pignalii;Caatinga
CYPERACEAE;Abildgaardia papillosa;Cerrado
CYPERACEAE;Abildgaardia papillosa;Caatinga
ERIOCAULACEAE;Actinocephalus deflexus;Cerrado
ERIOCAULACEAE;Actinocephalus falcifolius;Cerrado
ERIOCAULACEAE;Actinocephalus herzogii;Cerrado
ERIOCAULACEAE;Actinocephalus robustus;Cerrado
ERIOCAULACEAE;Actinocephalus stereophyllus;Cerrado
BIGNONIACEAE;Adenocalymma subspicatum;Cerrado
BIGNONIACEAE;Adenocalymma subspicatum;Caatinga
FABACEAE;Aeschynomene graminoides;Cerrado
FABACEAE;Aeschynomene simplicifolia;Cerrado
ALSTROEMERIACEAE;Alstroemeria chapadensis;Cerrado
PLANTAGINACEAE;Angelonia pratensis;Cerrado
ARACEAE;Anthurium megapetiolatum;Cerrado
ARACEAE;Anthurium megapetiolatum;Mata Atlântica
CUCURBITACEAE;Apodanthera villosa;Cerrado
CUCURBITACEAE;Apodanthera villosa;Caatinga
APODANTHACEAE;Apodanthes minarum;Cerrado
POLYGALACEAE;Asemeia marquesiana;Cerrado
POLYGALACEAE;Asemeia pohliana;Cerrado
ASTERACEAE;Aspilia goiazensis;Cerrado
ASTERACEAE;Aspilia pseudoyedaea;Cerrado
ARECACEAE;Attalea pindobassu;Cerrado
ARECACEAE;Attalea pindobassu;Caatinga
POACEAE;Axonopus aureus;Amazônia
POACEAE;Axonopus aureus;Mata Atlântica
POACEAE;Axonopus aureus;Cerrado
POACEAE;Axonopus aureus;Caatinga
POACEAE;Axonopus grandifolius;Caatinga
POACEAE;Axonopus grandifolius;Cerrado
MALPIGHIACEAE;Banisteriopsis arborea;Cerrado
MALPIGHIACEAE;Banisteriopsis goiana;Cerrado
VELLOZIACEAE;Barbacenia andersonii;Cerrado
VELLOZIACEAE;Barbacenia blackii;Cerrado
VELLOZIACEAE;Barbacenia contasana;Cerrado
VELLOZIACEAE;Barbacenia contasana;Caatinga
VELLOZIACEAE;Barbacenia cylindrica;Cerrado
VELLOZIACEAE;Barbacenia fulva;Cerrado
VELLOZIACEAE;Barbacenia glabra;Cerrado
VELLOZIACEAE;Barbacenia hatschbachii;Cerrado
VELLOZIACEAE;Barbacenia lymansmithii;Cerrado
VELLOZIACEAE;Barbacenia reflexa;Cerrado
VELLOZIACEAE;Barbacenia regis;Cerrado
VELLOZIACEAE;Barbacenia regis;Caatinga
VELLOZIACEAE;Barbacenia umbrosa;Cerrado
VELLOZIACEAE;Barbacenia williamsii;Cerrado
APOCYNACEAE;Barjonia grazielae;Cerrado
FABACEAE;Bauhinia candelabriformis;Cerrado
FABACEAE;Bauhinia leptantha;Cerrado
FABACEAE;Bauhinia malacotrichoides;Cerrado
ASTERACEAE;Bidens edentula;Cerrado
APOCYNACEAE;Blepharodon hatschbachii;Cerrado
CONVOLVULACEAE;Bonamia kuhlmannii;Cerrado
CONVOLVULACEAE;Bonamia kuhlmannii;Amazônia
RUBIACEAE;Borreria gracillima;Cerrado
RUBIACEAE;Borreria paulista;Cerrado
VERBENACEAE;Bouchea fluminensis;Cerrado
VERBENACEAE;Bouchea fluminensis;Amazônia
VERBENACEAE;Bouchea fluminensis;Mata Atlântica
SOLANACEAE;Brunfelsia rupestris;Cerrado
SCROPHULARIACEAE;Buddleja longiflora;Mata Atlântica
SCROPHULARIACEAE;Buddleja speciosissima;Mata Atlântica
CYPERACEAE;Bulbostylis lombardii;Cerrado
MALPIGHIACEAE;Byrsonima cordifolia;Cerrado
MALPIGHIACEAE;Byrsonima hatschbachii;Cerrado
ASTERACEAE;Calea irwinii;Cerrado
FABACEAE;Calliandra gardneri;Cerrado
FABACEAE;Calliandra linearis;Cerrado
FABACEAE;Calliandra semisepulta;Cerrado
VOCHYSIACEAE;Callisthene erythroclada;Cerrado
MYRTACEAE;Calycolpus australis;Cerrado
MELASTOMATACEAE;Cambessedesia cambessedesioides;Cerrado
MELASTOMATACEAE;Cambessedesia pityrophylla;Cerrado
MELASTOMATACEAE;Cambessedesia salviifolia;Cerrado
MELASTOMATACEAE;Cambessedesia semidecandra;Cerrado
MELASTOMATACEAE;Chaetostoma flavum;Cerrado
MELASTOMATACEAE;Chaetostoma inerme;Cerrado
MELASTOMATACEAE;Chaetostoma scoparium;Cerrado
MELASTOMATACEAE;Chaetostoma selagineum;Cerrado
MELASTOMATACEAE;Chaetostoma stenocladon;Cerrado
FABACEAE;Chamaecrista altoana;Cerrado
FABACEAE;Chamaecrista coradinii;Caatinga
FABACEAE;Chamaecrista coradinii;Cerrado
FABACEAE;Chamaecrista coriacea;Cerrado
FABACEAE;Chamaecrista dumalis;Caatinga
FABACEAE;Chamaecrista dumalis;Cerrado
FABACEAE;Chamaecrista dumalis;Amazônia
FABACEAE;Chamaecrista ericifolia;Cerrado
FABACEAE;Chamaecrista gymnothyrsa;Cerrado
FABACEAE;Chamaecrista hatschbachii;Cerrado
FABACEAE;Chamaecrista itabiritoana;Cerrado
FABACEAE;Chamaecrista lavradioides;Cerrado
FABACEAE;Chamaecrista macedoi;Cerrado
FABACEAE;Chamaecrista ochrosperma;Cerrado
FABACEAE;Chamaecrista phyllostachya;Cerrado
FABACEAE;Chamaecrista simplifacta;Cerrado
FABACEAE;Chamaecrista vauthieri;Cerrado
ASTERACEAE;Chrysolaena dusenii;Cerrado
CACTACEAE;Cipocereus pleurocarpus;Cerrado
POLYGONACEAE;Coccoloba cereifera;Cerrado
ERIOCAULACEAE;Comanthera cipoensis;Cerrado
ERIOCAULACEAE;Comanthera circinnata;Cerrado
ERIOCAULACEAE;Comanthera curralensis;Cerrado
ERIOCAULACEAE;Comanthera floccosa;Cerrado
ERIOCAULACEAE;Comanthera floccosa;Caatinga
ERIOCAULACEAE;Comanthera hatschbachii;Cerrado
MELASTOMATACEAE;Comolia edmundoi;Cerrado
FABACEAE;Crotalaria goiasensis;Cerrado
FABACEAE;Crotalaria irwinii;Cerrado
FABACEAE;Crotalaria rufipila;Cerrado
CYPERACEAE;Cryptangium humile;Cerrado
CYPERACEAE;Cryptangium polyphyllum;Mata Atlântica
CYPERACEAE;Cryptangium polyphyllum;Cerrado
LYTHRACEAE;Cuphea cunninghamiifolia;Cerrado
LYTHRACEAE;Cuphea disperma;Cerrado
LYTHRACEAE;Cuphea fuchsiifolia;Cerrado
LYTHRACEAE;Cuphea glareosa;Cerrado
LYTHRACEAE;Cuphea glareosa;Caatinga
LYTHRACEAE;Cuphea sclerophylla;Cerrado
CYPERACEAE;Cyperus almensis;Cerrado
CYPERACEAE;Cyperus almensis;Caatinga
ASTERACEAE;Dasyphyllum reticulatum;Cerrado
ASTERACEAE;Dasyphyllum retinens;Cerrado
ASTERACEAE;Dasyphyllum trichophyllum;Cerrado
ASTERACEAE;Dasyphyllum trichophyllum;Mata Atlântica
FABACEAE;Desmodium glabrescens;Cerrado
FABACEAE;Desmodium juruenense;Amazônia
FABACEAE;Desmodium juruenense;Cerrado
POACEAE;Dichanthelium aequivaginatum;Cerrado
POACEAE;Dichanthelium aequivaginatum;Mata Atlântica
POACEAE;Dichanthelium aequivaginatum;Caatinga
POACEAE;Dichanthelium assurgens;Mata Atlântica
POACEAE;Dichanthelium assurgens;Caatinga
POACEAE;Dichanthelium assurgens;Cerrado
POACEAE;Digitaria pampinosa;Cerrado
EBENACEAE;Diospyros mexiae;Mata Atlântica
EBENACEAE;Diospyros mexiae;Cerrado
LYTHRACEAE;Diplusodon adpressipilus;Cerrado
LYTHRACEAE;Diplusodon alatus;Cerrado
LYTHRACEAE;Diplusodon argenteus;Cerrado
LYTHRACEAE;Diplusodon bradei;Cerrado
LYTHRACEAE;Diplusodon canastrensis;Cerrado
LYTHRACEAE;Diplusodon capitalensis;Cerrado
LYTHRACEAE;Diplusodon capitatus;Cerrado
LYTHRACEAE;Diplusodon decussatus;Cerrado
LYTHRACEAE;Diplusodon floribundus;Cerrado
LYTHRACEAE;Diplusodon glocimarii;Cerrado
LYTHRACEAE;Diplusodon heringeri;Cerrado
LYTHRACEAE;Diplusodon leucocalycinus;Cerrado
LYTHRACEAE;Diplusodon longipes;Cerrado
LYTHRACEAE;Diplusodon mattogrossensis;Cerrado
LYTHRACEAE;Diplusodon parvifolius;Cerrado
LYTHRACEAE;Diplusodon petiolatus;Cerrado
