family,scientificName,action,situation,details,references
Monimiaceae,"Grazielanthus arkeocarpus","1.1 Site/area protection","on going","A espécie ocorre na Reserva Biológica de Poço das Antas (Peixoto & Pereira-Moura, 2008).","Peixoto, AL & Pereira-Moura, MVL, 2008. A new genus of Monimiaceae from the Atlantic Coastal Forest in South-Eastern Brazil. Kew Bulletin 63, 137-141."
Monimiaceae,"Grazielanthus arkeocarpus","2.1 Site/area management",needed,"Devido à grande susceptibilidade ao fogo da Reserva Biológica Poço das Antas, é necessário elaborar uma estratégia para controle e combate do fogo na região (Lírio, com. pess.).",
Monimiaceae,"Grazielanthus arkeocarpus","3.4 Ex-situ conservation","on going","A espécie está sendo cultivada no Jardim Botânico do Rio de Janeiro, mas ainda não existe atividades de propagação e reintrodução da espécie (Lírio, com. pess.)",
GENTIANACEAE,"Prepusa alata","1.1 Site/area protection","on going","A espécie ocorre dentro dos limites do Parque Estadual do Desengano (Calió et al., 2008; Fraga et al., 2014).","Calió, M.F., Pirani, J.R., Struwe, L. 2008. Morphology-based phylogeny and revision of Prepusa and Senaea (Gentianaceae: Helieae)— rare endemics from eastern Brazil. Kew Bulletin. 63: 169–191.;Fraga, C.N., Fontana, A.P., Kollmann, L.J.C. 2014. A new species of Prepusa (Helieae, Gentianaceae) from the Brazilian Atlantic Forest, with an emended key for the genus. Phytotaxa 163 (5): 287–294"
ARALIACEAE,"Dendropanax heterophyllus","1.1 Site/area protection","on going","O Morro Queimado, localidade onde a espécie ocorre (L. Joels s.n., RB 242372), está inserido no PARNA da Tijuca.",
MELASTOMATACEAE,"Behuria cordifolia","1.1 Site/area protection","on going","Espécie ocorre no Parque Nacional da Tijuca, embora o último registro de coleta seja datado de mais de 70 anos (Baumgratz et al., 2014).","Baumgratz, J.F.A.; Santos Filho, L.A.F. & Silva-Gonçalves, K.C. 2014. Melastomataceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: http://florariojaneiro.jbrj.gov.br."
MELASTOMATACEAE,"Behuria cordifolia","1.1 Site/area protection",needed,"B. cordifolia estava representada na localidade do Pico do Frade de Macaé por uma população relativamente grande situada na base do Pico, porém na últimas coletas realizadas nessa região não se localizou nenhum indivíduo desta espécie, além de ter sido observado sinais de queimadas recentes (Tavares, 2005). Diante dessa informação se faz necessária a implementação de proteção legal a fim de minimizar os efeitos da degradação dos habitats da região.","Tavares, R.A.M. 2005. Revisão taxonômica do gênero Behuria Cham. (Melastomataceae). Dissertação de Mestrado. Museu Nacional/UFRJ, Rio de Janeiro."
ANEMIACEAE,"Anemia candidoi","1.1 Site/area protection",needed,"A região de Areal carece de unidades de conservação para a conservação de espécies ameaçadas.",
LECYTHIDACEAE,"Couratari pyramidata","1 Land/water protection","on going","A espécie possui ocorrências nas seguintes Unidades de Conservação: Parque Estadual da Catacumba, Parque Estadual do Chacrinha, Parque Estadual da Pedra Branca, Parque Nacional da Tijuca, Estação Ecológica Estadual de Paraíso, Área de Proteção Ambiental Cairuçú, Parque Estadual da Serra da Tiririca.",
LECYTHIDACEAE,"Couratari pyramidata","2.3 Habitat & natural process restoration",needed,"Há a necessidade de estímulo a programas de coletas de sementes e plantio de mudas para disponibilização em programas de recuperação de áreas degradadas (Ribeiro, com. pess.). ",
