family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
COMMELINACEAE,"Dichorisandra picta",Lodd.,review,,,,
Bromeliaceae,"Neoregelia paratiensis",Leme,review,,,,
"CACTACEAE ","Rhipsalis triangularis",Werderm.,open,,,,
Amaryllidaceae,"Worsleya procera","(Lem.) Traub",open,,,,
Acanthaceae,"Aphelandra stephanophysa",Nees,validation,,,,
Acanthaceae,"Justicia meyeniana","(Nees) Lindau",validation,,,,
ACANTHACEAE,"Aphelandra bradeana",Rizzini,validation,,,,
ACANTHACEAE,"Aphelandra neesiana",Wassh.,validation,,,,
ACANTHACEAE,"Aphelandra rigida","Glaz. ex Mildbr.",validation,,,,
ACANTHACEAE,"Herpetacanthus delicatus","Indriunas & Kameyama",validation,,,,
ACANTHACEAE,"Herpetacanthus parvispica","Indriunas & Kameyama",validation,,,,
ACANTHACEAE,"Justicia itatiaiensis",Profice,validation,,,,
ACANTHACEAE,"Justicia nervata","(Lindau) Profice",validation,,,,
ACANTHACEAE,"Justicia polita","(Nees) Profice",validation,,,,
ACANTHACEAE,"Ruellia herbstii","(Hook.) Hiern",validation,,,,
ACANTHACEAE,"Ruellia silvaccola","(Mart. ex Ness) Lindau",validation,,,,
ACANTHACEAE,"Schaueria calycotricha","(Link & Otto) Nees",validation,,,,
ACANTHACEAE,"Schaueria sulfurea",Nees,validation,,,,
ACANTHACEAE,"Staurogyne brachiata","(Hiern) Leonard",validation,,,,
ACANTHACEAE,"Staurogyne euryphylla",E.Hossain,validation,,,,
AMARYLLIDACEAE,"Griffinia rochae",Morel,open,,,,
ANEMIACEAE,"Anemia candidoi",Brade,open,,,,
ANNONACEAE,"Annona ferruginea","(R.E.Fr.) H.Rainer",validation,,,,
ANNONACEAE,"Annona parviflora","(A.St.-Hil.) H.Rainer",validation,,,,
ANNONACEAE,"Duguetia microphylla","(R.E.Fr.) R.E.Fr.",validation,,,,
ANNONACEAE,"Duguetia pohliana",Mart.,validation,,,,
ANNONACEAE,"Hornschuchia alba","(A.St.-Hil.) R.E.Fr.",validation,,,,
ANNONACEAE,"Trigynaea axilliflora","D.M.Johnson & N.A.Murray",validation,,,,
ANNONACEAE,"Unonopsis riedeliana",R.E.Fr.,validation,,,,
ANTHOCEROTACEAE,"Anthoceros lamellatus",Steph.,open,,,,
APIACEAE,"Eryngium fluminense",Urb.,validation,,,,
APIACEAE,"Eryngium goulartii","Glaz. & Urb. ex Urb.",validation,,,,
APOCYNACEAE,"Aspidosperma compactinervium",Kuhlm.,,,,,
APOCYNACEAE,"Aspidosperma ingratum",K.Schum.,,,,,
APOCYNACEAE,"Cynanchum brasiliense","(Morillo) Liede",,,,,
APOCYNACEAE,"Ditassa fontellae","Marquete & C.Valente",,,,,
APOCYNACEAE,"Ditassa guilleminiana",Decne.,,,,,
APOCYNACEAE,"Ditassa imbricata",E.Fourn.,,,,,
APOCYNACEAE,"Ditassa maricaensis","Fontella & E.A.Schwarz",,,,,
APOCYNACEAE,"Ditassa subumbellata",Malme,,,,,
APOCYNACEAE,"Forsteronia linearis","(Vell.) Müll.Arg.",,,,,
APOCYNACEAE,"Gonolobus dorothyanus",Fontella,,,,,
APOCYNACEAE,"Macroditassa laxa","(Malme) Fontella & de Lamare",,,,,
APOCYNACEAE,"Mandevilla crassinoda","(Gardner) Woodson",,,,,
APOCYNACEAE,"Marsdenia glaziovii","(E.Fourn.) Spellman & Morillo",,,,,
APOCYNACEAE,"Matelea fournieri",Morillo,,,,,
APOCYNACEAE,"Matelea quinquedentata","(E.Fourn.) Morillo",,,,,
APOCYNACEAE,"Monsanima tinguaensis","R.Santos & Fontella",,,,,
APOCYNACEAE,"Orthosia arenosa",Decne.,,,,,
APOCYNACEAE,"Orthosia umbrosa",Decne.,,,,,
APOCYNACEAE,"Oxypetalum costae",Occhioni,,,,,
APOCYNACEAE,"Oxypetalum lutescens",E.Fourn.,,,,,
APOCYNACEAE,"Oxypetalum schottii",E.Fourn.,,,,,
AQUIFOLIACEAE,"Ilex cognata",Reissek,done,,,,
AQUIFOLIACEAE,"Ilex friburgensis",Loes.,done,,,,
AQUIFOLIACEAE,"Ilex glazioviana",Loes.,done,,,,
AQUIFOLIACEAE,"Ilex longipetiolata",Loes.,done,,,,
AQUIFOLIACEAE,"Ilex organensis",Loes.,done,,,,
AQUIFOLIACEAE,"Ilex schwackeana",Loes.,done,,,,
AQUIFOLIACEAE,"Ilex virgata",Loes.,done,,,,
ARACEAE,"Anthurium aduncum","(Vell.) Schott",validation,,,,
ARACEAE,"Anthurium augustinum","K.Koch & Lauche",validation,,,,
ARACEAE,"Anthurium binotii",Linden,validation,,,,
ARACEAE,"Anthurium bragae",Nadruz,validation,,,,
ARACEAE,"Anthurium harrisii","(Graham) G.Don",validation,,,,
ARACEAE,"Anthurium laucheanum",K.Koch,validation,,,,
ARACEAE,"Anthurium lhotzkyanum",Schott,validation,,,,
ARACEAE,"Anthurium lucidum",Kunth,validation,,,,
