"Familia";"Nome";"Analise";"Avaliação";"Categoria";"Criterio"
"MONIMIACEAE";"Grazielanthus arkeocarpus";"done";"comments";"CR";"B2ab(i,ii,iii,iv);D1"
"ACANTHACEAE";"Aphelandra stephanophysa";"";"";"";""
"";"";"";"";"";""
"Acanthaceae";"Justicia meyeniana";"";"";"";""
"ACANTHACEAE";"Aphelandra bradeana";"open";"";"";""
"ACANTHACEAE";"Aphelandra neesiana";"";"";"";""
"ACANTHACEAE";"Aphelandra nemoralis";"";"";"";""
"ACANTHACEAE";"Aphelandra rigida";"";"";"";""
"ACANTHACEAE";"Chamaeranthemum gaudichaudii";"";"";"";""
"ACANTHACEAE";"Herpetacanthus delicatus";"";"";"";""
"ACANTHACEAE";"Herpetacanthus parvispica";"";"";"";""
"ACANTHACEAE";"Hygrophila oblongifolia";"";"";"";""
"ACANTHACEAE";"Justicia itatiaiensis";"";"";"";""
"ACANTHACEAE";"Justicia nervata";"";"";"";""
"ACANTHACEAE";"Justicia polita";"";"";"";""
"ACANTHACEAE";"Ruellia herbstii";"";"";"";""
"ACANTHACEAE";"Ruellia silvaccola";"";"";"";""
"ACANTHACEAE";"Schaueria calycotricha";"";"";"";""
"ACANTHACEAE";"Schaueria schottii";"";"";"";""
"ACANTHACEAE";"Schaueria sulfurea";"";"";"";""
"ACANTHACEAE";"Staurogyne brachiata";"";"";"";""
"ACANTHACEAE";"Staurogyne euryphylla";"";"";"";""
"AMARYLLIDACEAE";"Griffinia rochae";"";"";"";""
"ANDREAEACEAE";"Andreaea rupestris";"";"";"";""
"ANDREAEACEAE";"Andreaea subulata";"";"";"";""
"ANEMIACEAE";"Anemia candidoi";"open";"";"";""
"ANNONACEAE";"Annona ferruginea";"";"";"";""
"ANNONACEAE";"Annona parviflora";"";"";"";""
"ANNONACEAE";"Duguetia microphylla";"";"";"";""
"ANNONACEAE";"Duguetia pohliana";"";"";"";""
"ANNONACEAE";"Duguetia riedeliana";"";"";"";""
"ANNONACEAE";"Hornschuchia alba";"";"";"";""
"ANNONACEAE";"Trigynaea axilliflora";"";"";"";""
"ANNONACEAE";"Unonopsis riedeliana";"";"";"";""
"ANTHOCEROTACEAE";"Anthoceros lamellatus";"";"";"";""
"APIACEAE";"Eryngium fluminense";"";"";"";""
"APIACEAE";"Eryngium goulartii";"";"";"";""
"APIACEAE";"Lilaeopsis attenuata";"";"";"";""
"APOCYNACEAE";"Aspidosperma compactinervium";"";"";"";""
"APOCYNACEAE";"Aspidosperma ingratum";"";"";"";""
"APOCYNACEAE";"Cynanchum brasiliense";"";"";"";""
"APOCYNACEAE";"Ditassa fontellae";"";"";"";""
"APOCYNACEAE";"Ditassa guilleminiana";"";"";"";""
"APOCYNACEAE";"Ditassa imbricata";"";"";"";""
"APOCYNACEAE";"Ditassa maricaensis";"";"";"";""
"APOCYNACEAE";"Ditassa subumbellata";"";"";"";""
"APOCYNACEAE";"Forsteronia linearis";"";"";"";""
"APOCYNACEAE";"Gonolobus dorothyanus";"";"";"";""
"APOCYNACEAE";"Macroditassa laxa";"";"";"";""
"APOCYNACEAE";"Mandevilla crassinoda";"";"";"";""
"APOCYNACEAE";"Mandevilla urceolata";"";"";"";""
"APOCYNACEAE";"Marsdenia glaziovii";"";"";"";""
"APOCYNACEAE";"Matelea fournieri";"";"";"";""
"APOCYNACEAE";"Matelea quinquedentata";"";"";"";""
"APOCYNACEAE";"Monsanima tinguaensis";"";"";"";""
"APOCYNACEAE";"Orthosia arenosa";"";"";"";""
"APOCYNACEAE";"Orthosia umbrosa";"";"";"";""
"APOCYNACEAE";"Oxypetalum costae";"";"";"";""
"APOCYNACEAE";"Oxypetalum lutescens";"";"";"";""
"APOCYNACEAE";"Oxypetalum schottii";"";"";"";""
"AQUIFOLIACEAE";"Ilex buxifolia";"open";"";"";""
"AQUIFOLIACEAE";"Ilex cognata";"";"";"";""
"AQUIFOLIACEAE";"Ilex friburgensis";"";"";"";""
"AQUIFOLIACEAE";"Ilex glazioviana";"";"";"";""
"AQUIFOLIACEAE";"Ilex longipetiolata";"";"";"";""
"AQUIFOLIACEAE";"Ilex organensis";"";"";"";""
"AQUIFOLIACEAE";"Ilex schwackeana";"";"";"";""
"AQUIFOLIACEAE";"Ilex virgata";"";"";"";""
"ARACEAE";"Anthurium aduncum";"";"";"";""
"ARACEAE";"Anthurium augustinum";"";"";"";""
"ARACEAE";"Anthurium binotii";"";"";"";""
"ARACEAE";"Anthurium bragae";"";"";"";""
"ARACEAE";"Anthurium harrisii";"";"";"";""
"ARACEAE";"Anthurium inconspicuum";"";"";"";""
"ARACEAE";"Anthurium laucheanum";"";"";"";""
"ARACEAE";"Anthurium lhotzkyanum";"";"";"";""
"ARACEAE";"Anthurium lucidum";"";"";"";""
"ARACEAE";"Anthurium luschnathianum";"";"";"";""
"ARACEAE";"Anthurium maricense";"";"";"";""
"ARACEAE";"Anthurium microphyllum";"";"";"";""
"ARACEAE";"Anthurium nitidulum";"";"";"";""
"ARACEAE";"Anthurium parvum";"";"";"";""
"ARACEAE";"Anthurium simonii";"";"";"";""
"ARACEAE";"Anthurium validinervium";"";"";"";""
"ARACEAE";"Asterostigma concinnum";"";"";"";""
"ARACEAE";"Asterostigma vellozianum";"";"";"";""
"ARACEAE";"Philodendron alternans";"";"";"";""
"ARACEAE";"Philodendron fragile";"";"";"";""
"ARACEAE";"Philodendron imbe";"";"";"";""
"ARACEAE";"Philodendron millerianum";"";"";"";""
"ARACEAE";"Philodendron nadruzianum";"";"";"";""
"ARACEAE";"Wolffia arrhiza";"";"";"";""
"ARACEAE";"Wolffiella neotropica";"";"";"";""
"ARALIACEAE";"Dendropanax heterophyllus";"open";"";"";""
"ARALIACEAE";"Dendropanax langsdorfii";"";"";"";""
"ARALIACEAE";"Dendropanax trilobus";"";"";"";""
"ARALIACEAE";"Hydrocotyle alpestris";"";"";"";""
"ARALIACEAE";"Hydrocotyle bradei";"";"";"";""
"ARALIACEAE";"Hydrocotyle ulei";"";"";"";""
"ARALIACEAE";"Schefflera succinea";"";"";"";""
"ARECACEAE";"Lytocaryum weddellianum";"";"";"";""
"ARISTOLOCHIACEAE";"Aristolochia cynanchifolia";"";"";"";""
"ARISTOLOCHIACEAE";"Aristolochia raja";"";"";"";""
"ARNELLIACEAE";"Southbya organensis";"";"";"";""
"ASPLENIACEAE";"Asplenium cariocanum";"";"";"";""
"ASPLENIACEAE";"Asplenium castaneum";"";"";"";""
"ASTERACEAE";"Austrocritonia rosea";"";"";"";""
"ASTERACEAE";"Austrocritonia taunayana";"";"";"";""
"ASTERACEAE";"Austroeupatorium petrophilum";"";"";"";""
"ASTERACEAE";"Baccharis alpestris";"";"";"";""
"ASTERACEAE";"Baccharis bifrons";"";"";"";""
"ASTERACEAE";"Baccharis ciliata";"";"";"";""
"ASTERACEAE";"Baccharis friburgensis";"";"";"";""
"ASTERACEAE";"Baccharis pseudovaccinioides";"";"";"";""
"ASTERACEAE";"Barrosoa viridiflora";"";"";"";""
"ASTERACEAE";"Bartlettina hemisphaerica";"";"";"";""
"ASTERACEAE";"Calea wedelioides";"";"";"";""
"ASTERACEAE";"Critoniopsis magdalenae";"";"";"";""
"ASTERACEAE";"Dasyphyllum cryptocephalum";"";"";"";""
"ASTERACEAE";"Dasyphyllum leptacanthum";"";"";"";""
"ASTERACEAE";"Gamochaeta grazielae";"";"";"";""
