family,scientificName,dispersion
Monimiaceae,"Grazielanthus arkeocarpus",ornitochory
VOCHYSIACEAE,"Callisthene dryadum",anemochory
SALICACEAE,"Abatia microphylla",zoochory
ANNONACEAE,"Annona ferruginea",zoochory
LORANTHACEAE,"Struthanthus maricensis",ornitochory
LORANTHACEAE,"Psittacanthus pluricotyledonarius",ornitochory
LORANTHACEAE,"Struthanthus pentamerus",ornitochory
LORANTHACEAE,"Struthanthus armandianus",zoochory
LORANTHACEAE,"Struthanthus involucratus",ornitochory
LORANTHACEAE,"Struthanthus harlingianus",ornitochory
ACANTHACEAE,"Aphelandra stephanophysa",barochory
SOLANACEAE,"Solanum friburgense",
