family,scientificName,endemic,altitude
Monimiaceae,"Grazielanthus arkeocarpus",yes,46
AQUIFOLIACEAE,"Ilex buxifolia",,
GENTIANACEAE,"Prepusa alata",yes,1400~1800
ARALIACEAE,"Dendropanax heterophyllus",yes,
MELASTOMATACEAE,"Behuria cordifolia",yes,
ANEMIACEAE,"Anemia candidoi",yes,
DRYOPTERIDACEAE,"Ctenitis flexuosa",yes,1000
LECYTHIDACEAE,"Couratari pyramidata",yes,
ACANTHACEAE,"Aphelandra bradeana",yes,
BROMELIACEAE,"Aechmea caesia",yes,
BORAGINACEAE,"Cordia latiloba",,
LAURACEAE,"Aniba pedicellata",,
LAURACEAE,"Beilschmiedia stricta",yes,
VOCHYSIACEAE,"Callisthene dryadum",,
SALICACEAE,"Abatia microphylla",yes,
ARECACEAE,"Lytocaryum weddellianum",yes,
ARALIACEAE,"Dendropanax langsdorfii",yes,1050~1450
PRIMULACEAE,"Cybianthus barrosoanus",yes,
ARALIACEAE,"Dendropanax trilobus",yes,900~1216
ERIOCAULACEAE,"Paepalanthus ovatus",yes,
CACTACEAE,"Pilosocereus ulei",yes,0~100
CACTACEAE,"Rhipsalis flagelliformis",yes,50~190
AMARYLLIDACEAE,"Griffinia rochae",,
ARALIACEAE,"Hydrocotyle alpestris",yes,
DRYOPTERIDACEAE,"Polystichum pallidum",,
ANNONACEAE,"Annona ferruginea",yes,700
ARACEAE,"Anthurium aduncum",yes,
ARACEAE,"Anthurium binotii",yes,1500
ARISTOLOCHIACEAE,"Aristolochia cynanchifolia",,
ARISTOLOCHIACEAE,"Aristolochia raja",yes,0~100
PIPERACEAE,"Peperomia arbuscula",yes,1~1.2
POLYGONACEAE,"Coccoloba rigida",yes,
CACTACEAE,"Rhipsalis mesembryanthemoides",yes,0~600
ARALIACEAE,"Hydrocotyle bradei",yes,1000
ARALIACEAE,"Hydrocotyle ulei",yes,2100
POLYGALACEAE,"Polygala revoluta",yes,
ARALIACEAE,"Schefflera succinea",yes,1100~1800
LORANTHACEAE,"Struthanthus maricensis",yes,
COMMELINACEAE,"Dichorisandra fluminensis",yes,0~100
LORANTHACEAE,"Psittacanthus pluricotyledonarius",yes,1000~1800
APIACEAE,"Eryngium fluminense",yes,2000
ANNONACEAE,"Annona parviflora",yes,
BURSERACEAE,"Tetragastris breviacuminata",yes,
COMBRETACEAE,"Terminalia acuminata",yes,100~500
AQUIFOLIACEAE,"Ilex cognata",yes,
ANNONACEAE,"Duguetia microphylla",yes,
AQUIFOLIACEAE,"Ilex friburgensis",yes,
AQUIFOLIACEAE,"Ilex glazioviana",yes,
AQUIFOLIACEAE,"Ilex longipetiolata",yes,
AQUIFOLIACEAE,"Ilex organensis",yes,
AQUIFOLIACEAE,"Ilex schwackeana",yes,1400
LORANTHACEAE,"Struthanthus pentamerus",yes,
ANNONACEAE,"Duguetia pohliana",yes,
LORANTHACEAE,"Struthanthus armandianus",yes,
LORANTHACEAE,"Struthanthus involucratus",yes,
LORANTHACEAE,"Struthanthus harlingianus",yes,
LORANTHACEAE,"Struthanthus dorothyi",yes,
AQUIFOLIACEAE,"Ilex virgata",yes,
ACANTHACEAE,"Aphelandra rigida",yes,
PRIMULACEAE,"Cybianthus gracillimus",yes,
ANNONACEAE,"Duguetia riedeliana",,
ANNONACEAE,"Hornschuchia alba",,
GERANIACEAE,"Geranium brasiliense",yes,2000~2500
FABACEAE,"Dahlstedtia glaziovii",yes,
ORCHIDACEAE,"Acianthera bidentata",yes,
ANNONACEAE,"Trigynaea axilliflora",yes,500
ACANTHACEAE,"Aphelandra stephanophysa",yes,1600
ANNONACEAE,"Unonopsis riedeliana",yes,
LAURACEAE,"Endlicheria balsamea",yes,
LAURACEAE,"Urbanodendron macrophyllum",yes,
LAURACEAE,"Beilschmiedia angustifolia",yes,
SYMPLOCACEAE,"Symplocos altissima",yes,
ACANTHACEAE,"Herpetacanthus delicatus",yes,150
SYMPLOCACEAE,"Symplocos dasyphylla",yes,
SYMPLOCACEAE,"Symplocos glaziovii",yes,
LAURACEAE,"Nectandra spicata",yes,
SYMPLOCACEAE,"Symplocos neglecta",yes,
APIACEAE,"Eryngium goulartii",yes,
LAURACEAE,"Ocotea sinaiana",yes,
ORCHIDACEAE,"Acianthera exdrasii",yes,
SYMPLOCACEAE,"Symplocos occulta",yes,
SYMPLOCACEAE,"Symplocos organensis",yes,
MONIMIACEAE,"Macropeplus friburgensis",yes,1100~2150
GENTIANACEAE,"Prepusa connata",yes,1500~1800
GENTIANACEAE,"Prepusa hookeriana",yes,850~2700
ACANTHACEAE,"Herpetacanthus parvispica",yes,
BROMELIACEAE,"Neoregelia abendrothae",yes,
ORCHIDACEAE,"Acianthera pavimentata",yes,
BROMELIACEAE,"Neoregelia bragarum",yes,
LAURACEAE,"Ocotea abbreviata",yes,
ASTERACEAE,"Austrocritonia taunayana",yes,
ORCHIDACEAE,"Acianthera subrotundifolia",yes,
COMMELINACEAE,"Dichorisandra nana",yes,0~300
SOLANACEAE,"Solanum schuechii",no,
SOLANACEAE,"Solanum friburgense",yes,
SOLANACEAE,"Capsicum friburgense",yes,1700~2000
DICHAPETALACEAE,"Stephanopodium sessile",yes,200~400
DICHAPETALACEAE,"Stephanopodium organense",,
ORCHIDACEAE,"Anathallis flammea",yes,
BROMELIACEAE,"Neoregelia camorimiana",yes,
CLUSIACEAE,"Clusia fragrans",yes,1000
BROMELIACEAE,"Neoregelia carinata",yes,
ORCHIDACEAE,"Anathallis githaginea",yes,
ORCHIDACEAE,"Anathallis lichenophila",yes,
BROMELIACEAE,"Neoregelia coimbrae",yes,
CLUSIACEAE,"Tovomita glazioviana",,
ORCHIDACEAE,"Anathallis pubipetala",yes,
ORCHIDACEAE,"Anathallis rubrolimbata",yes,1000~1400
ORCHIDACEAE,"Barbosella macaheensis",yes,
BROMELIACEAE,"Neoregelia coriacea",yes,
COMMELINACEAE,"Siderasis fuscata",yes,100~400
COMMELINACEAE,"Dichorisandra oxypetala",yes,
COMMELINACEAE,"Dichorisandra gaudichaudiana",yes,100~400
FABACEAE,"Mimosa ernestii",yes,1400~2000
BROMELIACEAE,"Neoregelia correia-araujoi",yes,
BROMELIACEAE,"Neoregelia desenganensis",yes,1.653
BROMELIACEAE,"Neoregelia eltoniana",yes,
CANELLACEAE,"Cinnamodendron sampaioanum",yes,1000
CELASTRACEAE,"Maytenus basidentata",yes,
ACANTHACEAE,"Justicia itatiaiensis",yes,
BROMELIACEAE,"Neoregelia fluminensis",yes,
ACANTHACEAE,"Justicia nervata",yes,
PIPERACEAE,"Peperomia bradei",yes,1400
BROMELIACEAE,"Neoregelia fosteriana",yes,
PIPERACEAE,"Peperomia humifusa",yes,250~300
BROMELIACEAE,"Neoregelia gavionensis",yes,
Acanthaceae,"Justicia meyeniana",yes,
ACANTHACEAE,"Justicia polita",yes,
XYRIDACEAE,"Xyris organensis",yes,2.3
ERYTHROXYLACEAE,"Erythroxylum cincinnatum",yes,
ERYTHROXYLACEAE,"Erythroxylum glazioui",yes,
ERYTHROXYLACEAE,"Erythroxylum gaudichaudii",yes,
ERYTHROXYLACEAE,"Erythroxylum lancifolium",yes,
ERYTHROXYLACEAE,"Erythroxylum magnoliifolium",yes,
ERYTHROXYLACEAE,"Erythroxylum occultum",yes,
ERYTHROXYLACEAE,"Erythroxylum ovalifolium",yes,
BROMELIACEAE,"Neoregelia ilhana",yes,
PIPERACEAE,"Peperomia papillispica",yes,
BROMELIACEAE,"Neoregelia indecora",yes,
LOASACEAE,"Aosa uleana",yes,
ORCHIDACEAE,"Anathallis spannageliana",yes,1100
BROMELIACEAE,"Neoregelia kuhlmannii",yes,
BROMELIACEAE,"Neoregelia lactea",yes,
BROMELIACEAE,"Neoregelia leucophoea",yes,
ORCHIDACEAE,"Brasilaelia fidelensis",,
BROMELIACEAE,"Neoregelia longipedicellata",yes,
BROMELIACEAE,"Neoregelia macahensis",yes,
ORCHIDACEAE,"Brasilidium dasytyle",yes,
BROMELIACEAE,"Neoregelia macwilliamsii",yes,
PHYLLANTHACEAE,"Phyllanthus itatiaiensis",yes,2400~2600
PHYLLANTHACEAE,"Phyllanthus mocotensis",yes,
PHYLLANTHACEAE,"Phyllanthus rosmarinifolius",yes,2000~2200
ORCHIDACEAE,"Brasiliorchis heismanniana",yes,
ORCHIDACEAE,"Brasiliorchis polyantha",yes,
ORCHIDACEAE,"Bulbophyllum macroceras",yes,
BROMELIACEAE,"Neoregelia martinellii",yes,
DRYOPTERIDACEAE,"Elaphoglossum didymoglossoides",yes,1000
ASPLENIACEAE,"Asplenium cariocanum",yes,500~600
BROMELIACEAE,"Neoregelia nevaresii",yes,
MALVACEAE,"Abutilon anodoides",yes,
ISOETACEAE,"Isoetes goebelii",yes,2500
ISOETACEAE,"Isoetes organensis",yes,2100~2150
