family,acceptedNameUsage,valid,invalid,validated,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
Poaceae,"Glaziophyton mirabile",8,13,21,5,21,5,0,8,18,26,"391,5km²","36,0km²"
Thismiaceae,"Thismia glaziovii",0,0,0,7,0,1,6,0,7,7,n/a,n/a
COMMELINACEAE,"Dichorisandra picta",3,1,4,0,3,1,0,3,1,4,"53,46km²","12,0km²"
Bromeliaceae,"Neoregelia paratiensis",1,1,2,0,2,0,0,1,1,2,"275,36km²","4,0km²"
Poaceae,"Chusquea sclerophylla",3,8,11,0,11,0,0,3,8,11,"273,89km²","4,0km²"
Gesneriaceae,"Besleria macahensis",0,0,0,0,0,0,0,0,0,0,n/a,n/a
CACTACEAE,"Rhipsalis triangularis",14,0,14,0,13,1,0,13,1,14,"0,31km²","4,0km²"
Myrtaceae,"Myrcia innovans",3,10,13,3,6,9,1,1,15,16,"4,11km²","12,0km²"
Amaryllidaceae,"Worsleya procera",0,0,0,61,43,18,0,0,61,61,"41,91km²","28,0km²"
ORCHIDACEAE,"Pabstiella dracula",3,0,3,0,3,0,0,3,0,3,"496,88km²","8,0km²"
Acanthaceae,"Aphelandra stephanophysa",4,2,6,0,3,3,0,3,3,6,"43,84km²","12,0km²"
Acanthaceae,"Justicia meyeniana",24,10,34,0,32,2,0,23,11,34,"5.681,99km²","68,0km²"
Amaryllidaceae,"Griffinia intermedia",0,2,2,9,10,1,0,0,11,11,"283,3km²","20,0km²"
Orchidaceae,"Pabstiella pantherina",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ACANTHACEAE,"Aphelandra bradeana",2,3,5,0,4,1,0,2,3,5,"274,21km²","4,0km²"
ACANTHACEAE,"Aphelandra rigida",3,4,7,0,2,5,0,1,6,7,"273,16km²","4,0km²"
ACANTHACEAE,"Herpetacanthus delicatus",1,1,2,0,1,1,0,1,1,2,"274,82km²","4,0km²"
ACANTHACEAE,"Herpetacanthus parvispica",1,0,1,0,1,0,0,1,0,1,"274,22km²","4,0km²"
ACANTHACEAE,"Justicia itatiaiensis",2,0,2,0,2,0,0,2,0,2,"274,21km²","4,0km²"
ACANTHACEAE,"Justicia nervata",8,3,11,0,10,1,0,8,3,11,"344,72km²","12,0km²"
ACANTHACEAE,"Justicia polita",32,4,36,0,36,0,0,32,4,36,"2.978,94km²","60,0km²"
ACANTHACEAE,"Staurogyne brachiata",5,3,8,0,5,3,0,4,4,8,"86,46km²","12,0km²"
ACANTHACEAE,"Staurogyne euryphylla",4,5,9,0,7,2,0,3,6,9,"253,58km²","12,0km²"
AMARYLLIDACEAE,"Griffinia rochae",0,0,0,2,1,1,0,0,2,2,"274,32km²","4,0km²"
