family,scientificName,document,field,reference
BROMELIACEAE,"Neoregelia martinellii",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
BROMELIACEAE,"Neoregelia martinellii",assessment,,"Castro, A.O.C. De, Gomes, A.A., Batista, G.V.-C.P., Gonçalves, J.T., 2012. Os desafios do planejamento e conservação ambiental da Reserva Biológica de Guaratiba (RJ). An. do I Semin. Nac. do Grup. Geoecologia e Planej. Territ. 5, 1–11."
PRIMULACEAE,"Stylogyne sordida",assessment,,"Fernandez, A., 2009. A construção social do Parque Estadual da Pedra Branca: de Castelo das Águas ao Parque de Carbono., in: Mendes, C.P. do A., Bandeira, F.C. da S. (Eds.), I Encontro Científico Do Parque Estadual Da Pedra Branca - Ciência Para Gestão Ou Gestão Para a Ciência? Instituto Estadual do Ambiente - INEA, Rio de Janeiro, pp. 12–16"
PRIMULACEAE,"Stylogyne sordida",assessment,,"Freire, J.M., Oliveira, R.R. de, Rosendo, E., Braga, J.M.A., 2009. Árvores do Parque Estadual da Pedra Branca: florística e estrutura, in: Mendes, C.P. do A., Bandeira, F.C. da S. (Eds.), I Encontro Científico Do Parque Estadual Da Pedra Branca - Ciência Para Gestão Ou Gestão Para a Ciência? Instituto Estadual do Ambiente - INEA, Rio de Janeiro, pp. 44–46."
PRIMULACEAE,"Stylogyne sordida",assessment,,"Santos, F.V., Solórzano, A., Guedes-Bruni, R.R., Oliveira, R.R. de, 2006. Composição do estrato arbóreo de um paleoterritório de carvoeiros no Maciço da Pedra Branca, RJ. Pesqui. BOTÂNICA 181–192."
DRYOPTERIDACEAE,"Elaphoglossum mourae",assessment,,"Windisch, P.G.; Kieling-Rubio, M.A. 2015. Elaphoglossum in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB91052>. Acesso em: 21 Abr. 2015"
DRYOPTERIDACEAE,"Elaphoglossum mourae",assessment,,"Sylvestre, L. S. & Mynssen, C. M. 2014. Dryopteridaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 19 Mar. 2015"
ORCHIDACEAE,"Baptistonia pulchella",assessment,,"•	ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>. Acesso em 20 março 2015."
LORANTHACEAE,"Psittacanthus pluricotyledonarius",assessment,,"Reif, C. & Andreata, R.H.P. Contribuição à taxonomia de Loranthaceae no estado do Rio de Janeiro, Brasil. Pesquisas, Botânica 62: 71-115."
PIPERACEAE,"Peperomia bradei",assessment,,"Guimarães, et al. 1985. Peperomia Ruiz et Pav. do Parque Nacional da Serra dos Órgãos. Boletim do Museu Botânico kuhlmam, IBDF. 8(2): 15-50."
PIPERACEAE,"Peperomia bradei",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>. Acesso em 10 mar. 2015."
PIPERACEAE,"Peperomia bradei",assessment,,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>. Acesso em 10 mar. 2015."
PIPERACEAE,"Peperomia bradei",assessment,,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos. Acesso em 10 mar. 2015."
PIPERACEAE,"Peperomia bradei",assessment,,"Yuncker, T.G. 1966. New species of Piperaceae from Brasil. Instituto de Botânica, São Paulo."
