occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
" HABITAT: beira do rio",Araceae,ARACEAE,"Anthurium luschnathianum Kunth","Anthurium luschnathianum",-27.775278,-48.4925,,ok,"Fernanda Wimmer",,,,"Anthurium luschnathianum Kunth",false,unknown,no,no,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
" Hábito: Arbusto",Araceae,ARACEAE,"Philodendron alternans Schott","Philodendron alternans",-22.935203,-43.471631,sig,ok,,,,"centroide de municipio","Philodendron alternans Schott",false,valid,no,yes,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
" Hábito: Herbacea",Araceae,ARACEAE,"Philodendron alternans Schott","Philodendron alternans",-22.935203,-43.471631,sig,ok,,,,"centroide de municipio","Philodendron alternans Schott",false,valid,no,yes,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
" duplicata em RB.",ASTERACEAE,ASTERACEAE,"Austrocritonia taunayana (Glaz. ex B.L.Rob.) R.M.King & H.Rob.","Austrocritonia taunayana",-22.998424,-43.284503,"google earth",ok,,,,"250 a 1000 m","Austrocritonia taunayana (Glaz. ex B.L.Rob.) R.M.King & H.Rob.",true,valid,no,no,native,valid,"Jimi Nakajima ; Fernanda Wimmer ; Lucas Moraes",
" espata creme-esverdeada.",ARACEAE,ARACEAE,"Philodendron alternans Schott","Philodendron alternans",-22.532704,-43.064657,"google earth",ok,,,,"1 a 5 km","Philodendron alternans Schott",true,valid,no,no,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
" folhas discolores",ARACEAE,ARACEAE,"Anthurium simonii Nadruz","Anthurium simonii",-23.228494,-44.641034,"google earth",ok,,,,"250 a 1000 m","Anthurium simonii Nadruz",false,valid,no,yes,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
" folhas levemente discolores",ASTERACEAE,ASTERACEAE,"Baccharis friburgensis G.Heiden et al.","Baccharis friburgensis",-22.376706,-42.383115,,ok,"Fernanda Wimmer",,,,"Baccharis friburgensis G.Heiden et al.",false,,,yes,,,"Fernanda Wimmer ; Lucas Moraes",
" inflorescência com raque verde e frutos passados marrons",ARACEAE,ARACEAE,"Anthurium laucheanum K.Koch","Anthurium laucheanum",-22.64331,-43.304172,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Anthurium laucheanum K.Koch",false,,,yes,,,"Diogo Silva ; Fernanda Wimmer ; Lucas Moraes",
" lâmina verde discolor brilhante em cima e semi brilhante em baixo",ARACEAE,ARACEAE,"Anthurium luschnathianum Kunth","Anthurium luschnathianum",-23.176273,-44.299025,"google earth",ok,,,,"1 a 5 km","Anthurium luschnathianum Kunth",true,valid,no,no,native,valid,"Marcus Nadruz ; Fernanda Wimmer ; Lucas Moraes",
0b2259bc-ed69-4ddb-b9ef-9be48aad55eb,Rubiaceae,RUBIACEAE,"Coussarea coffeoides Müll.Arg.","Coussarea coffeoides",,,,,,,,,"Coussarea coffeoides Müll.Arg.",,,,,,,"Raquel Negrão",
