family,scientificNameWithoutAuthorship,scientificNameAuthorship
Poaceae,"Glaziophyton mirabile",Franch.
Thismiaceae,"Thismia glaziovii",Poulsen
COMMELINACEAE,"Dichorisandra picta",Lodd.
Bromeliaceae,"Neoregelia paratiensis",Leme
Poaceae,"Chusquea sclerophylla",Döll
Gesneriaceae,"Besleria macahensis",Brade
CACTACEAE,"Rhipsalis triangularis",Werderm.
Myrtaceae,"Myrcia innovans",Kiaersk.
Amaryllidaceae,"Worsleya procera","(Lem.) Traub"
ORCHIDACEAE,"Pabstiella dracula","(Seehawer) Luer & Toscano"
Acanthaceae,"Aphelandra stephanophysa",Nees
Acanthaceae,"Justicia meyeniana","(Nees) Lindau"
Amaryllidaceae,"Griffinia intermedia",Lindl.
Orchidaceae,"Pabstiella pantherina","(Seehawer) Luer & Toscano"
ACANTHACEAE,"Aphelandra bradeana",Rizzini
ACANTHACEAE,"Aphelandra rigida","Glaz. ex Mildbr."
ACANTHACEAE,"Herpetacanthus delicatus","Indriunas & Kameyama"
ACANTHACEAE,"Herpetacanthus parvispica","Indriunas & Kameyama"
ACANTHACEAE,"Justicia itatiaiensis",Profice
ACANTHACEAE,"Justicia nervata","(Lindau) Profice"
ACANTHACEAE,"Justicia polita","(Nees) Profice"
ACANTHACEAE,"Staurogyne brachiata","(Hiern) Leonard"
ACANTHACEAE,"Staurogyne euryphylla",E.Hossain
AMARYLLIDACEAE,"Griffinia rochae",Morel
ANEMIACEAE,"Anemia candidoi",Brade
ANNONACEAE,"Annona ferruginea","(R.E.Fr.) H.Rainer"
ANNONACEAE,"Annona parviflora","(A.St.-Hil.) H.Rainer"
ANNONACEAE,"Duguetia microphylla","(R.E.Fr.) R.E.Fr."
ANNONACEAE,"Duguetia pohliana",Mart.
ANNONACEAE,"Hornschuchia alba","(A.St.-Hil.) R.E.Fr."
ANNONACEAE,"Trigynaea axilliflora","D.M.Johnson & N.A.Murray"
ANNONACEAE,"Unonopsis riedeliana",R.E.Fr.
ANTHOCEROTACEAE,"Anthoceros lamellatus",Steph.
APIACEAE,"Eryngium fluminense",Urb.
APOCYNACEAE,"Aspidosperma compactinervium",Kuhlm.
APOCYNACEAE,"Aspidosperma ingratum",K.Schum.
APOCYNACEAE,"Cynanchum brasiliense","(Morillo) Liede"
APOCYNACEAE,"Ditassa fontellae","Marquete & C.Valente"
APOCYNACEAE,"Ditassa guilleminiana",Decne.
APOCYNACEAE,"Ditassa imbricata",E.Fourn.
APOCYNACEAE,"Ditassa maricaensis","Fontella & E.A.Schwarz"
APOCYNACEAE,"Ditassa subumbellata",Malme
APOCYNACEAE,"Forsteronia linearis","(Vell.) Müll.Arg."
APOCYNACEAE,"Gonolobus dorothyanus",Fontella
APOCYNACEAE,"Macroditassa laxa","(Malme) Fontella & de Lamare"
APOCYNACEAE,"Mandevilla crassinoda","(Gardner) Woodson"
APOCYNACEAE,"Marsdenia glaziovii","(E.Fourn.) Spellman & Morillo"
APOCYNACEAE,"Matelea fournieri",Morillo
APOCYNACEAE,"Matelea quinquedentata","(E.Fourn.) Morillo"
APOCYNACEAE,"Monsanima tinguaensis","R.Santos & Fontella"
APOCYNACEAE,"Orthosia arenosa",Decne.
APOCYNACEAE,"Orthosia umbrosa",Decne.
APOCYNACEAE,"Oxypetalum costae",Occhioni
APOCYNACEAE,"Oxypetalum lutescens",E.Fourn.
APOCYNACEAE,"Oxypetalum schottii",E.Fourn.
AQUIFOLIACEAE,"Ilex cognata",Reissek
AQUIFOLIACEAE,"Ilex friburgensis",Loes.
AQUIFOLIACEAE,"Ilex glazioviana",Loes.
AQUIFOLIACEAE,"Ilex longipetiolata",Loes.
AQUIFOLIACEAE,"Ilex organensis",Loes.
AQUIFOLIACEAE,"Ilex schwackeana",Loes.
AQUIFOLIACEAE,"Ilex virgata",Loes.
ARACEAE,"Anthurium aduncum","(Vell.) Schott"
ARACEAE,"Anthurium augustinum","K.Koch & Lauche"
ARACEAE,"Anthurium binotii",Linden
ARACEAE,"Anthurium bragae",Nadruz
ARACEAE,"Anthurium harrisii","(Graham) G.Don"
ARACEAE,"Anthurium laucheanum",K.Koch
ARACEAE,"Anthurium lhotzkyanum",Schott
ARACEAE,"Anthurium lucidum",Kunth
ARACEAE,"Anthurium luschnathianum",Kunth
ARACEAE,"Anthurium nitidulum",Engl.
ARACEAE,"Anthurium simonii",Nadruz
ARACEAE,"Anthurium validinervium",Engl.
ARACEAE,"Asterostigma concinnum",Schott
ARACEAE,"Philodendron alternans",Schott
ARACEAE,"Philodendron fragile","Nadruz & Mayo"
ARACEAE,"Philodendron millerianum","Nadruz & Sakur."
ARACEAE,"Philodendron nadruzianum",Sakur.
ARACEAE,"Wolffiella neotropica",Landolt
ARALIACEAE,"Dendropanax heterophyllus","(Marchal) Frodin"
ARALIACEAE,"Dendropanax langsdorfii","(Marchal) Frodin"
ARALIACEAE,"Dendropanax trilobus","(Gardner) Seem."
ARALIACEAE,"Hydrocotyle alpestris",Gardner
ARALIACEAE,"Hydrocotyle bradei",Rossberg
ARALIACEAE,"Hydrocotyle ulei",H.Wolff
ARALIACEAE,"Schefflera succinea","Frodin & Fiaschi"
ARECACEAE,"Lytocaryum weddellianum","(H.Wendl.) Toledo"
ARISTOLOCHIACEAE,"Aristolochia raja","Mart. & Zucc."
ASPLENIACEAE,"Asplenium cariocanum",Brade
ASTERACEAE,"Austrocritonia rosea","(Gardner) R.M.King & H.Rob."
ASTERACEAE,"Austrocritonia taunayana","(Glaz. ex B.L.Rob.) R.M.King & H.Rob."
ASTERACEAE,"Austroeupatorium petrophilum","(B.L.Rob.) R.M.King & H.Rob."
ASTERACEAE,"Baccharis alpestris",Gardner
ASTERACEAE,"Baccharis bifrons",Baker
ASTERACEAE,"Baccharis ciliata",Gardner
