family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
Poaceae,"Glaziophyton mirabile",Franch.,validation,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
Thismiaceae,"Thismia glaziovii",Poulsen,review,,,
COMMELINACEAE,"Dichorisandra picta",Lodd.,open,review,CR,"B1ab(i,ii,iii,iv);C1+2a(i)"
Bromeliaceae,"Neoregelia paratiensis",Leme,done,review,DD,
Poaceae,"Chusquea sclerophylla",Döll,done,review,DD,
Gesneriaceae,"Besleria macahensis",Brade,,,,
CACTACEAE,"Rhipsalis triangularis",Werderm.,validation,,,
Myrtaceae,"Myrcia innovans",Kiaersk.,review,,,
Amaryllidaceae,"Worsleya procera","(Lem.) Traub",validation,,,
ORCHIDACEAE,"Pabstiella dracula","(Seehawer) Luer & Toscano",done,review,CR,B2ab(iii)
Acanthaceae,"Aphelandra stephanophysa",Nees,validation,review,CR,"B2ab(i,ii,iii,iv)"
Acanthaceae,"Justicia meyeniana","(Nees) Lindau",validation,review,VU,"B1ab(i,ii,iii,iv)"
Amaryllidaceae,"Griffinia intermedia",Lindl.,validation,,,
Orchidaceae,"Pabstiella pantherina","(Seehawer) Luer & Toscano",done,review,DD,
ACANTHACEAE,"Aphelandra bradeana",Rizzini,done,comments,CR,"B2ab(i,ii,iii,iv)"
ACANTHACEAE,"Aphelandra rigida","Glaz. ex Mildbr.",done,review,CR,"B2ab(ii,iii,iv)"
ACANTHACEAE,"Herpetacanthus delicatus","Indriunas & Kameyama",validation,review,CR,"B2ab(ii,iii,iv)"
ACANTHACEAE,"Herpetacanthus parvispica","Indriunas & Kameyama",done,review,CR,"B2ab(ii,iii,iv)"
ACANTHACEAE,"Justicia itatiaiensis",Profice,done,review,CR,"B2ab(ii,iii,iv)"
ACANTHACEAE,"Justicia nervata","(Lindau) Profice",done,review,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
ACANTHACEAE,"Justicia polita","(Nees) Profice",validation,review,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
ACANTHACEAE,"Staurogyne brachiata","(Hiern) Leonard",validation,review,CR,"B2ab(i,ii,iii,iv)"
ACANTHACEAE,"Staurogyne euryphylla",E.Hossain,done,review,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
AMARYLLIDACEAE,"Griffinia rochae",Morel,validation,,,
ANEMIACEAE,"Anemia candidoi",Brade,done,review,DD,
ANNONACEAE,"Annona ferruginea","(R.E.Fr.) H.Rainer",done,review,DD,
ANNONACEAE,"Annona parviflora","(A.St.-Hil.) H.Rainer",validation,review,VU,"B1ab(i,iii)"
ANNONACEAE,"Duguetia microphylla","(R.E.Fr.) R.E.Fr.",done,review,EN,B1ab(iii)+2ab(iii)
ANNONACEAE,"Duguetia pohliana",Mart.,done,review,EN,B1ab(iii)+2ab(iii)
ANNONACEAE,"Hornschuchia alba","(A.St.-Hil.) R.E.Fr.",done,review,CR,B1ab(iii)
