family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
COMMELINACEAE,"Dichorisandra picta",Lodd.,"Dichorisandra picta Lodd."
Bromeliaceae,"Neoregelia paratiensis",Leme,"Neoregelia paratiensis Leme"
"CACTACEAE ","Rhipsalis triangularis",Werderm.,"Rhipsalis triangularis Werderm."
Amaryllidaceae,"Worsleya procera","(Lem.) Traub","Worsleya procera (Lem.) Traub"
Acanthaceae,"Aphelandra stephanophysa",Nees,"Aphelandra stephanophysa Nees"
Acanthaceae,"Justicia meyeniana","(Nees) Lindau","Justicia meyeniana (Nees) Lindau"
ACANTHACEAE,"Aphelandra bradeana",Rizzini,"Aphelandra bradeana Rizzini"
ACANTHACEAE,"Aphelandra neesiana",Wassh.,"Aphelandra neesiana Wassh."
ACANTHACEAE,"Aphelandra rigida","Glaz. ex Mildbr.","Aphelandra rigida Glaz. ex Mildbr."
ACANTHACEAE,"Herpetacanthus delicatus","Indriunas & Kameyama","Herpetacanthus delicatus Indriunas & Kameyama"
ACANTHACEAE,"Herpetacanthus parvispica","Indriunas & Kameyama","Herpetacanthus parvispica Indriunas & Kameyama"
ACANTHACEAE,"Justicia itatiaiensis",Profice,"Justicia itatiaiensis Profice"
ACANTHACEAE,"Justicia nervata","(Lindau) Profice","Justicia nervata (Lindau) Profice"
ACANTHACEAE,"Justicia polita","(Nees) Profice","Justicia polita (Nees) Profice"
ACANTHACEAE,"Ruellia herbstii","(Hook.) Hiern","Ruellia herbstii (Hook.) Hiern"
ACANTHACEAE,"Ruellia silvaccola","(Mart. ex Ness) Lindau","Ruellia silvaccola (Mart. ex Ness) Lindau"
ACANTHACEAE,"Schaueria calycotricha","(Link & Otto) Nees","Schaueria calycotricha (Link & Otto) Nees"
ACANTHACEAE,"Schaueria sulfurea",Nees,"Schaueria sulfurea Nees"
ACANTHACEAE,"Staurogyne brachiata","(Hiern) Leonard","Staurogyne brachiata (Hiern) Leonard"
ACANTHACEAE,"Staurogyne euryphylla",E.Hossain,"Staurogyne euryphylla E.Hossain"
AMARYLLIDACEAE,"Griffinia rochae",Morel,"Griffinia rochae Morel"
ANEMIACEAE,"Anemia candidoi",Brade,"Anemia candidoi Brade"
ANNONACEAE,"Annona ferruginea","(R.E.Fr.) H.Rainer","Annona ferruginea (R.E.Fr.) H.Rainer"
ANNONACEAE,"Annona parviflora","(A.St.-Hil.) H.Rainer","Annona parviflora (A.St.-Hil.) H.Rainer"
ANNONACEAE,"Duguetia microphylla","(R.E.Fr.) R.E.Fr.","Duguetia microphylla (R.E.Fr.) R.E.Fr."
ANNONACEAE,"Duguetia pohliana",Mart.,"Duguetia pohliana Mart."
ANNONACEAE,"Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Hornschuchia alba (A.St.-Hil.) R.E.Fr."
ANNONACEAE,"Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Trigynaea axilliflora D.M.Johnson & N.A.Murray"
ANNONACEAE,"Unonopsis riedeliana",R.E.Fr.,"Unonopsis riedeliana R.E.Fr."
ANTHOCEROTACEAE,"Anthoceros lamellatus",Steph.,"Anthoceros lamellatus Steph."
APIACEAE,"Eryngium fluminense",Urb.,"Eryngium fluminense Urb."
APIACEAE,"Eryngium goulartii","Glaz. & Urb. ex Urb.","Eryngium goulartii Glaz. & Urb. ex Urb."
APOCYNACEAE,"Aspidosperma compactinervium",Kuhlm.,"Aspidosperma compactinervium Kuhlm."
APOCYNACEAE,"Aspidosperma ingratum",K.Schum.,"Aspidosperma ingratum K.Schum."
APOCYNACEAE,"Cynanchum brasiliense","(Morillo) Liede","Cynanchum brasiliense (Morillo) Liede"
APOCYNACEAE,"Ditassa fontellae","Marquete & C.Valente","Ditassa fontellae Marquete & C.Valente"
APOCYNACEAE,"Ditassa guilleminiana",Decne.,"Ditassa guilleminiana Decne."
APOCYNACEAE,"Ditassa imbricata",E.Fourn.,"Ditassa imbricata E.Fourn."
APOCYNACEAE,"Ditassa maricaensis","Fontella & E.A.Schwarz","Ditassa maricaensis Fontella & E.A.Schwarz"
APOCYNACEAE,"Ditassa subumbellata",Malme,"Ditassa subumbellata Malme"
APOCYNACEAE,"Forsteronia linearis","(Vell.) Müll.Arg.","Forsteronia linearis (Vell.) Müll.Arg."
APOCYNACEAE,"Gonolobus dorothyanus",Fontella,"Gonolobus dorothyanus Fontella"
APOCYNACEAE,"Macroditassa laxa","(Malme) Fontella & de Lamare","Macroditassa laxa (Malme) Fontella & de Lamare"
