family,scientificName,threat,incidence,timing,decline
Monimiaceae,"Grazielanthus arkeocarpus","7.1 Fire & fire suppression",local,past;present,locality;habitat;occupancy;occurrence
GENTIANACEAE,"Prepusa alata","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat
GENTIANACEAE,"Prepusa alata","1.3 Tourism & recreation areas",local,present;future,habitat
ARALIACEAE,"Dendropanax heterophyllus","2.1.2 Small-holder farming",regional,past,habitat
ARALIACEAE,"Dendropanax heterophyllus","2.3.2 Small-holder grazing, ranching or farming",regional,past,habitat
ARALIACEAE,"Dendropanax heterophyllus","1.3 Tourism & recreation areas",regional,present,habitat
ARALIACEAE,"Dendropanax heterophyllus","1.1 Housing & urban areas",regional,present,habitat
MELASTOMATACEAE,"Behuria cordifolia","1.3 Tourism & recreation areas",local,past;present;future,habitat;occupancy;occurrence
MELASTOMATACEAE,"Behuria cordifolia","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat;occupancy;occurrence
LECYTHIDACEAE,"Couratari pyramidata","1 Residential & commercial development",regional,past;present;future,"habitat;mature individuals;locality;occupancy;occurrence"
LECYTHIDACEAE,"Couratari pyramidata","5.3.1 Intentional use: subsistence/small scale (species being assessed is the target) [harvest]",regional,past;present,"mature individuals"
LECYTHIDACEAE,"Couratari pyramidata","4.1 Roads & railroads",regional,past;present;future,locality;habitat;occupancy;occurrence
LECYTHIDACEAE,"Couratari pyramidata","7.1.1 Increase in fire frequency/intensity",local,past;present;future,locality;habitat;occupancy;occurrence
LECYTHIDACEAE,"Couratari pyramidata","2.1 Annual & perennial non-timber crops",regional,past,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra bradeana","1.2 Commercial & industrial areas",regional,past;present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra bradeana","2.1 Annual & perennial non-timber crops",local,past,locality;habitat;occupancy;occupancy
ACANTHACEAE,"Aphelandra bradeana","2.3.2 Small-holder grazing, ranching or farming",local,past;present,locality;habitat;occupancy;occurrence
