family,scientificName,use,resource,details,references
LECYTHIDACEAE,"Couratari pyramidata","9. Construction/structural materials",stalk,"Maioli-Azevedo e Senna-Valle, 2011 relatam o uso do tronco de C. pyramidata em construção e em utensílios em uma comunidade quilombola no município de Quissamã, norte do Rio de Janeiro, tendo a espécie um considerável valor de uso na comunidade que a extrai de um remanescente florestal. Borges e Peixoto, 2009 e Britto e Senna-Valle, 2012 apontam a utilização da espécie por duas comunidades caiçara no sul do Rio de Janeiro onde extraem da floresta e utilizam o caule em construção e tecnologia (elaboração de utensílios diversos). ","Borges, R., Peixoto, A.L., 2009. Conhecimento e uso de plantas em uma comunidade caiçara do litoral sul do Estado do Rio de Janeiro, Brasil. Acta bot. bras. 23(3), 769-779.;Brito, M.R., Senna-Vale, L., 2012. Diversity of plant knowledge in a “Caiçara”community from the Brazilian Atlantic Forest coast. Acta bot. bras. 26(4): 735-747.;Maioli-Azevedo, V., Senna-Vale, L., 2011. Quilombolas da Fazenda Machadinha: tradição e uso dos recursos vegetais, in: Peixoto, A.L., Silva, I.M. (Orgs.), Saberes e usos de plantas: legados de atividades humanas no Rio de Janeiro, pp. 120-172. "
LECYTHIDACEAE,"Couratari pyramidata","11. Other household goods",stalk,,
BROMELIACEAE,"Aechmea caesia","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
ARECACEAE,"Lytocaryum weddellianum","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","Segundo Noblick & Lorenzi (2010), a tolerância à sombra, torna esta espécie ideal para jardins internos. A busca no site Google pelo nome da espécie resulta em diversas páginas de paisagismo, recomendando seu uso e indicando que há tempos está domesticada, além de páginas de vendas de mudas e sementes. ","Noblick, L. & Lorenzi, H. 2010. Lytocaryum, including a new species from Bahia, Brazil. Palms, 54(1): 5-17."
PRIMULACEAE,"Cybianthus barrosoanus","2. Food - animal",fruit,"As sementes das espécies de Primulaceae são reconhecidamente uma fonte alimentícia de pássaros (Freitas, com. pess.).",
CACTACEAE,"Pilosocereus ulei","13. Pets/display animals, horticulture","whole plant","Espécies da família em geral possuem potencial ornamental, o que coloca em risco algumas populações naturais (Souza & Lorenzi, 2008), principalmente os gêneros de formas colunares (Gonzaga, com. pess.).","Souza, V.C. & Lorenzi, H. Botânica Sistemática. Guia ilustrado para identificação das famílias de Fanerógamas nativas e exóticas no Brasil, baseado em APG III. 2008. Instituto Plantarum: Nova Odessa, 3ed,. 768p. "
CACTACEAE,"Pilosocereus ulei","15. Sport hunting/specimen collecting","whole plant",,
CACTACEAE,"Rhipsalis flagelliformis","16. Other","whole plant","Espécies da família em geral possuem potencial ornamental, o que coloca em risco algumas populações naturais (Souza & Lorenzi, 2008).","Souza, V.C. & Lorenzi, H. Botânica Sistemática. Guia ilustrado para identificação das famílias de Fanerógamas nativas e exóticas no Brasil, baseado em APG III. 2008. Instituto Plantarum: Nova Odessa, 3ed,. 768p. "
ARISTOLOCHIACEAE,"Aristolochia raja","17. Unknown",,,
CACTACEAE,"Rhipsalis mesembryanthemoides","15. Sport hunting/specimen collecting","whole plant",,
