family,scientificName,action,situation,details,references
DRYOPTERIDACEAE,"Polystichum auritum","1.1 Site/area protection","on going","A espécie foi coletada no Parque Nacional da Serra dos Órgãos (R. Engelmann 804) e no Parque Estadual dos Três Picos (Forzza 3411).",
APIACEAE,"Eryngium goulartii","1.1 Site/area protection","on going","As coletas para o estado do Rio de Janeiro foram realizads na Serra dos Órgãos, onde atualmente encontra-se o Parque Nacional da Serra dos Órgãos.",
DICHAPETALACEAE,"Stephanopodium estrellense","1.1 Site/area protection","on going","A espécie foi documentada dentro dos limites das seguintes unidades de conservaçao: Centro de Primatologia FEEMA (G.Martinelli et al. 10006), Parque Nacional da Serra dos Orgãos (A. B. Pereira 62), Área de Proteção Ambiental de Cairuçu (R. Marquete 1517) e Área de Proteção Ambiental da Região Serrana de Petrópolis (H.A. Weddell, 769).",
ACANTHACEAE,"Ruellia silvaccola","1.1 Site/area protection","on going","A espécie ocorre na Reserva Ecológica Estadual de Jacarepiá (A.Q.Lobrão;52;67;98) localizada no município de Saquarema. ",
PHYLLANTHACEAE,"Phyllanthus augustinii","1.1 Site/area protection",needed,"A espécie foi considerada Em Perigo (EN) em avaliação de risco de extinção empreendida pela especialista no gênero Erika Ramos Martins pois nenhuma de suas duas sub populações encontram-se protegidas dentro dos limites de Unidades de Conservação (SNUC) (Martins 2013; Martins et al., 2014).",
ACANTHACEAE,"Schaueria calycotricha","1.1 Site/area protection","on going","Ocorre na divisa dos municípios de Niterói e Maricá, em diferentes localidades do Parque Estadual Serra da Tiririca, como Morro do Telegrafo (A.A.M. de Barros 2064) e Córrego dos Colibris (L.J.S. Pinto 59) e, no Parque Nacional da Tijuca (J.M.A. Braga 556).",
ACANTHACEAE,"Schaueria sulfurea","1.1 Site/area protection","on going","O Corredor de Biodiversidade Tinguá-Bocaina (CBTB) possui 195 mil hectares ao longo de nove municípios fluminenses (Vassouras, Miguel Pereira, Paty do Alferes, Barra do Piraí, Piraí, Paracambi, Engenheiro Paulo de Frontin, Mendes e Rio Claro) e inclui as áreas mais críticas de fragmentação da Mata Atlântica e o local onde estão situadas as nascentes abastecedoras da Região Metropolitana do Rio de Janeiro (ITPA, 2015).","ITPA, 2015. Clima, Biodiversidade e água. Disponível em: <http://www.itpa.org.br/?p=2580>. Acesso em: 20 mar. 2015."
ERIOCAULACEAE,"Paepalanthus cordatus ","1.1 Site/area protection",needed,"A espécie ocorre no entorno e dentro do Parque Nacional da Chapada dos Veadeiros (Glaziou 22324; M.Trovó 436; 471; 474; 478), mas os poucos registros da espécie são próximos às fronteiras da UC (Trovó 2010). ","Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil:  Universidade de São Paulo."
ERIOCAULACEAE,"Paepalanthus macer ","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (H.S.Hirwin 32034; M.Trovó 446; 468; S.B.Silva 60; S.Romaniuc 444). ",
ERIOCAULACEAE,"Paepalanthus stellatus ","1.1 Site/area protection","on going","Espécie ocorre no Parque Nacional da Chapada dos Veadeiros (F.R.Lopes 350; J.M.Silva 6668) e em áreas fora dos limites do Parque (M.Trovó 465) (Trovó & Sano 2011)","Trovó, M. ; Sano, P.T. Five new and narrowly distributed species of Paepalanthus section Diphyomene (Eriocaulaceae) from Central Brazil. Systematic Botany, v. 36, p. 610-620, 2011."
ERIOCAULACEAE,"Paepalanthus urbanianus ","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (M.Trovó 467) (Trovó 2010, Trovó & al. 2013)","Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil: Universidade de São Paulo.;Trovó, M. ; Echternacht, L.A. ; Sano, P.T. Distribution and conservation of Paepalanthus sect. Diphyomene (Eriocaulaceae) in Neotropical Savannas. Adansonia, v. 35, p. 195-206, 2013."
URTICACEAE,"Pilea apiculata","1.1 Site/area protection","on going","No Brasil, a espécie opssui documentação de ocorrência somente no Parque Nacional do Itatiaia (P. Carauta 359).",
DILLENIACEAE,"Doliocarpus littoralis","1.1 Site/area protection","on going","A espécie possui registros de coleta realizados dentro do Parque Estadual da Costa do Sol (região de Cabo Frio e Arraial do Cabo).",
CALOPHYLLACEAE,"Kielmeyera rizziniana","1 Land/water protection","on going","A espécie foi coletada na APA-Cairuçú em Paraty (C.Duarte 37) e na na Pedra de Itaúna, município do Rio de Janeiro (Sucre 5968), local incluído na Reserva da Biosfera da Mata Atlântica. A Reserva da Biosfera é considerada como uma área de proteção da categoria VI do Programa Global de Áreas Protegidas da IUCN.",
CYPERACEAE,"Scleria bradei","1 Land/water protection",needed,"A espécie, embora supostamente em área controlada pelo Exército (Brade 12818), não está protegida em Unidade de Conservação.",
MALPIGHIACEAE,"Hiraea wiedeana","5.1.2 National level","on going","A espécie foi incluída na Lista Vermelha da Flora do Brasil, na categoria Em perigo, EN. (MMA, 2014)","MINISTÉRIO DO MEIO AMBIENTE. 2014. Portaria No 443, De 17 de Dezembro de 2014. a ""Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção"". Diário Oficial [da] República Federativa do Brasil, Poder Executivo, Brasília, DF, 18 dez. 2014 Seção 1, p.110-121."
Malpighiaceae,"Hiraea macrophylla","5.1.2 National level","on going","A espécie foi incluída na Lista Vermelha da Flora do Brasil, na categoria ""Em perigo"" (EN) (MMA, 2014).","MINISTÉRIO DO MEIO AMBIENTE. 2014. Portaria No 443, De 17 de Dezembro de 2014. a ""Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção"". Diário Oficial [da] República Federativa do Brasil, Poder Executivo, Brasília, DF, 18 dez. 2014 Seção 1, p.110-121."
CUCURBITACEAE,"Gurania ovata","1 Land/water protection","on going","A espécie foi coletada no PARNA da Tijuca (Ducke s.n., RB 23169).",
POACEAE,"Chusquea sclerophylla","1.1 Site/area protection","on going","Espécie coletada no Morro Açu, localizado no interior do Parque Nacional da Serra dos Órgãos (T.R. Soderstrom 1930). ",
DIOSCOREACEAE,"Dioscorea campos-portoi","1 Land/water protection","on going","A espécie ocorre no PARNA do Itatiaia (Campos Porto 2733).",
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","1 Land/water protection","on going","A espécie encontra-se em cultivo no Arboreto do  JBRJ, canteiro 30B (RB 426325; RB 300925); no Parque Estadual da Serra da Tiririca (L.J.S.Pinto 191); na APA do Morro da Babilônia (Sucre 7505); e no Monumento Natural (MONA) dos Morros do Pão de Açúcar e da Urca.","Monumento Natural (MONA) dos Morros do Pão de Açúcar e da Urca. Em: http://www.rio.rj.gov.br/web/smac/exibeconteudo?id=4461307 Acesso em: 20 de abril de 2015"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","5.1.2 National level","on going","A espécie foi incluída na Lista Vermelha da Flora do Brasil na categoria EN  ""Em perigo"" (MMA, 2014)","Ministério do Meio Ambiente. 2014. Portaria No 443, De 17 de Dezembro de 2014. a ""Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção"". Diário Oficial [da] República Federativa do Brasil, Poder Executivo, Brasília, DF, 18 dez. 2014 Seção 1, p.110-121."
