family,scientificName,bioma
BORAGINACEAE,"Varronia leucomalla","Mata Atlântica"
ACANTHACEAE,"Aphelandra neesiana","Mata Atlântica"
DRYOPTERIDACEAE,"Polystichum auritum","Mata Atlântica"
APIACEAE,"Eryngium goulartii","Mata Atlântica"
DICHAPETALACEAE,"Stephanopodium estrellense","Mata Atlântica"
ACANTHACEAE,"Ruellia herbstii","Mata Atlântica"
ACANTHACEAE,"Ruellia silvaccola","Mata Atlântica"
PHYLLANTHACEAE,"Phyllanthus augustinii","Mata Atlântica"
ACANTHACEAE,"Schaueria calycotricha","Mata Atlântica"
ACANTHACEAE,"Schaueria sulfurea","Mata Atlântica"
Orchidaceae,"Aganisia cyanea f. cyanea",Amazônia
COMMELINACEAE,"Dichorisandra begoniifolia","Mata Atlântica"
EUPHORBIACEAE,"Acalypha macularis","Mata Atlântica"
ERIOCAULACEAE,"Paepalanthus cordatus ",Cerrado
ERIOCAULACEAE,"Paepalanthus macer ",Cerrado
BROMELIACEAE,"Aechmea flavorosea","Mata Atlântica"
ERIOCAULACEAE,"Paepalanthus stellatus ",Cerrado
ERIOCAULACEAE,"Paepalanthus urbanianus ",Cerrado
URTICACEAE,"Pilea apiculata","Mata Atlântica"
DILLENIACEAE,"Doliocarpus littoralis","Mata Atlântica"
BROMELIACEAE,"Vriesea agostiniana","Mata Atlântica"
CALOPHYLLACEAE,"Kielmeyera rizziniana","Mata Atlântica"
MORACEAE,"Maclura brasiliensis","Mata Atlântica"
BROMELIACEAE,"Vriesea grandiflora","Mata Atlântica"
BROMELIACEAE,"Vriesea joyae","Mata Atlântica"
BROMELIACEAE,"Vriesea pauciflora","Mata Atlântica"
CYPERACEAE,"Scleria bradei","Mata Atlântica"
BROMELIACEAE,"Vriesea roethii","Mata Atlântica"
BROMELIACEAE,"Vriesea secundiflora","Mata Atlântica"
Malpighiaceae,"Hiraea macrophylla","Mata Atlântica"
CUCURBITACEAE,"Cayaponia latiloba","Mata Atlântica"
CUCURBITACEAE,"Gurania ovata","Mata Atlântica"
POACEAE,"Chusquea sclerophylla","Mata Atlântica"
DIOSCOREACEAE,"Dioscorea campos-portoi","Mata Atlântica"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","Mata Atlântica"
RUBIACEAE,"Simira walteri","Mata Atlântica"
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum","Mata Atlântica"
PTERIDACEAE,"Cheilanthes incisa","Mata Atlântica"
PTERIDACEAE,"Doryopteris tijucana","Mata Atlântica"
Pteridaceae,"Jamesonia brasiliensis","Mata Atlântica"
PTERIDACEAE,"Pteris congesta","Mata Atlântica"
POLYPODIACEAE,"Alansmia alfaroi","Mata Atlântica"
RUBIACEAE,"Rudgea allophylla","Mata Atlântica"
RUBIACEAE,"Psychotria mineirensis","Mata Atlântica"
RUBIACEAE,"Psychotria friburgensis","Mata Atlântica"
MYRTACEAE,"Myrcia oreioeca","Mata Atlântica"
MYRTACEAE,"Myrcia rubiginosa","Mata Atlântica"
MYRTACEAE,"Myrciaria pallida","Mata Atlântica"
RUBIACEAE,"Hindsia ramosissima","Mata Atlântica"
RUBIACEAE,"Hindsia glabra","Mata Atlântica"
ERIOCAULACEAE,"Paepalanthus macaheesis","Mata Atlântica"
