family,scientificName,endemic,altitude
ANEMIACEAE,"Anemia candidoi",yes,
BORAGINACEAE,"Varronia leucomalla",yes,
ACANTHACEAE,"Aphelandra neesiana",yes,
DRYOPTERIDACEAE,"Polystichum auritum",yes,2000
APIACEAE,"Eryngium goulartii",yes,
APIACEAE,"Lilaeopsis attenuata",,
DICHAPETALACEAE,"Stephanopodium estrellense",yes,
ACANTHACEAE,"Ruellia herbstii",yes,
ACANTHACEAE,"Ruellia silvaccola",yes,
PHYLLANTHACEAE,"Phyllanthus augustinii",yes,
ACANTHACEAE,"Schaueria calycotricha",yes,
MALVACEAE,"Abutilon macrocarpum",,
MALVACEAE,"Callianthe rufivela",,
MALVACEAE,"Callianthe schenckii",,
MALVACEAE,"Sida schumanniana",,
MALVACEAE,"Waltheria glazioviana",,
MALVACEAE,"Waltheria petiolata",,
ACANTHACEAE,"Schaueria sulfurea",yes,
Orchidaceae,"Aganisia cyanea f. cyanea",no,0~200
COMMELINACEAE,"Dichorisandra begoniifolia",yes,
EUPHORBIACEAE,"Acalypha macularis",yes,
ERIOCAULACEAE,"Paepalanthus cordatus ",yes,
ERIOCAULACEAE,"Paepalanthus macer ",yes,
BROMELIACEAE,"Aechmea flavorosea",yes,
ERIOCAULACEAE,"Paepalanthus stellatus ",yes,
ERIOCAULACEAE,"Paepalanthus urbanianus ",yes,
URTICACEAE,"Pilea apiculata",no,
DILLENIACEAE,"Doliocarpus littoralis",yes,
BROMELIACEAE,"Vriesea agostiniana",yes,
BROMELIACEAE,"Vriesea atra",,
CALOPHYLLACEAE,"Kielmeyera rizziniana",yes,
MORACEAE,"Maclura brasiliensis",yes,
BROMELIACEAE,"Vriesea grandiflora",yes,
BROMELIACEAE,"Vriesea joyae",yes,
BROMELIACEAE,"Vriesea pauciflora",yes,
CYPERACEAE,"Scleria bradei",,
BROMELIACEAE,"Vriesea roethii",yes,
BROMELIACEAE,"Vriesea secundiflora",yes,
MALPIGHIACEAE,"Hiraea wiedeana",,
Malpighiaceae,"Hiraea macrophylla",yes,
MYRTACEAE,"Eugenia cinerascens",yes,
CUCURBITACEAE,"Cayaponia latiloba",,
CUCURBITACEAE,"Gurania cinerea",,
CUCURBITACEAE,"Gurania ovata",,700
POACEAE,"Chusquea sclerophylla",yes,
DIOSCOREACEAE,"Dioscorea campos-portoi",yes,
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa",yes,
RUBIACEAE,"Simira walteri",yes,
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum",yes,1.45
PTERIDACEAE,"Cheilanthes incisa",yes,450
PTERIDACEAE,"Doryopteris tijucana",yes,
Pteridaceae,"Jamesonia brasiliensis",yes,1.5
PTERIDACEAE,"Pteris congesta",yes,700
POLYPODIACEAE,"Alansmia alfaroi",yes,
RUBIACEAE,"Rudgea allophylla",yes,
MYRTACEAE,"Myrcia colpodes",yes,
RUBIACEAE,"Psychotria mineirensis",yes,
RUBIACEAE,"Psychotria friburgensis",yes,
MYRTACEAE,"Myrcia oreioeca",yes,
MYRTACEAE,"Myrcia rubiginosa",yes,
RUBIACEAE,"Faramea diversifolia",yes,
MYRTACEAE,"Myrciaria pallida",yes,950~1200
RUBIACEAE,"Hindsia ramosissima",yes,
RUBIACEAE,"Hindsia glabra",yes,
ERIOCAULACEAE,"Paepalanthus macaheesis",yes,
