family,scientificName,lifeForm,fenology,luminosity,substratum,longevity,resprout
ANEMIACEAE,"Anemia candidoi",herb,,,terrestrial,,
BORAGINACEAE,"Varronia leucomalla","bush ; subshrub",,,terrestrial,,
ACANTHACEAE,"Aphelandra neesiana",subshrub,,,terrestrial,,
DRYOPTERIDACEAE,"Polystichum auritum",herb,,,terrestrial,,
APIACEAE,"Eryngium goulartii",herb,,,terrestrial,,
DICHAPETALACEAE,"Stephanopodium estrellense","small tree",,esciophytic,terrestrial,unkown,unkown
ACANTHACEAE,"Ruellia herbstii",herb,,,terrestrial,,
ACANTHACEAE,"Ruellia silvaccola",herb,,esciophytic,terrestrial,perennial,
PHYLLANTHACEAE,"Phyllanthus augustinii",herb,,,terrestrial,,
ACANTHACEAE,"Schaueria calycotricha",bush,,esciophytic,terrestrial,,
ACANTHACEAE,"Schaueria sulfurea",bush,,,terrestrial,,
Orchidaceae,"Aganisia cyanea f. cyanea",herb,,mesophytic,epiphytic,perennial,unkown
COMMELINACEAE,"Dichorisandra begoniifolia",herb,perenifolia,mesophytic,terrestrial,perennial,unkown
EUPHORBIACEAE,"Acalypha macularis",bush,,,terrestrial,,
ERIOCAULACEAE,"Paepalanthus cordatus ",herb,perenifolia,heliophytic,terrestrial,unkown,no
ERIOCAULACEAE,"Paepalanthus macer ",subshrub,perenifolia,heliophytic,terrestrial,unkown,no
ERIOCAULACEAE,"Paepalanthus stellatus ",herb,perenifolia,heliophytic,terrestrial,unkown,no
ERIOCAULACEAE,"Paepalanthus urbanianus ",herb,perenifolia,heliophytic,terrestrial,unkown,no
URTICACEAE,"Pilea apiculata",herb,,,terrestrial,,
DILLENIACEAE,"Doliocarpus littoralis",liana,,,terrestrial,,
BROMELIACEAE,"Vriesea agostiniana",herb,,,epiphytic,,
CALOPHYLLACEAE,"Kielmeyera rizziniana",tree,,,terrestrial,,
MORACEAE,"Maclura brasiliensis","liana ; bush ; tree",,,terrestrial,,
BROMELIACEAE,"Vriesea grandiflora",herb,,,epiphytic,,
BROMELIACEAE,"Vriesea joyae",herb,,,epiphytic,,
BROMELIACEAE,"Vriesea pauciflora",herb,,,epiphytic,,
CYPERACEAE,"Scleria bradei",herb,,,terrestrial,,
BROMELIACEAE,"Vriesea roethii",herb,,,epiphytic,,
BROMELIACEAE,"Vriesea secundiflora",herb,,,epiphytic,,
Malpighiaceae,"Hiraea macrophylla",liana,,heliophytic,terrestrial,,
CUCURBITACEAE,"Cayaponia latiloba",liana,,,,,
CUCURBITACEAE,"Gurania ovata",liana,,,terrestrial,,
POACEAE,"Chusquea sclerophylla",bush,,,terrestrial,,
DIOSCOREACEAE,"Dioscorea campos-portoi",liana,,,terrestrial,,
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa",liana,,"heliophytic ; esciophytic","terrestrial ; rupicolous",,
RUBIACEAE,"Simira walteri",tree,,,,,
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum",herb,,,epiphytic,,
PTERIDACEAE,"Cheilanthes incisa",herb,,esciophytic,"terrestrial ; rupicolous",,
PTERIDACEAE,"Doryopteris tijucana",herb,,,rupicolous,,
Pteridaceae,"Jamesonia brasiliensis",herb,,,rupicolous,,
PTERIDACEAE,"Pteris congesta",herb,,,terrestrial,,
POLYPODIACEAE,"Alansmia alfaroi",herb,,,epiphytic,,
MYRTACEAE,"Myrcia colpodes","bush ; tree",,,,,
RUBIACEAE,"Psychotria friburgensis",bush,,,terrestrial,,
MYRTACEAE,"Myrcia oreioeca",tree,,,terrestrial,,
MYRTACEAE,"Myrcia rubiginosa",tree,,,terrestrial,,
MYRTACEAE,"Myrciaria pallida","bush ; tree",,,terrestrial,,
RUBIACEAE,"Hindsia ramosissima",bush,,,rupicolous,,
RUBIACEAE,"Hindsia glabra",bush,,,rupicolous,,
ERIOCAULACEAE,"Paepalanthus macaheesis",herb,perenifolia,mesophytic,terrestrial,perennial,no
