family,scientificName,fitofisionomie
BORAGINACEAE,"Varronia leucomalla","Floresta Ombrófila Densa"
ACANTHACEAE,"Aphelandra neesiana","Floresta Ombrófila Densa"
DRYOPTERIDACEAE,"Polystichum auritum","Campos de Altitude"
DRYOPTERIDACEAE,"Polystichum auritum","Floresta Ombrófila Densa Alto-Montana"
APIACEAE,"Eryngium goulartii","Campos de Altitude"
DICHAPETALACEAE,"Stephanopodium estrellense","Floresta Ombrófila Densa"
DICHAPETALACEAE,"Stephanopodium estrellense","Floresta Ombrófila Densa Montana"
ACANTHACEAE,"Ruellia silvaccola","Floresta Ombrófila Densa"
ACANTHACEAE,"Ruellia silvaccola","Floresta Ombrófila Densa Submontana"
PHYLLANTHACEAE,"Phyllanthus augustinii","Floresta Ombrófila Densa"
ACANTHACEAE,"Schaueria calycotricha","Floresta Ombrófila Densa Submontana"
ACANTHACEAE,"Schaueria calycotricha","Formações Arbóreo-Arbustiva-Herbácia sobre Sedimentos Marinhos Recentes"
ACANTHACEAE,"Schaueria sulfurea","Floresta Estacional Semidecidual"
COMMELINACEAE,"Dichorisandra begoniifolia","Floresta Ombrófila Densa Montana"
EUPHORBIACEAE,"Acalypha macularis","Floresta Ombrófila Densa"
ERIOCAULACEAE,"Paepalanthus cordatus ","Savana Gramíneo-Lenhosa"
ERIOCAULACEAE,"Paepalanthus macer ","Savana Gramíneo-Lenhosa"
ERIOCAULACEAE,"Paepalanthus stellatus ","Savana Gramíneo-Lenhosa"
ERIOCAULACEAE,"Paepalanthus urbanianus ","Savana Gramíneo-Lenhosa"
URTICACEAE,"Pilea apiculata","Floresta Ombrófila Densa"
DILLENIACEAE,"Doliocarpus littoralis","Vegetação de Restinga"
DILLENIACEAE,"Doliocarpus littoralis","Floresta Ombrófila Densa Submontana"
BROMELIACEAE,"Vriesea agostiniana",
CALOPHYLLACEAE,"Kielmeyera rizziniana","Vegetação de Restinga"
MORACEAE,"Maclura brasiliensis","Vegetação de Restinga"
CYPERACEAE,"Scleria bradei",
Malpighiaceae,"Hiraea macrophylla","Vegetação de Restinga"
Malpighiaceae,"Hiraea macrophylla","Floresta Ombrófila Aberta Submontana"
CUCURBITACEAE,"Cayaponia latiloba","Floresta Ombrófila Densa"
CUCURBITACEAE,"Gurania ovata","Floresta Ombrófila Densa"
POACEAE,"Chusquea sclerophylla","Campos de Altitude"
DIOSCOREACEAE,"Dioscorea campos-portoi","Floresta Ombrófila Densa Alto-Montana"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","Floresta Ombrófila Densa"
RUBIACEAE,"Simira walteri","Floresta Ombrófila Densa"
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum","Floresta Ombrófila Densa Montana"
PTERIDACEAE,"Cheilanthes incisa","Floresta Ombrófila Densa Submontana"
PTERIDACEAE,"Doryopteris tijucana","Floresta Ombrófila Densa Submontana"
Pteridaceae,"Jamesonia brasiliensis","Campos de Altitude"
RUBIACEAE,"Rudgea allophylla","Floresta Ombrófila Densa"
RUBIACEAE,"Psychotria mineirensis","Floresta Ombrófila Densa"
RUBIACEAE,"Psychotria friburgensis","Floresta Ombrófila Densa"
MYRTACEAE,"Myrcia oreioeca","Floresta Ombrófila Densa Montana"
MYRTACEAE,"Myrcia rubiginosa","Floresta Ombrófila Densa"
RUBIACEAE,"Faramea diversifolia","Floresta Ombrófila Densa"
MYRTACEAE,"Myrciaria pallida","Floresta Ombrófila Densa Montana"
RUBIACEAE,"Hindsia ramosissima","Campos de Altitude"
RUBIACEAE,"Hindsia glabra","Campos de Altitude"
ERIOCAULACEAE,"Paepalanthus macaheesis","Floresta Ombrófila Densa Alto-Montana"
