family,scientificName,habitat
BORAGINACEAE,"Varronia leucomalla","1.6 Subtropical/Tropical Moist Lowland Forest"
ACANTHACEAE,"Aphelandra neesiana","1.9 Subtropical/Tropical Moist Montane Forest"
DICHAPETALACEAE,"Stephanopodium estrellense","1.6 Subtropical/Tropical Moist Lowland Forest"
DICHAPETALACEAE,"Stephanopodium estrellense","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Ruellia silvaccola","1.9 Subtropical/Tropical Moist Montane Forest"
PHYLLANTHACEAE,"Phyllanthus augustinii","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Schaueria calycotricha","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Schaueria calycotricha","5.4 Bogs, Marshes, Swamps, Fens, Peatlands [generally over 8 ha]"
ACANTHACEAE,"Schaueria sulfurea","1.9 Subtropical/Tropical Moist Montane Forest"
Orchidaceae,"Aganisia cyanea f. cyanea","1.6 Subtropical/Tropical Moist Lowland Forest"
COMMELINACEAE,"Dichorisandra begoniifolia","1.9 Subtropical/Tropical Moist Montane Forest"
ERIOCAULACEAE,"Paepalanthus cordatus ","3.7 Subtropical/Tropical High Altitude Shrubland"
ERIOCAULACEAE,"Paepalanthus macer ","3.7 Subtropical/Tropical High Altitude Shrubland"
ERIOCAULACEAE,"Paepalanthus stellatus ","3.7 Subtropical/Tropical High Altitude Shrubland"
ERIOCAULACEAE,"Paepalanthus urbanianus ","3.7 Subtropical/Tropical High Altitude Shrubland"
URTICACEAE,"Pilea apiculata","1.9 Subtropical/Tropical Moist Montane Forest"
DILLENIACEAE,"Doliocarpus littoralis","1.5 Subtropical/Tropical Dry Forest"
DILLENIACEAE,"Doliocarpus littoralis","13.3 Coastal Sand Dunes"
DILLENIACEAE,"Doliocarpus littoralis","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Vriesea atrococcinea","1 Forest"
CALOPHYLLACEAE,"Kielmeyera rizziniana","3.5 Subtropical/Tropical Dry Shrubland"
MORACEAE,"Maclura brasiliensis","3.5 Subtropical/Tropical Dry Shrubland"
BROMELIACEAE,"Vriesea grandiflora","1 Forest"
CUCURBITACEAE,"Cayaponia latiloba","1.9 Subtropical/Tropical Moist Montane Forest"
CUCURBITACEAE,"Gurania ovata","1.9 Subtropical/Tropical Moist Montane Forest"
POACEAE,"Chusquea sclerophylla","3.7 Subtropical/Tropical High Altitude Shrubland"
DIOSCOREACEAE,"Dioscorea campos-portoi","1.9 Subtropical/Tropical Moist Montane Forest"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","1.9 Subtropical/Tropical Moist Montane Forest"
SAPINDACEAE,"Paullinia marginata","1 Forest"
ERIOCAULACEAE,"Paepalanthus macaheesis","1.9 Subtropical/Tropical Moist Montane Forest"
