family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total
DILLENIACEAE,"Doliocarpus littoralis (Kubitzki) Fraga & Stehmann",5,0,1,5,1,0,5,1,6
PTERIDACEAE,"Cheilanthes incisa Kunze ex Mett.",2,10,0,8,4,0,2,10,12
RUBIACEAE,"Hindsia glabra K.Schum.",2,30,0,30,2,0,2,30,32
Pteridaceae,"Jamesonia brasiliensis Christ",27,12,9,48,0,0,27,21,48
MYRTACEAE,"Myrcia oreioeca Kiaersk.",0,2,4,5,1,0,0,6,6
PTERIDACEAE,"Pteris congesta J.Prado",0,5,24,27,2,0,0,29,29
DICHAPETALACEAE,"Stephanopodium estrellense Baill.",9,17,0,24,2,0,9,17,26
BROMELIACEAE,"Vriesea grandiflora Leme",5,1,0,6,0,0,5,1,6
MYRTACEAE,"Myrciaria pallida O.Berg",0,2,9,10,1,0,0,11,11
MALVACEAE,"Waltheria petiolata K.Schum.",14,0,4,14,4,0,10,8,18
CALOPHYLLACEAE,"Kielmeyera rizziniana Saddi",6,24,0,27,3,0,5,25,30
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa G.M.Barroso et al.",16,46,19,79,2,0,15,66,81
BORAGINACEAE,"Varronia leucomalla (Taub.) Borhidi",3,8,0,5,6,0,2,9,11
PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.",0,10,13,23,0,0,0,23,23
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum Brade & Rosenst.",2,4,0,6,0,0,2,4,6
RUBIACEAE,"Simira walteri Silva Neto & Callado",0,14,6,20,0,0,0,20,20
MALVACEAE,"Abutilon macrocarpum Guillem. & Perr.",3,0,7,8,2,0,2,8,10
EUPHORBIACEAE,"Acalypha macularis Pax & K.Hoffm.",8,1,0,8,1,0,8,1,9
CUCURBITACEAE,"Gurania cinerea Suessenguth",1,0,0,0,1,0,0,1,1
RUBIACEAE,"Hindsia ramosissima Gardner",0,8,20,21,7,0,0,28,28
MYRTACEAE,"Myrcia colpodes Kiaersk.",1,4,2,2,5,0,0,7,7
MYRTACEAE,"Myrcia rubiginosa Cambess.",1,8,0,1,8,0,0,9,9
RUBIACEAE,"Psychotria friburgensis Standl.",4,1,0,4,1,0,4,1,5
MALVACEAE,"Waltheria glazioviana K.Schum.",3,0,9,10,2,0,1,11,12
BROMELIACEAE,"Vriesea atra Mez",17,12,5,32,2,0,16,18,34
MORACEAE,"Maclura brasiliensis (Mart.) Endl.",7,0,0,3,4,0,3,4,7
ACANTHACEAE,"Aphelandra neesiana Wassh.",4,2,0,3,3,0,2,4,6
CUCURBITACEAE,"Gurania ovata Cogn.",16,1,0,14,3,0,14,3,17
MALPIGHIACEAE,"Hiraea macrophylla",0,14,0,13,1,0,0,14,14
MALVACEAE,"Callianthe schenckii (K. Shum.) Donnel",4,0,0,3,1,0,3,1,4
ACANTHACEAE,"Schaueria calycotricha (Link & Otto) Nees",12,6,32,43,7,0,8,42,50
PHYLLANTHACEAE,"Phyllanthus augustinii Baill.",2,0,0,1,1,0,1,1,2
DRYOPTERIDACEAE,"Polystichum auritum (Fée) Yatsk.",6,4,0,9,1,0,6,4,10
ACANTHACEAE,"Ruellia silvaccola (Mart. ex Ness) Lindau",0,0,10,10,0,0,0,10,10
ACANTHACEAE,"Ruellia herbstii (Hook.) Hiern",1,0,0,0,1,0,0,1,1
BROMELIACEAE,"Vriesea agostiniana E.Pereira",5,7,0,12,0,0,5,7,12
BROMELIACEAE,"Vriesea secundiflora Leme",0,1,3,3,1,0,0,4,4
POLYPODIACEAE,"Alansmia alfaroi (Donn. Sm.) Moguel & M. Kessler",2,0,0,2,0,0,2,0,2
BROMELIACEAE,"Vriesea roethii W.Weber",0,1,4,4,1,0,0,5,5
BROMELIACEAE,"Vriesea joyae E.Pereira & I.A.Penna",2,2,0,4,0,0,2,2,4
URTICACEAE,"Pilea apiculata Killip",3,0,0,3,0,0,3,0,3
DIOSCOREACEAE,"Dioscorea campos-portoi R.Knuth",0,1,2,3,0,0,0,3,3
BROMELIACEAE,"Vriesea pauciflora Mez",1,2,0,3,0,0,1,2,3
CYPERACEAE,"Scleria bradei Pilg.",0,2,0,2,0,0,0,2,2
ACANTHACEAE,"Schaueria sulfurea Nees",2,0,0,0,2,0,0,2,2
MALVACEAE,"Callianthe rufivela (Hochr.) Donnel",1,0,2,3,0,0,1,2,3
ERIOCAULACEAE,"Paepalanthus macaheesis Koern.",14,0,0,14,0,0,14,0,14
ANEMIACEAE,"Anemia candidoi Brade",0,0,1,1,0,0,0,1,1
