family,scientificName,document,field,reference
ERIOCAULACEAE,"Paepalanthus cordatus ",assessment,,"MMA/ICMBio. 2009. Plano de Manejo Parque Nacional Chapada dos Veadeiros. Disponível em http://www. icmbio.gov.br/portal/images/stories/imgs-unidadescoservacao/pm_chapada_dos_veadeiros_1.pdf. Acesso em: 06 mai de 2015."
ERIOCAULACEAE,"Paepalanthus cordatus ",assessment,,"Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil: Universidade de São Paulo."
ERIOCAULACEAE,"Paepalanthus cordatus ",assessment,,"Trovó, M. ; Echternacht, L. A. ; Sano, P.T. 2013. Distribution and conservation of Paepalanthus sect. Diphyomene (Eriocaulaceae) in Neotropical Savannas. Adansonia, v. 35, p. 195-206."
BROMELIACEAE,"Vriesea agostiniana",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L. 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB5966>. Acesso em: 31 Mar. 2015"
BROMELIACEAE,"Vriesea agostiniana",assessment,,"Mallet-Rodrigues, F., Parrini, R., & Pacheco, J. F. (2007). Birds of the Serra dos Órgãos , State of Rio de Janeiro , Southeastern Brazil : a review. Revista Brasileira de Ornitologia, 15(1), 5–35."
ERIOCAULACEAE,"Paepalanthus macer ",assessment,,"MMA/ICMBio. 2009. Plano de Manejo Parque Nacional Chapada dos Veadeiros. Disponível em http://www. icmbio.gov.br/portal/images/stories/imgs-unidadescoservacao/pm_chapada_dos_veadeiros_1.pdf. Acesso em: 06 mai de 2015."
ERIOCAULACEAE,"Paepalanthus macer ",assessment,,"Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil: Universidade de São Paulo."
ERIOCAULACEAE,"Paepalanthus macer ",assessment,,"Trovó, M. ; Sano, P.T. Five new and narrowly distributed species of Paepalanthus section Diphyomene (Eriocaulaceae) from Central Brazil. Systematic Botany, v. 36, p. 610-620, 2011."
ERIOCAULACEAE,"Paepalanthus stellatus ",assessment,,"Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil: Universidade de São Paulo."
ERIOCAULACEAE,"Paepalanthus stellatus ",assessment,,"Trovó, M. ; Echternacht, L. A. ; Sano, P.T. 2013. Distribution and conservation of Paepalanthus sect. Diphyomene (Eriocaulaceae) in Neotropical Savannas. Adansonia, v. 35, p. 195-206."
