occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:,,DILLENIACEAE,"Doliocarpus littoralis (Kubitzki) Fraga & Stehmann","Doliocarpus littoralis",0,0,,nok,,,,,"Doliocarpus littoralis (Kubitzki) Fraga & Stehmann",,,,,,,"Tomás Amorim ; Eduardo Fernandez",
occurrence:rj:1006543,Pteridaceae,PTERIDACEAE,"Cheilanthes incisa Kunze ex Mett.","Cheilanthes incisa",0,0,,ok,,,,,"Cheilanthes incisa Kunze ex Mett.",false,,,yes,,,"Fernanda Wimmer ; Rodrigo Amaro",
occurrence:rj:1017503,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",-21.704873,-43.886972,"google earth",ok,,,,"5 a 10 km","Hindsia glabra K.Schum.",false,invalid,,no,,invalid,"Juliana Amaral de Oliveira ; Igor Lourenço Oliveira ; Raquel",
occurrence:rj:1019303,Pteridaceae,Pteridaceae,"Jamesonia brasiliensis Christ","Jamesonia brasiliensis",-22.35521,-44.653951,sig,ok,,,," centroide de uc","Jamesonia brasiliensis Christ",true,valid,no,no,native,valid,"João Paulo Condack ; Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1019304,Pteridaceae,Pteridaceae,"Jamesonia brasiliensis Christ","Jamesonia brasiliensis",0,0,,ok,,,,,"Jamesonia brasiliensis Christ",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1028265,Myrtaceae,MYRTACEAE,"Myrcia oreioeca Kiaersk.","Myrcia oreioeca",-18.165545,-43.347595,sig,ok,,,,"centroide de uc","Myrcia oreioeca Kiaersk.",,,,,,,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1028266,Myrtaceae,MYRTACEAE,"Myrcia oreioeca Kiaersk.","Myrcia oreioeca",-18.165545,-43.347595,sig,ok,,,,"centroide de uc","Myrcia oreioeca Kiaersk.",,,,,,,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1037545,Pteridaceae,PTERIDACEAE,"Pteris congesta J.Prado","Pteris congesta",0,0,,ok,,,,,"Pteris congesta J.Prado",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1043889,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",0,0,,ok,"Fernanda Wimmer",,,,"Stephanopodium estrellense Baill.",false,valid,no,yes,native,valid,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1049044,Bromeliaceae,BROMELIACEAE,"Vriesea grandiflora Leme","Vriesea grandiflora",-21.734167,-43.375833,coletor,ok,,,,"0 a 250 m","Vriesea grandiflora Leme",true,valid,no,no,native,valid,"Gustavo Martinelli ; Rogerio Braga ; Rodrigo Amaro",
