family,scientificNameWithoutAuthorship,scientificNameAuthorship
APIACEAE,"Lilaeopsis attenuata","(Hook. & Arn.) Fernald"
Orchidaceae,"Otostylis alba","(Ridl.) Summerh."
ERIOCAULACEAE,"Paepalanthus urbanianus ",Ruhland
Orchidaceae,"Aganisia pulchella",Lindl.
ERIOCAULACEAE,"Paepalanthus cordatus ",Ruhland
PHYLLANTHACEAE,"Phyllanthus augustinii",Baill.
ERIOCAULACEAE,"Paepalanthus stellatus "," Trovó"
Orchidaceae,"Aganisia cyanea f. cyanea","(Lindl.) Rchb.f."
Orchidaceae,"Cheiradenia cuspidata",Lindl.
ARISTOLOCHIACEAE,"Aristolochia cynanchifolia","Mart. & Zucc."
Orchidaceae,"Otostylis brachystalix (Rchb.f.) Schltr.","(Rchb.f.) Schltr."
Orchidaceae,"Paradisanthus bahiensis",Rchb.f.
ERIOCAULACEAE,"Paepalanthus macaheesis",Koern.
COMMELINACEAE,"Dichorisandra begoniifolia",Kunth
Orchidaceae,"Aganisia fimbriata",Rchb.f.
Boraginaceae,"Cordia latiloba",I.M.Johnst.
CLUSIACEAE,"Tovomita glazioviana",Engl.
ERIOCAULACEAE,"Paepalanthus macer ",Trovó
Boraginaceae,"Myriopus volubilis",Small
