family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
ERICACEAE,"Gaylussacia pruinosa",Loes.,,,,
Apiaceae,"Eryngium goulartii","Glaz. & Urb. ex Urb.",validation,,,
Orchidaceae,"Otostylis alba","(Ridl.) Summerh.",,,,
ERIOCAULACEAE,"Paepalanthus urbanianus ",Ruhland,done,comments,VU,D2
Orchidaceae,"Aganisia pulchella",Lindl.,,,,
Malpighiaceae,"Hiraea macrophylla","(Colla) P.L.R.Moraes & Guglielmone",done,open,,
ACANTHACEAE,"Aphelandra neesiana",Wassh.,review,,,
ACANTHACEAE,"Ruellia herbstii","(Hook.) Hiern",validation,,,
ACANTHACEAE,"Ruellia silvaccola","(Mart. ex Ness) Lindau",validation,,,
ACANTHACEAE,"Schaueria calycotricha","(Link & Otto) Nees",validation,,,
ACANTHACEAE,"Schaueria sulfurea",Nees,validation,,,
ANEMIACEAE,"Anemia candidoi",Brade,done,,,
BORAGINACEAE,"Varronia leucomalla","(Taub.) Borhidi",validation,,,
BROMELIACEAE,"Aechmea flavorosea",E.Pereira,validation,,,
BROMELIACEAE,"Vriesea agostiniana",E.Pereira,review,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Vriesea atra",Mez,open,,,
BROMELIACEAE,"Vriesea grandiflora",Leme,review,open,,
BROMELIACEAE,"Vriesea joyae","E.Pereira & I.A.Penna",review,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Vriesea pauciflora",Mez,review,open,DD,
BROMELIACEAE,"Vriesea roethii",W.Weber,review,,,
BROMELIACEAE,"Vriesea secundiflora",Leme,review,,,
CALOPHYLLACEAE,"Kielmeyera rizziniana",Saddi,validation,,,
CUCURBITACEAE,"Cayaponia latiloba","(Cogn.) Gomes-Klein",open,,,
CUCURBITACEAE,"Gurania cinerea",Suessenguth,validation,,,
CUCURBITACEAE,"Gurania ovata",Cogn.,validation,,,
CYPERACEAE,"Scleria bradei",Pilg.,review,,,
DICHAPETALACEAE,"Stephanopodium estrellense",Baill.,open,,,
DILLENIACEAE,"Doliocarpus littoralis","(Kubitzki) Fraga & Stehmann",validation,,,
DIOSCOREACEAE,"Dioscorea campos-portoi",R.Knuth,validation,,,
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","G.M.Barroso et al.",validation,,,
DRYOPTERIDACEAE,"Polystichum auritum","(Fée) Yatsk.",review,,,
EUPHORBIACEAE,"Acalypha macularis","Pax & K.Hoffm.",review,,,
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum","Brade & Rosenst.",validation,,,
MALVACEAE,"Abutilon macrocarpum","Guillem. & Perr.",open,,,
MALVACEAE,"Callianthe rufivela","(Hochr.) Donnel",open,,,
MALVACEAE,"Callianthe schenckii","(K. Shum.) Donnel",open,,,
MALVACEAE,"Sida schumanniana",Krapov.,open,,,
MALVACEAE,"Waltheria glazioviana",K.Schum.,open,,,
MALVACEAE,"Waltheria petiolata",K.Schum.,open,,,
MORACEAE,"Maclura brasiliensis","(Mart.) Endl.",open,,,
MYRTACEAE,"Eugenia cinerascens",Gardner,review,,,
MYRTACEAE,"Myrcia colpodes",Kiaersk.,review,,,
MYRTACEAE,"Myrcia oreioeca",Kiaersk.,review,,,
MYRTACEAE,"Myrcia rubiginosa",Cambess.,review,,,
MYRTACEAE,"Myrciaria pallida",O.Berg,validation,,,
PHYLLANTHACEAE,"Phyllanthus augustinii",Baill.,validation,,,
POLYPODIACEAE,"Alansmia alfaroi","(Donn. Sm.) Moguel & M. Kessler",validation,,,
PTERIDACEAE,"Cheilanthes incisa","Kunze ex Mett.",validation,,,
PTERIDACEAE,"Doryopteris tijucana","Brade & Rosenst.",validation,,,
PTERIDACEAE,"Pteris congesta",J.Prado,validation,,,
RUBIACEAE,"Faramea diversifolia",Müll.Arg.,validation,,,
RUBIACEAE,"Hindsia glabra",K.Schum.,validation,,,
RUBIACEAE,"Hindsia ramosissima",Gardner,validation,,,
RUBIACEAE,"Psychotria friburgensis",Standl.,open,,,
RUBIACEAE,"Psychotria mineirensis",Wernham,review,,,
RUBIACEAE,"Rudgea allophylla",Standl.,review,,,
RUBIACEAE,"Simira walteri","Silva Neto & Callado",validation,,,
URTICACEAE,"Pilea apiculata",Killip,validation,,,
Dichapetalaceae,"Stephanopodium organense","(Rizzini) Prance",,,,
Pteridaceae,"Jamesonia brasiliensis",Christ,validation,,,
ERIOCAULACEAE,"Paepalanthus stellatus "," Trovó",done,comments,VU,D2
Orchidaceae,"Aganisia cyanea f. cyanea","(Lindl.) Rchb.f.",open,open,,
Orchidaceae,"Cheiradenia cuspidata",Lindl.,,,,
ARISTOLOCHIACEAE,"Aristolochia cynanchifolia","Mart. & Zucc.",,,,
