family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
ERICACEAE,"Gaylussacia pruinosa",Loes.,"Gaylussacia pruinosa Loes."
Orchidaceae,"Otostylis alba","(Ridl.) Summerh.","Otostylis alba (Ridl.) Summerh."
ERIOCAULACEAE,"Paepalanthus urbanianus ",Ruhland,"Paepalanthus urbanianus  Ruhland"
Orchidaceae,"Aganisia pulchella",Lindl.,"Aganisia pulchella Lindl."
ERIOCAULACEAE,"Paepalanthus cordatus ",Ruhland,"Paepalanthus cordatus  Ruhland"
ACANTHACEAE,"Aphelandra neesiana",Wassh.,"Aphelandra neesiana Wassh."
ACANTHACEAE,"Ruellia herbstii","(Hook.) Hiern","Ruellia herbstii (Hook.) Hiern"
ACANTHACEAE,"Ruellia silvaccola","(Mart. ex Ness) Lindau","Ruellia silvaccola (Mart. ex Ness) Lindau"
ACANTHACEAE,"Schaueria calycotricha","(Link & Otto) Nees","Schaueria calycotricha (Link & Otto) Nees"
ACANTHACEAE,"Schaueria sulfurea",Nees,"Schaueria sulfurea Nees"
BORAGINACEAE,"Varronia leucomalla","(Taub.) Borhidi","Varronia leucomalla (Taub.) Borhidi"
BROMELIACEAE,"Vriesea atra",Mez,"Vriesea atra Mez"
CALOPHYLLACEAE,"Kielmeyera rizziniana",Saddi,"Kielmeyera rizziniana Saddi"
DICHAPETALACEAE,"Stephanopodium estrellense",Baill.,"Stephanopodium estrellense Baill."
DILLENIACEAE,"Doliocarpus littoralis","(Kubitzki) Fraga & Stehmann","Doliocarpus littoralis (Kubitzki) Fraga & Stehmann"
DIOSCOREACEAE,"Dioscorea campos-portoi",R.Knuth,"Dioscorea campos-portoi R.Knuth"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","G.M.Barroso et al.","Dioscorea pseudomacrocapsa G.M.Barroso et al."
EUPHORBIACEAE,"Acalypha macularis","Pax & K.Hoffm.","Acalypha macularis Pax & K.Hoffm."
MALVACEAE,"Abutilon macrocarpum","Guillem. & Perr.","Abutilon macrocarpum Guillem. & Perr."
MALVACEAE,"Callianthe rufivela","(Hochr.) Donnel","Callianthe rufivela (Hochr.) Donnel"
MALVACEAE,"Callianthe schenckii","(K. Shum.) Donnel","Callianthe schenckii (K. Shum.) Donnel"
MALVACEAE,"Sida schumanniana",Krapov.,"Sida schumanniana Krapov."
MALVACEAE,"Waltheria glazioviana",K.Schum.,"Waltheria glazioviana K.Schum."
MALVACEAE,"Waltheria petiolata",K.Schum.,"Waltheria petiolata K.Schum."
MORACEAE,"Maclura brasiliensis","(Mart.) Endl.","Maclura brasiliensis (Mart.) Endl."
PHYLLANTHACEAE,"Phyllanthus augustinii",Baill.,"Phyllanthus augustinii Baill."
SAPINDACEAE,"Paullinia marginata",Casar.,"Paullinia marginata Casar."
URTICACEAE,"Pilea apiculata",Killip,"Pilea apiculata Killip"
DICHAPETALACEAE,"Stephanopodium organense","(Rizzini) Prance","Stephanopodium organense (Rizzini) Prance"
Dichapetalaceae,"Stephanopodium organense","(Rizzini) Prance","Stephanopodium organense (Rizzini) Prance"
ERIOCAULACEAE,"Paepalanthus stellatus "," Trovó","Paepalanthus stellatus   Trovó"
Orchidaceae,"Aganisia cyanea f. cyanea","(Lindl.) Rchb.f.","Aganisia cyanea f. cyanea (Lindl.) Rchb.f."
Orchidaceae,"Cheiradenia cuspidata",Lindl.,"Cheiradenia cuspidata Lindl."
ARISTOLOCHIACEAE,"Aristolochia cynanchifolia","Mart. & Zucc.","Aristolochia cynanchifolia Mart. & Zucc."
Orchidaceae,"Otostylis brachystalix (Rchb.f.) Schltr.","(Rchb.f.) Schltr.","Otostylis brachystalix (Rchb.f.) Schltr. (Rchb.f.) Schltr."
ERICACEAE,"Gaylussacia angulata",Gardner,"Gaylussacia angulata Gardner"
Orchidaceae,"Paradisanthus bahiensis",Rchb.f.,"Paradisanthus bahiensis Rchb.f."
APIACEAE,"Lilaeopsis attenuata","(Hook. & Arn.) Fernald","Lilaeopsis attenuata (Hook. & Arn.) Fernald"
SAPOTACEAE,"Pradosia kuhlmannii",Toledo,"Pradosia kuhlmannii Toledo"
ERIOCAULACEAE,"Paepalanthus macaheesis",Koern.,"Paepalanthus macaheesis Koern."
COMMELINACEAE,"Dichorisandra begoniifolia",Kunth,"Dichorisandra begoniifolia Kunth"
Orchidaceae,"Aganisia fimbriata",Rchb.f.,"Aganisia fimbriata Rchb.f."
Boraginaceae,"Cordia latiloba",I.M.Johnst.,"Cordia latiloba I.M.Johnst."
SAPOTACEAE,"Pouteria stenophylla",Baehni,"Pouteria stenophylla Baehni"
CLUSIACEAE,"Tovomita glazioviana",Engl.,"Tovomita glazioviana Engl."
ERIOCAULACEAE,"Paepalanthus macer ",Trovó,"Paepalanthus macer  Trovó"
Boraginaceae,"Myriopus volubilis",Small,"Myriopus volubilis Small"
