family,scientificName,use,resource,details,references
DICHAPETALACEAE,"Stephanopodium estrellense","17. Unknown",,"Não foi identificado nenhum uso para este táxon na literatura consultada.",
ACANTHACEAE,"Ruellia herbstii","12. Handicrafts, jewellery, decorations, curios, etc.",flower,"Apesar da limitada informação sobre a espécie, é considerada uma espécie brasileira ornamental, amplamente cultivada e, com bom desenvolvimento ao ar livre durante o verão na Europa” (Corrêa and Pena, 1984)
","Corrêa, M.P., Pena, L. de A., 1984. Dicionário das plantas úteis do Brasil e das exóticas cultivadas vol II. Ministério da Agricultura, Instituto Brasileiro de Desenvolvimento Florestal, Rio de Janeiro."
Orchidaceae,"Aganisia cyanea f. cyanea","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","Somente uso ornamental por colecionadores.","Meneguzzo, T.E.C. (com. pess. 2015)."
BROMELIACEAE,"Aechmea flavorosea","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
URTICACEAE,"Pilea apiculata","17. Unknown",,"Não se conhece nenhum uso para esta rara espécie disponível na literatua consultada.",
DILLENIACEAE,"Doliocarpus littoralis","17. Unknown",,"Não existe na literatura nenhuma referência a usos práticos desta planta, nem mesmo para fins medicinais.",
BROMELIACEAE,"Vriesea agostiniana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea grandiflora","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea joyae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea pauciflora","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea roethii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea secundiflora","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
