family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
ACANTHACEAE,"Aphelandra espirito-santensis","Profice & Wassh.",done,published,EN,B1ab(iii),"Como o epíteto específico sugere, é uma espécie endêmica do Espírito Santo, ocorre no município de Linhares e, portanto, com distribuição restrita (EOO=495,65 km²). São conhecidas quatro subpopulações, interpretadas como situações de ameaças distintas. Todas as coletas foram feitas em unidades de conservação, mas as áreas protegidas estão sujeitas a ameaças e ao declínio contínuo da qualidade de hábitat. A Reserva Biológica de Sooretama, por exemplo, tem como ameaças mais severas os incêndios de origem antrópica e as espécies exóticas invasoras. Portanto, A. espirito-santensis foi considerada ""Em perigo"" (EN)."
ACANTHACEAE,"Aphelandra gigantea","(Rizzini) Profice",done,published,LC,,"Também conhecida como Crista-de-Galinha, a espécie possui ampla distribuição (EOO=54.858,58km²) e é encontrada nos estados de Espírito Santo, Minas Gerais e Bahia. Não há ameaças registradas para a espécie, que ocorre na Reserva Florestal de Bananal do Norte, ES. Dessa maneira, a espécie é considerada com baixo risco de extinção. Entretanto, apesar de possuir diversas coletas, as subpopulações podem estar severamente fragmentadas, demandando estudos para se verificar o estado de conservação de cada subpopulação."
ACANTHACEAE,"Aphelandra hirta","(Klotzsch) Wassh.",done,published,LC,,"A. hirta possui ampla distribuição (EOO = 99.587,830km²), ocorrendo de maneira descontínua ao longo da floresta ombrófila densa atlântica. Encontrada em pelo menos quatro unidades de conservação (SNUC). Dessa maneira, a espécie é considerada como pouco ameaçada de extinção (LC). Entretanto a espécie ocorre em áreas que sofreram grande perda de habitat, o que não descarta futuros estudos para se verificar o estado de conservação da espécie."
ACANTHACEAE,"Aphelandra longiflora","(Lindl.) Profice",done,published,LC,,"Espécie de ampla distribuição e é encontrada em diversas unidades de conservação (SNUC) do Brasil. Novos estudos devem ser feitos com o objetivo de estudar o atual estado de conservação de subpopulações disjuntas, localizadas no Estado do Ceará, ao sul da Amazônia e na ilha de Marajó."
ACANTHACEAE,"Aphelandra margaritae",E.Morren,done,published,VU,B1ab(iii),"Apesar de amplamente coletada e de ocorrer em pelo menos três unidades de conservação (SNUC), essa espécie tem uma distribuição relativamente restrita (EOO=7.147,62 km²). Além disso, sua limitada capacidade de dispersão resulta em uma estrutura populacional severamente fragmentada. Aphelandra margaritae ocorre em áreas de Floresta Ombrófila Densa, fitofisionomia que sofreu grande perda de hábitat nos últimos 30 anos, e que ainda está sujeita ao declínio contínuo de qualidade de hábitat. O município de Itaguaçu, por exemplo, perdeu 1,5% de florestas somente entre 2008 e 2010. Portanto, A. margaritae foi considerada ""Vulnerável"" (VU)."
ACANTHACEAE,"Aphelandra maximiliana","(Nees) Benth.",done,published,EN,B1ab(iii),"Aphelandra maximiliana é encontrada apenas em áreas de Floresta Ombrófila Montana do Estado do Espírito Santo, e tem EOO de 1.961,93 km². Apesar de amplamente coletada, a espécie apresenta distribuição restrita. Sua limitada capacidade de dispersão sugere uma estrutura populacional severamente fragmentada. Além disso, a espécie está sujeita ao declínio contínuo da qualidade de hábitat. O município de Santa Leopoldina, por exemplo, teve uma redução de 2% em suas florestas somente entre 2008 e 2010, evidenciando perda de hábitat. Dessa maneira, A. maximiliana é considerada uma espécie ""Em perigo"" (EN)."
ACANTHACEAE,"Aphelandra nitida","Nees & Mart.",done,published,LC,,"O habitat de A. nitida ser a Floresta Atlântica Ombrófila Densa presente no litoral, vegetação que tem sofrido desmatamento intenso. Entretanto, a espécie possui ampla distribuição e ocorre em algumas unidades de conservação (SNUC). A. nitida também possui pelo menos uma subpopulação abundante (APA Costa de Itacaré, BA), indicando que a espécie pode ser relativamente frequente nos locais onde ocorre."
ACANTHACEAE,"Aphelandra prismatica","(Vell.) Hiern",done,published,LC,,"É uma espécie amplamente distribuída que, apesar de ocorrer em área com intensa pressão antrópica, também ocorre em várias unidades de conservação (SNUC)."
ACANTHACEAE,"Aphelandra schottiana","(Nees) Profice",done,published,LC,,"É uma espécie típica de Mata Atlântica, encontrada em diferentes fisionomias. Apesar de haver indícios que as subpopulações são pequenas, a espécie possui ampla distribuição e ocorre em pelo menos cinco unidades de conservação (SNUC)."
ACANTHACEAE,"Aphelandra squarrosa",Nees,done,published,LC,,"Planta arbustiva ornamental e endêmica do Brasil, encontrada em floresta estacional semidecídua e floresta ombrófila na Mata Atlântica. É amplamente distribuída (EOO=53.618,950 km²) e encontrada em pelo menos cinco unidades de conservação (SNUC). Não há ameaças registradas para a espécie. Dessa maneira, A. squarrosa é considerada como ""Menos preocupante"" (LC) com relação ao risco de extinção."
