"Familia";"Nome";"Analise";"Avaliação";"Categoria";"Criterio"
"ACANTHACEAE";"Aphelandra espirito-santensis";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Aphelandra gigantea";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra hirta";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra longiflora";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra margaritae";"done";"published";"VU";"B1ab(iii)"
"ACANTHACEAE";"Aphelandra maximiliana";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Aphelandra nitida";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra prismatica";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra schottiana";"done";"published";"LC";""
"ACANTHACEAE";"Aphelandra squarrosa";"done";"published";"LC";""
"ACANTHACEAE";"Chamaeranthemum beyrichii";"done";"published";"LC";""
"ACANTHACEAE";"Dicliptera squarrosa";"done";"published";"LC";""
"ACANTHACEAE";"Dyschoriste smithii";"done";"published";"CR";"B1ab(iii,v)"
"ACANTHACEAE";"Dyschoriste lavandulaceae";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Herpetacanthus longiflorus";"done";"published";"NT";""
"ACANTHACEAE";"Justicia brasiliana";"done";"published";"LC";""
"ACANTHACEAE";"Justicia bullata";"done";"published";"DD";""
"ACANTHACEAE";"Justicia catharinensis";"done";"published";"NT";""
"ACANTHACEAE";"Justicia clausseniana";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Justicia congrua";"done";"published";"LC";""
"ACANTHACEAE";"Justicia cydoniifolia";"done";"published";"LC";""
"ACANTHACEAE";"Justicia genuflexa";"done";"published";"VU";"D2"
"ACANTHACEAE";"Justicia kleinii";"done";"published";"LC";""
"ACANTHACEAE";"Justicia laevilinguis";"done";"published";"LC";""
"ACANTHACEAE";"Justicia lythroides";"done";"published";"LC";""
"ACANTHACEAE";"Justicia paranaensis";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Justicia polita";"done";"published";"EN";"B1ab(iii)"
"ACANTHACEAE";"Justicia pseudoamazonica";"done";"published";"LC";""
"ACANTHACEAE";"Justicia ramulosa";"done";"published";"VU";"B1ab(iii)"
"IRIDACEAE";"Trimezia fistulosa";"done";"published";"EN";"B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ACANTHACEAE";"Justicia scheidweileri";"done";"published";"LC";""
"ACANTHACEAE";"Justicia symphyantha";"done";"published";"LC";""
"ACANTHACEAE";"Justicia tijucensis";"done";"published";"VU";"B1ab(iii)"
"ACANTHACEAE";"Justicia wasshauseniana";"done";"published";"NT";""
"ACANTHACEAE";"Mendoncia mollis";"done";"published";"LC";""
"ACANTHACEAE";"Odontonema dissitiflorum";"done";"published";"EN";"B1ab(v)"
"ACANTHACEAE";"Pseuderanthemum modestum";"done";"published";"LC";""
"ACANTHACEAE";"Pseuderanthemum riedelianum";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia affinis";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia bulbifera";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia chamaedrys";"done";"published";"DD";""
"ACANTHACEAE";"Ruellia curviflora";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia dissitifolia";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia epallocaulos";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia erythropus";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia multifolia";"done";"published";"LC";""
"ACANTHACEAE";"Ruellia solitaria";"done";"published";"LC";""
"ACANTHACEAE";"Schaueria lophura";"done";"published";"NT";""
