"Familia";"Especie";"Bioma"
ACANTHACEAE;Aphelandra espirito-santensis;Mata Atlântica
ACANTHACEAE;Aphelandra gigantea;Mata Atlântica
ACANTHACEAE;Aphelandra hirta;Mata Atlântica
ACANTHACEAE;Aphelandra longiflora;Amazônia
ACANTHACEAE;Aphelandra longiflora;Mata Atlântica
ACANTHACEAE;Aphelandra longiflora;Cerrado
ACANTHACEAE;Aphelandra margaritae;Mata Atlântica
ACANTHACEAE;Aphelandra maximiliana;Mata Atlântica
ACANTHACEAE;Aphelandra nitida;Mata Atlântica
ACANTHACEAE;Aphelandra prismatica;Mata Atlântica
ACANTHACEAE;Aphelandra schottiana;Mata Atlântica
ACANTHACEAE;Aphelandra squarrosa;Mata Atlântica
ACANTHACEAE;Chamaeranthemum beyrichii;Mata Atlântica
ACANTHACEAE;Dicliptera squarrosa;Mata Atlântica
ACANTHACEAE;Dicliptera squarrosa;Cerrado
ACANTHACEAE;Dyschoriste smithii;Mata Atlântica
ACANTHACEAE;Dyschoriste lavandulaceae;Mata Atlântica
ACANTHACEAE;Dyschoriste lavandulaceae;Cerrado
ACANTHACEAE;Herpetacanthus longiflorus;Mata Atlântica
ACANTHACEAE;Justicia brasiliana;Mata Atlântica
ACANTHACEAE;Justicia bullata;Mata Atlântica
ACANTHACEAE;Justicia catharinensis;Mata Atlântica
ACANTHACEAE;Justicia clausseniana;Mata Atlântica
ACANTHACEAE;Justicia congrua;Mata Atlântica
ACANTHACEAE;Justicia cydoniifolia;Mata Atlântica
ACANTHACEAE;Justicia genuflexa;Mata Atlântica
ACANTHACEAE;Justicia kleinii;Mata Atlântica
ACANTHACEAE;Justicia laevilinguis;Amazônia
ACANTHACEAE;Justicia laevilinguis;Mata Atlântica
ACANTHACEAE;Justicia laevilinguis;Pantanal
ACANTHACEAE;Justicia lythroides;Cerrado
ACANTHACEAE;Justicia lythroides;Mata Atlântica
ACANTHACEAE;Justicia paranaensis;Mata Atlântica
ACANTHACEAE;Justicia polita;Mata Atlântica
ACANTHACEAE;Justicia pseudoamazonica;Amazônia
ACANTHACEAE;Justicia ramulosa;Mata Atlântica
IRIDACEAE;Trimezia fistulosa;Cerrado
ACANTHACEAE;Justicia scheidweileri;Mata Atlântica
ACANTHACEAE;Justicia symphyantha;Mata Atlântica
ACANTHACEAE;Justicia tijucensis;Mata Atlântica
ACANTHACEAE;Justicia wasshauseniana;Mata Atlântica
ACANTHACEAE;Mendoncia mollis;Cerrado
ACANTHACEAE;Mendoncia mollis;Mata Atlântica
ACANTHACEAE;Odontonema dissitiflorum;Mata Atlântica
ACANTHACEAE;Pseuderanthemum modestum;Mata Atlântica
ACANTHACEAE;Pseuderanthemum modestum;Caatinga
ACANTHACEAE;Pseuderanthemum riedelianum;Mata Atlântica
