family,scientificName,lifeForm,fenology,luminosity,substratum,longevity,resprout
ACANTHACEAE,"Aphelandra espirito-santensis",,,,,,
ACANTHACEAE,"Aphelandra gigantea",,,,,,
ACANTHACEAE,"Aphelandra hirta",,,,,,
ACANTHACEAE,"Aphelandra longiflora",,,,,,
ACANTHACEAE,"Aphelandra margaritae",,,,,,
ACANTHACEAE,"Aphelandra maximiliana",,,,,,
ACANTHACEAE,"Aphelandra nitida",,,,,,
ACANTHACEAE,"Aphelandra prismatica",,,,,,
ACANTHACEAE,"Aphelandra schottiana",,,,,,
ACANTHACEAE,"Aphelandra squarrosa",,,,,,
ACANTHACEAE,"Chamaeranthemum beyrichii",,,,,,
ACANTHACEAE,"Dicliptera squarrosa",,,,,,
ACANTHACEAE,"Dyschoriste smithii",,,,,,
ACANTHACEAE,"Dyschoriste lavandulaceae",,,,,,
ACANTHACEAE,"Herpetacanthus longiflorus",,,,,,
ACANTHACEAE,"Justicia brasiliana",,,,,,
ACANTHACEAE,"Justicia bullata",,,,,,
ACANTHACEAE,"Justicia catharinensis",,,,,,
ACANTHACEAE,"Justicia clausseniana",,,,,,
ACANTHACEAE,"Justicia congrua",,,,,,
ACANTHACEAE,"Justicia cydoniifolia",,,,,,
ACANTHACEAE,"Justicia genuflexa",,,,,,
ACANTHACEAE,"Justicia kleinii",,,,,,
ACANTHACEAE,"Justicia laevilinguis",,,,,,
ACANTHACEAE,"Justicia lythroides",,,,,,
ACANTHACEAE,"Justicia paranaensis",,,,,,
ACANTHACEAE,"Justicia polita",,,,,,
ACANTHACEAE,"Justicia pseudoamazonica",,,,,,
ACANTHACEAE,"Justicia ramulosa",,,,,,
IRIDACEAE,"Trimezia fistulosa",,,,,,
ACANTHACEAE,"Justicia scheidweileri",,,,,,
ACANTHACEAE,"Justicia symphyantha",,,,,,
ACANTHACEAE,"Justicia tijucensis",,,,,,
ACANTHACEAE,"Justicia wasshauseniana",,,,,,
ACANTHACEAE,"Mendoncia mollis",,,,,,
ACANTHACEAE,"Odontonema dissitiflorum",,,,,,
ACANTHACEAE,"Pseuderanthemum modestum",,,,,,
ACANTHACEAE,"Pseuderanthemum riedelianum",,,,,,
ACANTHACEAE,"Ruellia affinis",,,,,,
ACANTHACEAE,"Ruellia bulbifera",,,,,,
ACANTHACEAE,"Ruellia chamaedrys",,,,,,
ACANTHACEAE,"Ruellia curviflora",,,,,,
ACANTHACEAE,"Ruellia dissitifolia",,,,,,
ACANTHACEAE,"Ruellia epallocaulos",,,,,,
ACANTHACEAE,"Ruellia erythropus",,,,,,
ACANTHACEAE,"Ruellia multifolia",,,,,,
ACANTHACEAE,"Ruellia solitaria",,,,,,
ACANTHACEAE,"Schaueria lophura",,,,,,
ACANTHACEAE,"Schaueria virginea",,,,,,
ACANTHACEAE,"Staurogyne anigozanthus",,,,,,
ACANTHACEAE,"Staurogyne brachiata",,,,,,
ACANTHACEAE,"Staurogyne carvalhoi",,,,,,
ACANTHACEAE,"Staurogyne elegans",,,,,,
ACANTHACEAE,"Staurogyne itatiaiae",,,,,,
ACANTHACEAE,"Staurogyne vauthieriana",,,,,,
ACANTHACEAE,"Staurogyne veronicifolia",,,,,,
ACANTHACEAE,"Staurogyne warmingiana",,,,,,
ACANTHACEAE,"Stenandrium diphyllum",,,,,,
ACANTHACEAE,"Stenandrium hatschbachii",,,,,,
ACANTHACEAE,"Stenandrium stenophyllum",,,,,,
ACANTHACEAE,"Stenostephanus lobeliiformis",,,,,,
ACANTHACEAE,"Streblacanthus dubiosus",,,,,,
ACHATOCARPACEAE,"Achatocarpus praecox",,,,,,
ADELOTHECIACEAE,"Adelothecium bogotense",,,,,,
ALISMATACEAE,"Echinodorus bolivianus",,,,,,
ALISMATACEAE,"Echinodorus paniculatus",,,,,,
ALISMATACEAE,"Sagittaria lancifolia",,,,,,
ALISMATACEAE,"Sagittaria rhombifolia",,,,,,
ALSTROEMERIACEAE,"Alstroemeria amabilis",,,,,,
ALSTROEMERIACEAE,"Alstroemeria apertiflora",,,,,,
ALSTROEMERIACEAE,"Alstroemeria brasiliensis",,,,,,
ALSTROEMERIACEAE,"Alstroemeria capixaba",,,,,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea",,,,,,
ALSTROEMERIACEAE,"Alstroemeria inodora",,,,,,
ALSTROEMERIACEAE,"Alstroemeria isabellana",,,,,,
ALSTROEMERIACEAE,"Alstroemeria malmeana",,,,,,
ALSTROEMERIACEAE,"Alstroemeria orchidioides",,,,,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora",,,,,,
ALSTROEMERIACEAE,"Alstroemeria variegata",,,,,,
AMARANTHACEAE,"Alternanthera decurrens",,,,,,
AMARANTHACEAE,"Alternanthera hirtula",,,,,,
AMARANTHACEAE,"Alternanthera januarensis",,,,,,
AMARANTHACEAE,"Alternanthera malmeana",,,,,,
AMARANTHACEAE,"Alternanthera micrantha",,,,,,
AMARANTHACEAE,"Alternanthera paronychioides",,,,,,
AMARANTHACEAE,"Alternanthera praelonga",,,,,,
AMARANTHACEAE,"Alternanthera puberula",,,,,,
AMARANTHACEAE,"Alternanthera reineckii",,,,,,
AMARANTHACEAE,"Alternanthera sessilis",,,,,,
AMARANTHACEAE,"Alternanthera tenella",,,,,,
AMARANTHACEAE,"Amaranthus rosengurtii",,,,,,
AMARANTHACEAE,"Blutaparon portulacoides",,,,,,
AMARANTHACEAE,"Celosia grandifolia",,,,,,
AMARANTHACEAE,"Chamissoa acuminata",,,,,,
AMARANTHACEAE,"Chamissoa acuminata var. maximilianii",,,,,,
AMARANTHACEAE,"Chamissoa altissima",,,,,,
AMARANTHACEAE,"Froelichia interrupta",,,,,,
AMARANTHACEAE,"Froelichia procera",,,,,,
AMARANTHACEAE,"Froelichiella grisea",,,,,,
AMARANTHACEAE,"Gomphrena agrestis",,,,,,
AMARANTHACEAE,"Gomphrena centrota",,,,,,
AMARANTHACEAE,"Gomphrena chrestoides",,,,,,
AMARANTHACEAE,"Gomphrena duriuscula",,,,,,
AMARANTHACEAE,"Gomphrena elegans",,,,,,
AMARANTHACEAE,"Gomphrena graminea",,,,,,
AMARANTHACEAE,"Gomphrena hatschbachiana",,,,,,
AMARANTHACEAE,"Gomphrena macrocephala",,,,,,
AMARANTHACEAE,"Gomphrena nigricans",,,,,,
AMARANTHACEAE,"Gomphrena paranensis",,,,,,
AMARANTHACEAE,"Gomphrena perennis",,,,,,
AMARANTHACEAE,"Gomphrena pulchella",,,,,,
AMARANTHACEAE,"Gomphrena regeliana",,,,,,
AMARANTHACEAE,"Gomphrena scandens",,,,,,
AMARANTHACEAE,"Gomphrena schlechtendaliana",,,,,,
AMARANTHACEAE,"Gomphrena sellowiana",,,,,,
AMARANTHACEAE,"Gomphrena vaga",,,,,,
AMARANTHACEAE,"Hebanthe eriantha",,,,,,
AMARANTHACEAE,"Hebanthe pulverulenta",,,,,,
AMARANTHACEAE,"Herbstia brasiliana",,,,,,
