family,scientificName,habitat
ACANTHACEAE,"Aphelandra hirta","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Aphelandra longiflora","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Aphelandra nitida","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Aphelandra prismatica","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Aphelandra schottiana","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Aphelandra squarrosa","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Dicliptera squarrosa","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Herpetacanthus longiflorus","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Justicia brasiliana","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Justicia brasiliana","3.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Justicia bullata","1 Forest"
ACANTHACEAE,"Justicia catharinensis","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Justicia congrua","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Justicia cydoniifolia","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Justicia kleinii","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Justicia laevilinguis","1.8 Subtropical/Tropical Swamp"
ACANTHACEAE,"Justicia lythroides","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Justicia scheidweileri","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Justicia wasshauseniana","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Mendoncia mollis","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Pseuderanthemum modestum","3.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Pseuderanthemum riedelianum","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Ruellia affinis","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Ruellia bulbifera","3.7 Subtropical/Tropical High Altitude"
ACANTHACEAE,"Ruellia curviflora","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Ruellia epallocaulos","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Ruellia erythropus","1.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Ruellia multifolia","3.7 Subtropical/Tropical High Altitude"
ACANTHACEAE,"Ruellia solitaria","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Ruellia solitaria","3.5 Subtropical/Tropical Dry"
ACANTHACEAE,"Staurogyne anigozanthus","1.6 Subtropical/Tropical Moist Lowland"
ACANTHACEAE,"Stenandrium hatschbachii","2 Savanna"
ACANTHACEAE,"Stenostephanus lobeliiformis","1.6 Subtropical/Tropical Moist Lowland"
ACHATOCARPACEAE,"Achatocarpus praecox","1 Forest"
ADELOTHECIACEAE,"Adelothecium bogotense","1 Forest"
ALISMATACEAE,"Echinodorus bolivianus","1.6 Subtropical/Tropical Moist Lowland"
ALISMATACEAE,"Echinodorus bolivianus","1.9 Subtropical/Tropical Moist Montane"
ALISMATACEAE,"Echinodorus bolivianus","2 Savanna"
ALISMATACEAE,"Echinodorus bolivianus","2.2 Moist Savana"
ALISMATACEAE,"Echinodorus bolivianus","3 Shrubland"
ALISMATACEAE,"Echinodorus bolivianus","3.6 Subtropical/Tropical Moist"
ALISMATACEAE,"Echinodorus bolivianus","3.7 Subtropical/Tropical High Altitude"
ALISMATACEAE,"Echinodorus bolivianus","4 Grassland"
ALISMATACEAE,"Echinodorus bolivianus","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALISMATACEAE,"Echinodorus bolivianus","5 Wetlands (inland)"
ALISMATACEAE,"Echinodorus bolivianus","5.5 Permanent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Echinodorus bolivianus","5.6 Seasonal/Intermittent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Echinodorus bolivianus","5.7 Permanent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Echinodorus bolivianus","5.8 Seasonal/Intermittent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Echinodorus bolivianus","13 Marine Coastal/Supratidal"
ALISMATACEAE,"Echinodorus bolivianus","13.5 Coastal Freshwater Lakes"
ALISMATACEAE,"Echinodorus paniculatus","1 Forest"
ALISMATACEAE,"Echinodorus paniculatus","1.6 Subtropical/Tropical Moist Lowland"
ALISMATACEAE,"Echinodorus paniculatus","1.9 Subtropical/Tropical Moist Montane"
ALISMATACEAE,"Echinodorus paniculatus","2 Savanna"
ALISMATACEAE,"Echinodorus paniculatus","2.2 Moist Savana"
ALISMATACEAE,"Echinodorus paniculatus","3 Shrubland"
ALISMATACEAE,"Echinodorus paniculatus","3.6 Subtropical/Tropical Moist"
ALISMATACEAE,"Echinodorus paniculatus","3.7 Subtropical/Tropical High Altitude"
ALISMATACEAE,"Echinodorus paniculatus","4 Grassland"
ALISMATACEAE,"Echinodorus paniculatus","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALISMATACEAE,"Echinodorus paniculatus","4.7 Subtropical/Tropical High Altitude"
ALISMATACEAE,"Echinodorus paniculatus","5 Wetlands (inland)"
ALISMATACEAE,"Echinodorus paniculatus","5.5 Permanent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Echinodorus paniculatus","5.6 Seasonal/Intermittent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Echinodorus paniculatus","5.7 Permanent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Echinodorus paniculatus","5.8 Seasonal/Intermittent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Echinodorus paniculatus","5.14 Permanent Saline, Brackish or Alkaline Lakes"
ALISMATACEAE,"Sagittaria lancifolia","1.6 Subtropical/Tropical Moist Lowland"
ALISMATACEAE,"Sagittaria lancifolia","3 Shrubland"
ALISMATACEAE,"Sagittaria lancifolia","3.6 Subtropical/Tropical Moist"
ALISMATACEAE,"Sagittaria lancifolia","1.8 Subtropical/Tropical Swamp"
ALISMATACEAE,"Sagittaria lancifolia","1.7 Subtropical/Tropical Mangrove Vegetation Above High Tide Level"
ALISMATACEAE,"Sagittaria lancifolia","4 Grassland"
ALISMATACEAE,"Sagittaria lancifolia","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALISMATACEAE,"Sagittaria lancifolia","13 Marine Coastal/Supratidal"
ALISMATACEAE,"Sagittaria lancifolia","13.4 Coastal Brackish/Saline Lagoons/Marine Lakes"
ALISMATACEAE,"Sagittaria lancifolia","5 Wetlands (inland)"
ALISMATACEAE,"Sagittaria lancifolia","5.5 Permanent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Sagittaria lancifolia","5.6 Seasonal/Intermittent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Sagittaria lancifolia","5.7 Permanent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Sagittaria lancifolia","5.8 Seasonal/Intermittent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Sagittaria rhombifolia","1 Forest"
ALISMATACEAE,"Sagittaria rhombifolia","1.6 Subtropical/Tropical Moist Lowland"
ALISMATACEAE,"Sagittaria rhombifolia","3 Shrubland"
ALISMATACEAE,"Sagittaria rhombifolia","3.6 Subtropical/Tropical Moist"
ALISMATACEAE,"Sagittaria rhombifolia","4 Grassland"
ALISMATACEAE,"Sagittaria rhombifolia","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALISMATACEAE,"Sagittaria rhombifolia","5 Wetlands (inland)"
ALISMATACEAE,"Sagittaria rhombifolia","5.6 Seasonal/Intermittent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Sagittaria rhombifolia","5.7 Permanent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Sagittaria rhombifolia","5.8 Seasonal/Intermittent Freshwater Marshes/Pools [under 8 ha]"
ALISMATACEAE,"Sagittaria rhombifolia","5.14 Permanent Saline, Brackish or Alkaline Lakes"
ALISMATACEAE,"Sagittaria rhombifolia","5.15 Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats"
ALISMATACEAE,"Sagittaria rhombifolia","5.16 Permanent Saline, Brackish or Alkaline Marshes/Pools"
ALISMATACEAE,"Sagittaria rhombifolia","5.17 Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools"
ALISMATACEAE,"Sagittaria rhombifolia","13 Marine Coastal/Supratidal"
ALISMATACEAE,"Sagittaria rhombifolia","13.5 Coastal Freshwater Lakes"
ALISMATACEAE,"Sagittaria rhombifolia","5.5 Permanent Freshwater Lakes [over 8 ha]"
ALISMATACEAE,"Sagittaria rhombifolia","5.4 Bogs, Marshes, Swamps, Fens, Peatlands"
ALSTROEMERIACEAE,"Alstroemeria amabilis","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria apertiflora","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria apertiflora","3.6 Subtropical/Tropical Moist"
ALSTROEMERIACEAE,"Alstroemeria apertiflora","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALSTROEMERIACEAE,"Alstroemeria apertiflora","5 Wetlands (inland)"
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","2.2 Moist Savana"
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","3.6 Subtropical/Tropical Moist"
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALSTROEMERIACEAE,"Alstroemeria capixaba","1.6 Subtropical/Tropical Moist Lowland"
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1.6 Subtropical/Tropical Moist Lowland"
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","3.6 Subtropical/Tropical Moist"
ALSTROEMERIACEAE,"Alstroemeria inodora","1.6 Subtropical/Tropical Moist Lowland"
ALSTROEMERIACEAE,"Alstroemeria inodora","1.9 Subtropical/Tropical Moist Montane"
ALSTROEMERIACEAE,"Alstroemeria inodora","3.6 Subtropical/Tropical Moist"
ALSTROEMERIACEAE,"Alstroemeria inodora","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria inodora","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland"
ALSTROEMERIACEAE,"Alstroemeria isabellana","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria isabellana","4.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria malmeana","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria malmeana","4.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria orchidioides","1.5 Subtropical/Tropical Dry"
ALSTROEMERIACEAE,"Alstroemeria orchidioides","1.6 Subtropical/Tropical Moist Lowland"
ALSTROEMERIACEAE,"Alstroemeria penduliflora","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria variegata","3.7 Subtropical/Tropical High Altitude"
ALSTROEMERIACEAE,"Alstroemeria variegata","4.7 Subtropical/Tropical High Altitude"
AMARANTHACEAE,"Alternanthera hirtula","1.6 Subtropical/Tropical Moist Lowland"
AMARANTHACEAE,"Alternanthera hirtula","4.5 Subtropical/Tropical Dry Lowland"
AMARANTHACEAE,"Alternanthera januarensis","1.9 Subtropical/Tropical Moist Montane"
AMARANTHACEAE,"Alternanthera malmeana","4 Grassland"
AMARANTHACEAE,"Alternanthera paronychioides","5.3 Shrub Dominated Wetlands"
AMARANTHACEAE,"Alternanthera praelonga","4.5 Subtropical/Tropical Dry Lowland"
AMARANTHACEAE,"Alternanthera praelonga","13.3 Coastal Sand Dunes"
AMARANTHACEAE,"Alternanthera puberula","2 Savanna"
AMARANTHACEAE,"Alternanthera reineckii","5 Wetlands (inland)"
AMARANTHACEAE,"Alternanthera sessilis","1.6 Subtropical/Tropical Moist Lowland"
AMARANTHACEAE,"Alternanthera sessilis","1.9 Subtropical/Tropical Moist Montane"
AMARANTHACEAE,"Alternanthera sessilis","5.1 Permanent Rivers/Streams/Creeks [includes waterfalls]"
AMARANTHACEAE,"Alternanthera tenella","5.9 Freshwater Springs and Oases"
AMARANTHACEAE,"Alternanthera tenella","1 Forest"
AMARANTHACEAE,"Amaranthus rosengurtii","4.5 Subtropical/Tropical Dry Lowland"
AMARANTHACEAE,"Blutaparon portulacoides","13.3 Coastal Sand Dunes"
AMARANTHACEAE,"Celosia grandifolia","1.6 Subtropical/Tropical Moist Lowland"
AMARANTHACEAE,"Chamissoa acuminata","1.6 Subtropical/Tropical Moist Lowland"
AMARANTHACEAE,"Chamissoa acuminata","1.9 Subtropical/Tropical Moist Montane"
AMARANTHACEAE,"Chamissoa acuminata","2.1 Dry Savanna"
AMARANTHACEAE,"Chamissoa acuminata var. maximilianii","2.1 Dry Savanna"
AMARANTHACEAE,"Chamissoa acuminata var. maximilianii","1.5 Subtropical/Tropical Dry"
