family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
ACANTHACEAE,Acelica trimerocalyx,2,0,0,2,0,0,2,0,2,"274,73km","4,0km"
ACANTHACEAE,Aphelandra espirito-santensis,9,0,0,9,0,0,9,0,9,"495,65km","16,0km"
ACANTHACEAE,Aphelandra gigantea,15,2,0,15,2,0,15,2,17,"54.858,58km","52,0km"
ACANTHACEAE,Aphelandra hirta,13,10,0,19,4,0,13,10,23,"99.587,83km","32,0km"
AMARANTHACEAE,Gomphrena vaga,153,126,0,263,16,0,153,126,279,"3.379.644,89km","476,0km"
ACANTHACEAE,Aphelandra longiflora,166,17,0,166,17,0,166,17,183,"3.560.064,48km","560,0km"
AMARANTHACEAE,Gomphrena chrestoides,14,8,0,22,0,0,14,8,22,"174,81km","32,0km"
AMARANTHACEAE,Alternanthera sessilis,13,19,0,24,8,0,13,19,32,"2.324.233,1km","44,0km"
ACANTHACEAE,Aphelandra lurida,2,0,0,2,0,0,2,0,2,"270,65km","4,0km"
ACANTHACEAE,Aphelandra margaritae,45,0,0,45,0,0,45,0,45,"1.601,45km","92,0km"
ACANTHACEAE,Aphelandra maximiliana,28,2,0,28,0,2,28,2,30,"1.961,93km","48,0km"
ACANTHACEAE,Aphelandra nitida,102,4,0,103,3,0,102,4,106,"136.902,45km","320,0km"
ACANTHACEAE,Aphelandra prismatica,78,4,0,79,3,0,78,4,82,"181.577,35km","180,0km"
ACANTHACEAE,Aphelandra schottiana,56,4,0,56,4,0,56,4,60,"418.081,87km","164,0km"
AMARANTHACEAE,Froelichia procera,32,40,0,69,3,0,32,40,72,"331.296,79km","68,0km"
AMARANTHACEAE,Alternanthera tenella,377,220,0,561,36,0,377,220,597,"6.081.209,2km","1.192,0km"
ACANTHACEAE,Aphelandra squarrosa,18,2,0,18,2,0,18,2,20,"53.041,17km","68,0km"
AMARANTHACEAE,Alternanthera hirtula,12,4,0,14,2,0,12,4,16,"13.826,68km","32,0km"
ACANTHACEAE,Chaetothylax hatschbachii,12,1,0,12,1,0,12,1,13,"33.506,62km","28,0km"
ACANTHACEAE,Chamaeranthemum beyrichii,39,6,0,40,5,0,39,6,45,"130.381,66km","104,0km"
ACANTHACEAE,Dicliptera imminuta,1,3,0,1,3,0,1,3,4,"288,93km","4,0km"
ACANTHACEAE,Dicliptera sericea,12,4,0,14,2,0,12,4,16,"117.722,73km","44,0km"
ACANTHACEAE,Dicliptera squarrosa,41,11,0,45,7,0,41,11,52,"1.405.493,24km","160,0km"
ACANTHACEAE,Duvernoia paranaensis,4,0,0,4,0,0,4,0,4,"280,19km","4,0km"
ACANTHACEAE,Dyschoriste amoena,3,2,0,5,0,0,3,2,5,"544,71km","8,0km"
ACANTHACEAE,Dyschoriste smithii,4,0,0,4,0,0,4,0,4,"65,3km","12,0km"
ACANTHACEAE,Geissomeria ciliata,20,3,0,20,3,0,20,3,23,"268.914,65km","44,0km"
ACANTHACEAE,Geissomeria cincinnata,26,1,0,26,1,0,26,1,27,"886.296,07km","84,0km"
ACANTHACEAE,Geissomeria gigantea,5,0,0,5,0,0,5,0,5,"771,1km","16,0km"
ACANTHACEAE,Geissomeria nitida,19,1,0,19,1,0,19,1,20,"56.085,15km","60,0km"
ACANTHACEAE,Geissomeria tetragona,16,0,0,16,0,0,16,0,16,"355.850,89km","48,0km"
ACANTHACEAE,Herpetacanthus longiflorus,24,0,0,24,0,0,24,0,24,"24.126,6km","60,0km"
ACANTHACEAE,Jacobinia festiva,2,0,0,2,0,0,2,0,2,"274,73km","4,0km"
ACANTHACEAE,Justicia anagallis,9,0,0,9,0,0,9,0,9,"431.454,99km","28,0km"
ACANTHACEAE,Justicia brasiliana,510,17,0,510,17,0,510,17,527,"1.413.008,79km","960,0km"
AMARANTHACEAE,Chamissoa altissima,201,130,0,308,23,0,201,130,331,"6.738.038,69km","496,0km"
AMARANTHACEAE,Gomphrena agrestis,96,86,0,170,12,0,96,86,182,"1.580.333,92km","312,0km"
ACANTHACEAE,Justicia catharinensis,16,3,0,19,0,0,16,3,19,"25.667,42km","40,0km"
ACANTHACEAE,Justicia clausseniana,6,1,0,6,1,0,6,1,7,"3.260,67km","16,0km"
