family,scientificNameWithoutAuthorship,scientificNameAuthorship
ACANTHACEAE,"Aphelandra espirito-santensis","Profice & Wassh."
ACANTHACEAE,"Aphelandra gigantea","(Rizzini) Profice"
ACANTHACEAE,"Aphelandra hirta","(Klotzsch) Wassh."
ACANTHACEAE,"Aphelandra longiflora","(Lindl.) Profice"
ACANTHACEAE,"Aphelandra margaritae",E.Morren
ACANTHACEAE,"Aphelandra maximiliana","(Nees) Benth."
ACANTHACEAE,"Aphelandra nitida","Nees & Mart."
ACANTHACEAE,"Aphelandra prismatica","(Vell.) Hiern"
ACANTHACEAE,"Aphelandra schottiana","(Nees) Profice"
ACANTHACEAE,"Aphelandra squarrosa",Nees
ACANTHACEAE,"Chamaeranthemum beyrichii",Nees
ACANTHACEAE,"Dicliptera squarrosa",Nees
ACANTHACEAE,"Dyschoriste smithii",Leonard
ACANTHACEAE,"Dyschoriste lavandulaceae","(Nees) Kuntze"
ACANTHACEAE,"Herpetacanthus longiflorus",Moric.
ACANTHACEAE,"Justicia brasiliana",Roth
ACANTHACEAE,"Justicia bullata","(Nees) Profice"
ACANTHACEAE,"Justicia catharinensis",Lindau
ACANTHACEAE,"Justicia clausseniana","(Nees) Profice"
ACANTHACEAE,"Justicia congrua","(Nees ex Mart.) Lindau"
ACANTHACEAE,"Justicia cydoniifolia","(Nees) Lindau"
ACANTHACEAE,"Justicia genuflexa","Nees & Mart."
ACANTHACEAE,"Justicia kleinii","Wassh. & L.B.Sm."
ACANTHACEAE,"Justicia laevilinguis","(Nees) Lindau"
ACANTHACEAE,"Justicia lythroides","(Nees) V.A.W.Graham"
ACANTHACEAE,"Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm."
ACANTHACEAE,"Justicia polita","(Nees) Profice"
ACANTHACEAE,"Justicia pseudoamazonica",Lindau
ACANTHACEAE,"Justicia ramulosa","(Morong) C.Ezcurra"
IRIDACEAE,"Trimezia fistulosa",Foster
ACANTHACEAE,"Justicia scheidweileri",V.A.W.Graham
ACANTHACEAE,"Justicia symphyantha","(Nees ex Mart.) Lindau"
ACANTHACEAE,"Justicia tijucensis",V.A.W.Graham
ACANTHACEAE,"Justicia wasshauseniana",Profice
ACANTHACEAE,"Mendoncia mollis",Lindau
ACANTHACEAE,"Odontonema dissitiflorum","(Nees) Kuntze"
ACANTHACEAE,"Pseuderanthemum modestum","(Nees) Radlk."
ACANTHACEAE,"Pseuderanthemum riedelianum","(Nees) Radlk."
ACANTHACEAE,"Ruellia affinis","(Schrad.) Lindau"
ACANTHACEAE,"Ruellia bulbifera",Lindau
ACANTHACEAE,"Ruellia chamaedrys","(Nees) Angely"
ACANTHACEAE,"Ruellia curviflora","Nees & Mart."
ACANTHACEAE,"Ruellia dissitifolia","(Nees) Hiern"
ACANTHACEAE,"Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh."
ACANTHACEAE,"Ruellia erythropus","(Nees) Lindau"
ACANTHACEAE,"Ruellia multifolia","(Nees) Lindau"
ACANTHACEAE,"Ruellia solitaria",Vell.
ACANTHACEAE,"Schaueria lophura","Nees & Mart."
ACANTHACEAE,"Schaueria virginea",Nees
ACANTHACEAE,"Staurogyne anigozanthus","(Nees) Kuntze"
ACANTHACEAE,"Staurogyne brachiata","(Hiern) Leonard"
ACANTHACEAE,"Staurogyne carvalhoi",Profice
ACANTHACEAE,"Staurogyne elegans","(Nees) Kuntze"
ACANTHACEAE,"Staurogyne itatiaiae","(Wawra) Leonard"
ACANTHACEAE,"Staurogyne vauthieriana","(Nees) Kuntze"
ACANTHACEAE,"Staurogyne veronicifolia","(Nees) Kuntze"
ACANTHACEAE,"Staurogyne warmingiana","(Hiern) Leonard"
ACANTHACEAE,"Stenandrium diphyllum",Nees
ACANTHACEAE,"Stenandrium hatschbachii",Wassh.
ACANTHACEAE,"Stenandrium stenophyllum",Kameyama
ACANTHACEAE,"Stenostephanus lobeliiformis",Nees
ACANTHACEAE,"Streblacanthus dubiosus","(Lindau) V.M.Baum"
ACHATOCARPACEAE,"Achatocarpus praecox",Griseb.
ADELOTHECIACEAE,"Adelothecium bogotense","(Hampe) Mitt."
ALISMATACEAE,"Echinodorus bolivianus","(Rusby) Holm-Niels."
