family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
ACANTHACEAE,"Aphelandra espirito-santensis","Profice & Wassh.","Aphelandra espirito-santensis Profice & Wassh."
ACANTHACEAE,"Aphelandra gigantea","(Rizzini) Profice","Aphelandra gigantea (Rizzini) Profice"
ACANTHACEAE,"Aphelandra hirta","(Klotzsch) Wassh.","Aphelandra hirta (Klotzsch) Wassh."
ACANTHACEAE,"Aphelandra longiflora","(Lindl.) Profice","Aphelandra longiflora (Lindl.) Profice"
ACANTHACEAE,"Aphelandra margaritae",E.Morren,"Aphelandra margaritae E.Morren"
ACANTHACEAE,"Aphelandra maximiliana","(Nees) Benth.","Aphelandra maximiliana (Nees) Benth."
ACANTHACEAE,"Aphelandra nitida","Nees & Mart.","Aphelandra nitida Nees & Mart."
ACANTHACEAE,"Aphelandra prismatica","(Vell.) Hiern","Aphelandra prismatica (Vell.) Hiern"
ACANTHACEAE,"Aphelandra schottiana","(Nees) Profice","Aphelandra schottiana (Nees) Profice"
ACANTHACEAE,"Aphelandra squarrosa",Nees,"Aphelandra squarrosa Nees"
ACANTHACEAE,"Chamaeranthemum beyrichii",Nees,"Chamaeranthemum beyrichii Nees"
ACANTHACEAE,"Dicliptera squarrosa",Nees,"Dicliptera squarrosa Nees"
ACANTHACEAE,"Dyschoriste smithii",Leonard,"Dyschoriste smithii Leonard"
ACANTHACEAE,"Dyschoriste lavandulaceae","(Nees) Kuntze","Dyschoriste lavandulaceae (Nees) Kuntze"
ACANTHACEAE,"Herpetacanthus longiflorus",Moric.,"Herpetacanthus longiflorus Moric."
ACANTHACEAE,"Justicia brasiliana",Roth,"Justicia brasiliana Roth"
ACANTHACEAE,"Justicia bullata","(Nees) Profice","Justicia bullata (Nees) Profice"
ACANTHACEAE,"Justicia catharinensis",Lindau,"Justicia catharinensis Lindau"
ACANTHACEAE,"Justicia clausseniana","(Nees) Profice","Justicia clausseniana (Nees) Profice"
ACANTHACEAE,"Justicia congrua","(Nees ex Mart.) Lindau","Justicia congrua (Nees ex Mart.) Lindau"
ACANTHACEAE,"Justicia cydoniifolia","(Nees) Lindau","Justicia cydoniifolia (Nees) Lindau"
ACANTHACEAE,"Justicia genuflexa","Nees & Mart.","Justicia genuflexa Nees & Mart."
ACANTHACEAE,"Justicia kleinii","Wassh. & L.B.Sm.","Justicia kleinii Wassh. & L.B.Sm."
ACANTHACEAE,"Justicia laevilinguis","(Nees) Lindau","Justicia laevilinguis (Nees) Lindau"
ACANTHACEAE,"Justicia lythroides","(Nees) V.A.W.Graham","Justicia lythroides (Nees) V.A.W.Graham"
ACANTHACEAE,"Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.","Justicia paranaensis (Rizzini) Wassh. & L.B.Sm."
ACANTHACEAE,"Justicia polita","(Nees) Profice","Justicia polita (Nees) Profice"
ACANTHACEAE,"Justicia pseudoamazonica",Lindau,"Justicia pseudoamazonica Lindau"
ACANTHACEAE,"Justicia ramulosa","(Morong) C.Ezcurra","Justicia ramulosa (Morong) C.Ezcurra"
IRIDACEAE,"Trimezia fistulosa",Foster,"Trimezia fistulosa Foster"
ACANTHACEAE,"Justicia scheidweileri",V.A.W.Graham,"Justicia scheidweileri V.A.W.Graham"
ACANTHACEAE,"Justicia symphyantha","(Nees ex Mart.) Lindau","Justicia symphyantha (Nees ex Mart.) Lindau"
ACANTHACEAE,"Justicia tijucensis",V.A.W.Graham,"Justicia tijucensis V.A.W.Graham"
ACANTHACEAE,"Justicia wasshauseniana",Profice,"Justicia wasshauseniana Profice"
ACANTHACEAE,"Mendoncia mollis",Lindau,"Mendoncia mollis Lindau"
ACANTHACEAE,"Odontonema dissitiflorum","(Nees) Kuntze","Odontonema dissitiflorum (Nees) Kuntze"
ACANTHACEAE,"Pseuderanthemum modestum","(Nees) Radlk.","Pseuderanthemum modestum (Nees) Radlk."
ACANTHACEAE,"Pseuderanthemum riedelianum","(Nees) Radlk.","Pseuderanthemum riedelianum (Nees) Radlk."
ACANTHACEAE,"Ruellia affinis","(Schrad.) Lindau","Ruellia affinis (Schrad.) Lindau"
