family,scientificName,threat,incidence,timing,decline
ACANTHACEAE,"Aphelandra margaritae","1.1 Agriculture",,,
ACANTHACEAE,"Aphelandra margaritae","1.1.2 Wood plantation",,,
ACANTHACEAE,"Aphelandra margaritae","1.1.4 Livestock",,,
ACANTHACEAE,"Aphelandra maximiliana","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Aphelandra nitida","1 Habitat Loss/Degradation (human induced)",,,
ACANTHACEAE,"Aphelandra prismatica","1 Habitat Loss/Degradation (human induced)",,,
ACANTHACEAE,"Dyschoriste smithii","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Dyschoriste lavandulaceae","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Justicia brasiliana","1 Habitat Loss/Degradation (human induced)",,,
ACANTHACEAE,"Justicia clausseniana","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Justicia paranaensis","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Justicia polita","10.5 Fire",local,,
ACANTHACEAE,"Justicia polita","1.4.4 Transport - land/air",local,,
ACANTHACEAE,"Justicia polita","1.4.2 Human settlement",local,,
ACANTHACEAE,"Justicia ramulosa","1 Habitat Loss/Degradation (human induced)",,,
ACANTHACEAE,"Justicia ramulosa","1.1 Agriculture",,,
ACANTHACEAE,"Justicia ramulosa","1.3.3 Wood",,,
IRIDACEAE,"Trimezia fistulosa","1.3.3 Wood",local,,
ACANTHACEAE,"Justicia tijucensis","1.4 Infrastructure development",local,,
ACANTHACEAE,"Justicia tijucensis","10.5 Fire",local,,
ACANTHACEAE,"Justicia tijucensis","2 Invasive alien species (directly affecting the species)",local,,
ACANTHACEAE,"Justicia tijucensis","1.1 Agriculture",local,,
ACANTHACEAE,"Odontonema dissitiflorum","1.1 Agriculture",local,,
ACANTHACEAE,"Odontonema dissitiflorum","10.5 Fire",local,,
ACANTHACEAE,"Staurogyne brachiata","1.4.2 Human settlement",,,
ACANTHACEAE,"Staurogyne brachiata","9.9 Restricted range",,,
ACANTHACEAE,"Staurogyne carvalhoi","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Staurogyne carvalhoi","1.1 Agriculture",local,,
ACANTHACEAE,"Staurogyne elegans","10 Human disturbance",,,
ACANTHACEAE,"Staurogyne elegans","7 Natural disaster",,,
ACANTHACEAE,"Staurogyne itatiaiae","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Staurogyne vauthieriana","1.3.1 Mining",local,,
ACANTHACEAE,"Staurogyne veronicifolia","1 Habitat Loss/Degradation (human induced)",local,,
ACANTHACEAE,"Staurogyne warmingiana","1.3.1 Mining",,,
ACANTHACEAE,"Staurogyne warmingiana","1.4.3 Tourism/recreation",local,,
ACANTHACEAE,"Stenandrium hatschbachii","1.3.1 Mining",local,,
ACANTHACEAE,"Stenandrium hatschbachii","1.4.3 Tourism/recreation",local,,
ACANTHACEAE,"Stenandrium hatschbachii","1.1.4 Livestock",local,,
ACANTHACEAE,"Stenandrium hatschbachii","1.7 Fire",local,,
ACANTHACEAE,"Stenandrium stenophyllum","1.3.1 Mining",local,,
ACANTHACEAE,"Stenandrium stenophyllum","10.1 Recreation/tourism",local,,
ACANTHACEAE,"Stenandrium stenophyllum","1.1.4 Livestock",local,,
ACANTHACEAE,"Stenandrium stenophyllum","1.7 Fire",local,,
ACANTHACEAE,"Streblacanthus dubiosus","1.7 Fire",local,,
ACANTHACEAE,"Streblacanthus dubiosus","1 Habitat Loss/Degradation (human induced)",local,,
ALISMATACEAE,"Echinodorus bolivianus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus bolivianus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus bolivianus","1.1 Agriculture",,,
ALISMATACEAE,"Echinodorus bolivianus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus bolivianus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus bolivianus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus paniculatus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus paniculatus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Echinodorus paniculatus","1.1 Agriculture",,,
ALISMATACEAE,"Echinodorus paniculatus","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Sagittaria lancifolia","1 Habitat Loss/Degradation (human induced)",national,,
ALISMATACEAE,"Sagittaria lancifolia","1.1.4 Livestock",,,
ALISMATACEAE,"Sagittaria lancifolia","1.1 Agriculture",national,,
ALISMATACEAE,"Sagittaria lancifolia","1.1.1.1 Shifting Agriculture",national,,
ALISMATACEAE,"Sagittaria lancifolia","1.5 Invasive alien species (directly impacting habitat)",national,,
ALISMATACEAE,"Sagittaria rhombifolia","1 Habitat Loss/Degradation (human induced)",,,
ALISMATACEAE,"Sagittaria rhombifolia","1.1 Agriculture",,,
ALISMATACEAE,"Sagittaria rhombifolia","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria amabilis","1.5 Invasive alien species (directly impacting habitat)",,,
ALSTROEMERIACEAE,"Alstroemeria amabilis","1.4.8 Power line",,,
ALSTROEMERIACEAE,"Alstroemeria amabilis","10.1 Recreation/tourism",local,,
ALSTROEMERIACEAE,"Alstroemeria apertiflora","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria apertiflora","1.4.3 Tourism/recreation",,,
ALSTROEMERIACEAE,"Alstroemeria apertiflora","1.5 Invasive alien species (directly impacting habitat)",,,
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","1.5 Invasive alien species (directly impacting habitat)",,,
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","1.1.4 Livestock",,,
ALSTROEMERIACEAE,"Alstroemeria brasiliensis","1.3.1 Mining",local,,
ALSTROEMERIACEAE,"Alstroemeria capixaba","1.7 Fire",local,,
ALSTROEMERIACEAE,"Alstroemeria capixaba","1.1.4 Livestock",local,,
ALSTROEMERIACEAE,"Alstroemeria capixaba","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria capixaba","1.5 Invasive alien species (directly impacting habitat)",,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1.4 Infrastructure development",,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1.1 Agriculture",,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1 Habitat Loss/Degradation (human induced)",national,,
ALSTROEMERIACEAE,"Alstroemeria caryophyllaea","1.3.3.2 Selective logging",,,
ALSTROEMERIACEAE,"Alstroemeria inodora","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria inodora","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria inodora","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria isabellana","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria isabellana","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria isabellana","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria malmeana","1.1.4 Livestock",,,
ALSTROEMERIACEAE,"Alstroemeria malmeana","1.7 Fire",,,
ALSTROEMERIACEAE,"Alstroemeria malmeana","1.1 Agriculture",,,
ALSTROEMERIACEAE,"Alstroemeria malmeana","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria orchidioides","1.7 Fire",,,
ALSTROEMERIACEAE,"Alstroemeria orchidioides","1 Habitat Loss/Degradation (human induced)",,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.1 Agriculture",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.4.3 Tourism/recreation",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.3.4 Non-woody vegetation collection",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1 Habitat Loss/Degradation (human induced)",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","3.3 Fuel",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.3.1 Mining",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.5 Invasive alien species (directly impacting habitat)",local,,
ALSTROEMERIACEAE,"Alstroemeria penduliflora","1.7 Fire",local,,
ALSTROEMERIACEAE,"Alstroemeria variegata","1.3.1 Mining",,,
AMARANTHACEAE,"Alternanthera decurrens","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Alternanthera decurrens","9.9 Restricted range",local,,
AMARANTHACEAE,"Alternanthera hirtula","1.1 Agriculture",,,
AMARANTHACEAE,"Alternanthera hirtula","1.5 Invasive alien species (directly impacting habitat)",,,
AMARANTHACEAE,"Alternanthera januarensis","9.9 Restricted range",local,,
AMARANTHACEAE,"Alternanthera januarensis","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Alternanthera malmeana","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Alternanthera malmeana","1.5 Invasive alien species (directly impacting habitat)",,,
AMARANTHACEAE,"Amaranthus rosengurtii","1.1 Agriculture",,,
AMARANTHACEAE,"Amaranthus rosengurtii","1.5 Invasive alien species (directly impacting habitat)",,,
AMARANTHACEAE,"Blutaparon portulacoides","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Froelichia interrupta","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Froelichia procera","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Froelichiella grisea","1.7 Fire",,,
AMARANTHACEAE,"Froelichiella grisea","1.1.4 Livestock",,,
AMARANTHACEAE,"Froelichiella grisea","10.1 Recreation/tourism",,,
AMARANTHACEAE,"Gomphrena centrota","1 Habitat Loss/Degradation (human induced)",local,,
AMARANTHACEAE,"Gomphrena centrota","1.3.1 Mining",local,,
AMARANTHACEAE,"Gomphrena chrestoides","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena chrestoides","1.7 Fire",,,
AMARANTHACEAE,"Gomphrena chrestoides","1.1.4.2 Small-holder",,,
AMARANTHACEAE,"Gomphrena duriuscula","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena graminea","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena graminea","1.1 Agriculture",,,
AMARANTHACEAE,"Gomphrena hatschbachiana","9.9 Restricted range",local,,
AMARANTHACEAE,"Gomphrena hatschbachiana","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena nigricans","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena nigricans","9.9 Restricted range",local,,
AMARANTHACEAE,"Gomphrena paranensis","1 Habitat Loss/Degradation (human induced)",,,
AMARANTHACEAE,"Gomphrena pulchella","1 Habitat Loss/Degradation (human induced)",local,,
AMARANTHACEAE,"Gomphrena pulchella","1.3.3 Wood",,,
AMARANTHACEAE,"Gomphrena pulchella","1.5 Invasive alien species (directly impacting habitat)",local,,
AMARANTHACEAE,"Gomphrena regeliana","1 Habitat Loss/Degradation (human induced)",,,
