family,scientificName,use
ACANTHACEAE,"Aphelandra squarrosa",Ornamental,
ACANTHACEAE,"Justicia brasiliana",Bioativo,
ACANTHACEAE,"Justicia scheidweileri",Ornamental,
ACANTHACEAE,"Mendoncia mollis",Alimentício,
ACANTHACEAE,"Ruellia bulbifera",Ornamental,
ACANTHACEAE,"Ruellia dissitifolia",Bioativo,
ACANTHACEAE,"Ruellia solitaria",Ornamental,
ACANTHACEAE,"Staurogyne anigozanthus",Ornamental,
ALISMATACEAE,"Sagittaria rhombifolia",Melífero,
ALISMATACEAE,"Sagittaria rhombifolia",Ornamental,
ALISMATACEAE,"Sagittaria rhombifolia",Bioativo,
ALISMATACEAE,"Sagittaria rhombifolia",Forrageiro,
AMARANTHACEAE,"Alternanthera sessilis",Bioativo,
AMARANTHACEAE,"Alternanthera tenella",Bioativo,
AMARANTHACEAE,"Blutaparon portulacoides",Bioativo,
AMARANTHACEAE,"Chamissoa altissima",Bioativo,
AMARANTHACEAE,"Gomphrena vaga",Bioativo,
AMARANTHACEAE,"Hebanthe eriantha",Bioativo,
AMARANTHACEAE,"Pfaffia glomerata",Ornamental,
AMARANTHACEAE,"Pfaffia glomerata",Bioativo,
AMARANTHACEAE,"Pfaffia jubata",Bioativo,
AMARYLLIDACEAE,"Eithea blumenavia",Ornamental,
AMARYLLIDACEAE,"Griffinia aracensis",Ornamental,
AMARYLLIDACEAE,"Griffinia gardneriana",Ornamental,
AMARYLLIDACEAE,"Griffinia liboniana",Ornamental,
AMARYLLIDACEAE,"Griffinia nocturna",Ornamental,
AMARYLLIDACEAE,"Griffinia parviflora",Ornamental,
AMARYLLIDACEAE,"Hippeastrum angustifolium",Ornamental,
AMARYLLIDACEAE,"Hippeastrum breviflorum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum goianum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum leucobasis",Ornamental,
AMARYLLIDACEAE,"Hippeastrum morelianum",Ornamental,
