family,scientificName,fitofisionomie
RUBIACEAE,"Bradea borrerioides","Afloramento Rochoso"
BROMELIACEAE,"Encholirium fragae","Savana Parque"
BROMELIACEAE,"Encholirium kranzianum","Savana Parque"
BROMELIACEAE,"Encholirum splendidum","Savana Parque"
BROMELIACEAE,"Encholirium splendidum",Savana
Asteraceae,"Eremanthus praetermissus","Campos de Altitude"
Asteraceae,"Eremanthus praetermissus","Floresta Ombrófila Densa"
Asteraceae,"Eremanthus ovatifolius","Savana Parque"
ERIOCAULACEAE,"Paepalanthus capixabensis","Campos de Altitude"
ERIOCAULACEAE,"Paepalanthus echinoides","Campos de Altitude"
ERIOCAULACEAE,"Paepalanthus echinoides","Áreas turfosas"
ERIOCAULACEAE,"Paepalanthus argyrotrychus","Savana Parque"
ERIOCAULACEAE,"Paepalanthus argyrotrychus","Afloramento Rochoso"
ERIOCAULACEAE,"Paepalanthus farinaceus","Savana Parque"
ERIOCAULACEAE,"Paepalanthus velutiphyllus","Savana Parque"
MAGNOLIACEAE,"Magnolia paraensis ","Floresta Ombrófila Densa"
MAGNOLIACEAE,"Magnolia paranaensis","Floresta Ombrófila Densa"
