family,scientificName,habitat
RUBIACEAE,"Bradea borrerioides","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
BROMELIACEAE,"Encholirium fragae","2.1 Dry Savanna"
BROMELIACEAE,"Encholirium kranzianum","2.1 Dry Savanna"
BROMELIACEAE,"Encholirum splendidum","2.1 Dry Savanna"
BROMELIACEAE,"Encholirium splendidum","2.1 Dry Savanna"
Asteraceae,"Eremanthus praetermissus","1.9 Subtropical/Tropical Moist Montane Forest"
Asteraceae,"Eremanthus praetermissus","4.7 Subtropical/Tropical High Altitude Grassland"
Asteraceae,"Eremanthus ovatifolius","3.5 Subtropical/Tropical Dry Shrubland"
ERIOCAULACEAE,"Paepalanthus capixabensis","4.7 Subtropical/Tropical High Altitude Grassland"
ERIOCAULACEAE,"Paepalanthus echinoides","4.7 Subtropical/Tropical High Altitude Grassland"
ERIOCAULACEAE,"Paepalanthus argyrotrychus","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ERIOCAULACEAE,"Paepalanthus farinaceus","2.1 Dry Savanna"
ERIOCAULACEAE,"Paepalanthus velutiphyllus","2.1 Dry Savanna"
MAGNOLIACEAE,"Magnolia paraensis ","1 Forest"
