occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:05febd18-2645-466d-9a79-f0a833e8a4e3,Eriocaulaceae,"Paepalanthus capixabensis Trovó",-20.658724,-41.004954,coletor,ok,,,,"5 a 10 km","Paepalanthus capixabensis Trovó",true,valid,no,no,native,valid,"Leonardo Novaes ; Ricardo Avancini ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:0c28b388-9f10-4a67-b581-605fd867bf5d,Asteraceae,"Eremanthus ovatifolius Loeuille",-19.3953,-41.6692,coletor,ok,"Leonardo Novaes",,,"5 a 10 km","Eremanthus ovatifolius Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:11046b57-b7f7-4219-90e6-e0656fb8c965,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.042261,-47.645143,sig,ok,,,,"centroide de uc","Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:143f6bf5-6936-47a3-b471-2afa750674dd,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.07087,-47.507052,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:150b052c-9f3f-43fc-aba3-e6e27e887166,Eriocaulaceae,"Paepalanthus capixabensis Trovó",-20.5658162,-41.005933,coletor,ok,,,,"5 a 10 km","Paepalanthus capixabensis Trovó",true,valid,no,no,native,valid,"Leonardo Novaes ; Ricardo Avancini ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:1842220b-c5af-4451-8abe-551b0cf328db,Bromeliaceae,"Encholirium fragae Forzza",-12.379444,-44.9516666667,,ok,,,,,"Encholirium fragae Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:23095625-c14d-4b77-adff-95bac2d2b8fe,Asteraceae,"Eremanthus praetermissus Loeuille",-23.6466,-45.6725,coletor,ok,,,,,"Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:2ac20dc6-a5e0-40b0-8417-13bbe64633da,Asteraceae,"Eremanthus praetermissus Loeuille",-23.6381,-45.6992,coletor,ok,,,,,"Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:330f4c7a-953a-45cf-b935-4e025f314dbe,Asteraceae,"Eremanthus praetermissus Loeuille",-23.464477,-45.056488,"google earth",ok,,,,"5 a 10 km","Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:3438c2f9-d41e-4db8-b85e-bf13f5038070,Bromeliaceae,"Encholirium kranzianum Leme & Forzza",-17.576111,-43.5213888,,ok,,,,,"Encholirium kranzianum Leme & Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:35a7377f-09dc-4409-a7a7-31cc512789e8,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.072743,-47.499948,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:38f3d3ff-67b9-498c-9246-046d30bb44c9,Bromeliaceae,"Encholirium splendidum Forzza",-13.235555,-43.9391666,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:39bfc45b-04ba-4787-91ae-144b61de71cc,Asteraceae,"Eremanthus ovatifolius Loeuille",-19.40167,-41.67639,coletor,ok,"Leonardo Novaes",,,"5 a 10 km","Eremanthus ovatifolius Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
