family,scientificNameWithoutAuthorship,scientificNameAuthorship
ERIOCAULACEAE,"Paepalanthus velutiphyllus",
Asteraceae,"Eremanthus praetermissus",Loeuille
Asteraceae,"Eremanthus ovatifolius",Loeuille
ERIOCAULACEAE,"Paepalanthus capixabensis",Trovó
RUBIACEAE,"Bradea pubescens","Brade ex J.A.Oliveira"
RUBIACEAE,"Bradea arenicola ",J.A.Oliveira
ERIOCAULACEAE,"Paepalanthus farinaceus",
ERIOCAULACEAE,"Paepalanthus argyrotrychus",
RUBIACEAE,"Bradea laeterosea ",J.A.Oliveira
RUBIACEAE,"Bradea borrerioides","J.A.Oliveira & Sobrado"
BROMELIACEAE,"Encholirium fragae",Forzza
BROMELIACEAE,"Encholirium kranzianum","Leme & Forzza"
BROMELIACEAE,"Encholirium splendidum",Forzza
ERIOCAULACEAE,"Paepalanthus echinoides",Trovó.
RUBIACEAE,"Bradea sessilifolia ",J.A.Oliveira
