family,scientificName,threat,incidence,timing,decline
BROMELIACEAE,"Encholirium fragae","3.2 Mining & quarrying",local,past;present;future,"habitat;locality;occurrence;mature individuals;occupancy"
BROMELIACEAE,"Encholirium kranzianum","2.3 Livestock farming & ranching",local,past;present;future,habitat
BROMELIACEAE,"Encholirum splendidum","7 Natural system modifications",local,past;present;future,"habitat;occupancy;mature individuals"
BROMELIACEAE,"Encholirum splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Encholirum splendidum","8.1.1 Unspecified species",,,
BROMELIACEAE,"Encholirium splendidum","7 Natural system modifications",local,past;present;future,habitat;occupancy;occurrence
BROMELIACEAE,"Encholirium splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Encholirium splendidum","8.1.1 Unspecified species",local,past;present;future,occupancy;occurrence;habitat
Asteraceae,"Eremanthus praetermissus","5.3.1 Intentional use: subsistence/small scale (species being assessed is the target) [harvest]",local,past;present,
Asteraceae,"Eremanthus praetermissus","1.3 Tourism & recreation areas",local,past;present,
Asteraceae,"Eremanthus ovatifolius","5.1.1 Intentional use (species being assessed is the target)",local,past;present,
ERIOCAULACEAE,"Paepalanthus capixabensis","1.1 Housing & urban areas",local,present,habitat;locality;occupancy;occurrence
ERIOCAULACEAE,"Paepalanthus capixabensis","2 Agriculture & aquaculture",local,present,habitat;occupancy;locality;occurrence
ERIOCAULACEAE,"Paepalanthus echinoides","2 Agriculture & aquaculture",local,present,locality;habitat;occupancy;occurrence
