family,scientificName,document,field,reference
MYRTACEAE,"Eugenia chlorocarpa",profile,distribution,"Sobral, M.; Proença, C.; Souza, M.; Mazine, F.; Lucas, E. 2015. Myrtaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB10268>. Acesso em 15 abril 2015."
MYRTACEAE,"Eugenia chlorocarpa",profile,distribution,"Souza, M. 2014. Myrtaceae in Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em <http://florariojaneiro.jbrj.gov.br>. Acesso em 15 abril 2015."
MYRTACEAE,"Eugenia chlorocarpa",profile,ecology,"Sobral, M.; Proença, C.; Souza, M.; Mazine, F.; Lucas, E. 2015. Myrtaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB10268>. Acesso em 15 abril 2015."
MYRTACEAE,"Eugenia martiana",profile,distribution,"Sobral, M.; Proença, C.; Souza, M.; Mazine, F.; Lucas, E. 2015. Myrtaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB10268>. Acesso em 21 abril 2015."
MYRTACEAE,"Eugenia martiana",profile,distribution,"Souza, M. 2014. Myrtaceae in Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em <http://florariojaneiro.jbrj.gov.br>. Acesso em 21 abril 2015."
MYRTACEAE,"Eugenia martiana",profile,ecology,"Sobral, M.; Proença, C.; Souza, M.; Mazine, F.; Lucas, E. 2015. Myrtaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB10268>. Acesso em 21 abril 2015."
MYRTACEAE,"Eugenia martiana",profile,threats,"Kurtz, B.C., Araújo, D.S.D. de, 2000. Composição florística e estrutura do componente arbóreo de um trecho de Mata Atlântica na Estação Ecológica Estadual. Rodriguésia 51, 69–112."
Ephedraceae,"Ephedra tweediana",profile,taxonomicNotes,"Hunziker, J.H. & Novara, L.J. 1998. Ephedracea in Flora de Valle de Lerma. Aportes Botânicos de Salta. Facultad de Ciencias Naturales, Universidad Nacional de Salta. Buenos Aires, Argentina."
Ephedraceae,"Ephedra tweediana",profile,taxonomicNotes,"Occhioni, P. 1949. Catálogo dos Ginospermos da Flóra do Brasil. Rodriguésia 11/12(22/23): 121-131."
Ephedraceae,"Ephedra tweediana",profile,distribution,"Souza, V.C. Ephedraceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB35364>. Acesso em: 08 Jun. 2015."
Ephedraceae,"Ephedra tweediana",profile,distribution,"Hunziker, J.H. & Novara, L.J. 1998. Ephedracea in Flora de Valle de Lerma. Aportes Botânicos de Salta. Facultad de Ciencias Naturales, Universidad Nacional de Salta. Buenos Aires, Argentina."
Ephedraceae,"Ephedra tweediana",profile,distribution,"Fuhro, D.; Vargas, D. & Larocca, J. 2005. Levantamento florístico das espécies herbáceas, arbustivas e lianas da floresta de encosta da Ponta do Cego, Reserva Biológica do Lami (RBL), Porto Alegre, Rio Grande do Sul, Brasil. São Leopoldo: Instituto Anchietano de Pesquisas. Pesquisas, Botânica 56: 239-256. "
Ephedraceae,"Ephedra tweediana",profile,ecology,"Souza, V.C. Ephedraceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB35364>. Acesso em: 08 Jun. 2015."
