occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:1399074,Myrtaceae,"Eugenia martiana (O.Berg) Mattos",-22.486989,-42.911706,"google earth",ok,,,,"250 a 1000 m","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Tomás Amorim ; Lucas Moulton",
occurrence:rj:1633713,Myrtaceae,"Eugenia chlorocarpa O.Berg",0,0,,nok,,,,,"Eugenia chlorocarpa O.Berg",,,,,,,"Victor Menezes ; Tomás Amorim ; Lucas Moulton",
occurrence:rj:2053622,Myrtaceae,"Eugenia martiana (O.Berg) Mattos",-22.478422,-42.88531,sig,ok,,,,"centroide de uc","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Tomás Amorim ; Lucas Moulton",
occurrence:rj:2185579,Myrtaceae,"Eugenia martiana (O.Berg) Mattos",-22.486989,-42.911706,"google earth",ok,,,,"250 a 1000 m","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Lucas Moulton",
occurrence:rj:2232321,Myrtaceae,"Eugenia chlorocarpa O.Berg",0,0,,nok,,,,,"Eugenia chlorocarpa O.Berg",false,unknown,unknown,yes,unknown,unknown,"Victor Menezes ; Lucas Moulton",
occurrence:rj:2801859,Myrtaceae,"Eugenia martiana (O.Berg) Mattos",-22.486989,-42.911706,"google earth",ok,,,,"250 a 1000 m","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Lucas Moulton",
occurrence:rj:2839753,Myrtaceae,"Eugenia chlorocarpa O.Berg",0,0,,nok,,,,,"Eugenia chlorocarpa O.Berg",false,unknown,unknown,yes,unknown,unknown,"Victor Menezes ; Lucas Moulton",
occurrence:rj:3143815,Myrtaceae,"Eugenia martiana (O.Berg) Mattos",-18.755,-40.890833,coletor,ok,,,,"5 a 10 km","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Lucas Moulton",
occurrence:rj:4265870,MYRTACEAE,"Eugenia martiana (O.Berg) Mattos",-22.478422,-42.88531,sig,ok,,,,"centroide de uc","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Tomás Amorim ; Lucas Moulton",
occurrence:rj:4288727,MYRTACEAE,"Eugenia martiana (O.Berg) Mattos",-22.486989,-42.911706,"google earth",ok,,,,"250 a 1000 m","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Lucas Moulton",
occurrence:rj:4329074,MYRTACEAE,"Eugenia martiana (O.Berg) Mattos",-22.486989,-42.911706,"google earth",ok,,,,"250 a 1000 m","Eugenia martiana (O.Berg) Mattos",,,,,,,"Leonardo Novaes ; Lucas Moulton",
