family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
Isoetaceae,"Isoetes luetzelburgii",U.Weber,sig,,,
Fabaceae,"Mimosa bracteolaris",Benth.,sig,,,
Erythroxylaceae,"Erythroxylum substriatum",O.E.Schulz,sig,,,
Scrophulariaceae,"Buddleja speciosissima",Taub.,,,,
Acanthaceae,"Aphelandra aurantiaca","(Scheidw.) Lindl.",,,,
Ephedraceae,"Ephedra tweediana",C.A.Mey.,sig,,,
Acanthaceae,"Aphelandra espirito-santensis","Profice & Wassh.",,,,
Acanthaceae,"Aphelandra longiflora","(Lindl.) Profice",,,,
MYRTACEAE,"Eugenia chlorocarpa",O.Berg,validation,,,
MYRTACEAE,"Eugenia martiana","(O.Berg) Mattos",validation,,,
LAMIACEAE,"Hesperozygis ringens","(Benth.) Epling",sig,,,
Poaceae,"Paspalum niquelandiae",Filg.,sig,,,
