family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Acanthaceae,"Geissomeria ciliata",Rizzini,"Aphelandra longiflora (Lindl.) Profice"
Scrophulariaceae,"Buddleja ulei",Dusén,"Buddleja speciosissima Taub."
Acanthaceae,"Geissomeria longiflora",Lindl.,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria longiflora var. monostachya",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria distans",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria pubescens",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria pubescens var. monostachya",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria perbracteosa",Rizzini,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria dichroa",Rizzini,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria dawsonii",Leonard,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Stenandrium speciosum",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Ruellia spicata",Vell.,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria longiflora var. obtusa",Nees,"Aphelandra longiflora (Lindl.) Profice"
Ephedraceae,"Ephedra scandens",Miers,"Ephedra tweediana C.A.Mey."
MYRTACEAE,"Calycorectes martianus",O.Berg,"Eugenia martiana"
Lamiaceae,"Glechon ringens",Benth.,"Hesperozygis ringens (Benth.) Epling"
Acanthaceae,"Geissomeria cincinnata",Nees,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria cincinnata var. redacta",Rizzini,"Aphelandra longiflora (Lindl.) Profice"
Acanthaceae,"Geissomeria tetragona",Lindau,"Aphelandra longiflora (Lindl.) Profice"
