family,scientificName,analysis,assessment,category,criteria
Fabaceae,"Eriosema platycarpon",,,,
MELASTOMATACEAE,"Lavoisiera quinquenervis",,,,
PODOCARPACEAE,"Podocarpus barretoi",,,,
ASTERACEAE,"Calea abbreviata",,,,
AMARYLLIDACEAE,"Griffinia nocturna",,,,
Annonaceae,"Annona burchellii",,,,
Annonaceae,"Annona malmeana",,,,
Poaceae,"Ctenium cirrhosum",,,,
Rubiaceae,"Borreria pulchristipula",,,,
Xyridaceae,"Xyris metallica",,,,
Eriocaulaceae,"Paepalanthus extremensis",,,,
LAMIACEAE,"Hypenia aristulata",,,,
LAURACEAE,"Cinnamomum taubertianum",,,,
Lentibulariaceae,"Utricularia biovularioides",,,,
LYTHRACEAE,"Diplusodon ericoides",,,,
Lythraceae,"Lafoensia vandelliana subsp. replicata",,,,
Melastomataceae,"Cambessedesia glaziovii",,,,
ORCHIDACEAE,"Cyrtopodium linearifolium",,,,
Orchidaceae,"Habenaria aphylla",,,,
Piperaceae,"Peperomia regelii",,,,
POACEAE,"Altoparadisium chapadense",,,,
Moraceae,"Ficus aripuanensis",,,,
POACEAE,"Axonopus hydrolithicus",,,,
