occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1084184,LAURACEAE,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",-19.202708,-43.643587,,ok,,,,,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1090408,POACEAE,"Axonopus hydrolithicus",-14.38,-48.42,,ok,,,,,"Axonopus hydrolithicus",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1090409,POACEAE,"Axonopus hydrolithicus",-14.35,-48.41,,ok,,,,,"Axonopus hydrolithicus",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1095945,POACEAE,"Altoparadisium chapadense Filg. et al.",-14.158756,-47.752997,,ok,,,,,"Altoparadisium chapadense Filg. et al.",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1095946,POACEAE,"Altoparadisium chapadense Filg. et al.",-14.158756,-47.752997,,ok,,,,,"Altoparadisium chapadense Filg. et al.",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1144431,POACEAE,"Axonopus hydrolithicus",-14.3,-48.383333,,ok,"Fernanda Wimmer",,,,"Axonopus hydrolithicus",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1145602,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1145713,POACEAE,"Axonopus hydrolithicus",-14.3,-48.383333,,ok,"Fernanda Wimmer",,,,"Axonopus hydrolithicus",true,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1156382,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1204853,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",false,valid,no,yes,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1204854,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.73722,-47.50167,,ok,,,,,"Diplusodon ericoides Lourteig",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1204855,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.7375,-47.50222,,ok,,,,,"Diplusodon ericoides Lourteig",false,valid,no,yes,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1227459,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",false,valid,no,yes,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1265964,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-16.148981,-47.664319,,ok,,,,,"Lavoisiera quinquenervis Wurdack",false,unknown,unknown,yes,unknown,unknown,"Juliana Amaral de Oliveira ; ",
1282176,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1327386,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.13,-47.51,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",false,,,no,,unknown,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1329895,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.800000,-47.820000,,ok,,,,,"Lavoisiera quinquenervis Wurdack",,,,,,,"Juliana Amaral de Oliveira ; ",
1339641,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",true,valid,no,no,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1450701,ORCHIDACEAE,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",-13.783675,-47.528884,,ok,,,,,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",false,unknown,unknown,yes,unknown,unknown,"Marcio Verdi ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Color photo of flower on this NY sheet."
1479208,PODOCARPACEAE,"Podocarpus barretoi Laubenf. & Silba",-14.203681,-47.523045,,ok,,,,,"Podocarpus barretoi Laubenf. & Silba",,,,,,,"Juliana Amaral de Oliveira ; ",
1479209,PODOCARPACEAE,"Podocarpus barretoi Laubenf. & Silba",-14.203681,-47.523045,,ok,,,,,"Podocarpus barretoi Laubenf. & Silba",,,,,,,"Juliana Amaral de Oliveira ; ","pollen sample removed; Enrique Moreno, Smithsonian T.R. Institute, Nov. 5, 1994."
1479210,PODOCARPACEAE,"Podocarpus barretoi Laubenf. & Silba",-14.203681,-47.523045,,ok,,,,,"Podocarpus barretoi Laubenf. & Silba",,,,,,,"Juliana Amaral de Oliveira ; ",
1486811,LAURACEAE,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",-19.75,-47.93,,ok,,,,,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1578152,LAURACEAE,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",-14.203681,-47.523045,,ok,,,,,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","DESC: Campo rupestre graminoso, arbusto crescendo entre rochas, ca. 2 m alt., cúpula vinácea, frutos verdes"
1607486,POACEAE,"Altoparadisium chapadense Filg. et al.",-14.158756,-47.752997,,ok,,,,,"Altoparadisium chapadense Filg. et al.",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Ann. Missouri Bot. Gard. 88: 351-372. 2001"
1608329,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Capim ereto, cespitoso, inflorescência delgada. Crescendo dentro d`água, sobre pedras, em pequeno riacho temporário"
1610608,ORCHIDACEAE,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",-13.783675,-47.528884,,ok,,,,,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",false,unknown,unknown,yes,unknown,unknown,"Marcio Verdi ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Erva terrestre. Pseudobulbos completamente enterrados, ou somente com o ápice exposto. Sépalas com base verde ou amarelo-claro e com pintas castanho-escuro que se tornam confluentes no ápice. Pétalas na face interna com fundo verde ou amarelo"
1647685,LAURACEAE,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",0,0,,nok,,,,,"Cinnamomum taubertianum (Mez & Schwacke) Kosterm.",false,valid,no,yes,unknown,invalid,"João Batista Baitello ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","COLETA: XLS: SPSFAntigo;"
1712882,POACEAE,"Axonopus hydrolithicus",-14.4739,-48.4597,,ok,,,,,"Axonopus hydrolithicus",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1722714,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.774968,-47.796956,,ok,,,,,"Lavoisiera quinquenervis Wurdack",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1750702,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.774968,-47.796956,,ok,,,,,"Lavoisiera quinquenervis Wurdack",false,unknown,unknown,yes,unknown,unknown,"Juliana Amaral de Oliveira ; ","Much branched. Corolla magenta; anthers yellow, the connectives scarlet. Shrub 1 m. Campo slope."
1771107,AMARYLLIDACEAE,"Griffinia nocturna Ravenna",-14.033837,-47.660013,,ok,,,,,"Griffinia nocturna Ravenna",,,,,,,"Juliana Amaral de Oliveira ; ",
1784348,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",false,valid,no,yes,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Petals dark pink. Erva perene. Flor rosa-escuro; Campo limpo e cerrado. Solo: Argila rochosa."
1788901,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Capim ereto, cespitoso, inflorescência delgada. Crescendo na água, em pequeno riacho temporário. Solo: Sobre pedras."
2937499,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.774968,-47.796956,,ok,,,,,"Lavoisiera quinquenervis Wurdack",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Subarbusto 40 cm de altura. Pétalas roxas com a base amarela, filetes amarelos, anteras roxas."
2938566,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",0.000000,0.000000,,nok,,,,,"Lavoisiera quinquenervis Wurdack",,,,,,,"Juliana Amaral de Oliveira ; ","Coleta com flor."
3060939,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.033837,-47.660013,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",true,,,no,,,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Erva heliófita ca 0,30 m de alt; botões verde arroxeados; folhas verdes; pétalas amarelas, capítulos lilases. Comum"
3124274,POACEAE,"Altoparadisium chapadense Filg. et al.",-11.6939,-47.7017,,ok,,,,,"Altoparadisium chapadense Filg. et al.",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Erva com folhas e raque verdes. Inflorescência estramínea."
3155475,POACEAE,"Axonopus hydrolithicus",-14.471572,-48.406595,,ok,,,,,"Axonopus hydrolithicus",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Capim ereto, cespitoso, inflorescência delgada. Crescendo dentro d´água, sobre pedras, em pequeno riacho temporário. Única população vista."
3159289,ORCHIDACEAE,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",-13.783675,-47.528884,,ok,,,,,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",false,unknown,unknown,yes,unknown,unknown,"Marcio Verdi ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Erva terrestre, em campo limpo seco de encosta mas próximo a local mais úmido (talvez estacionalmente úmido durante as chuvas). Solo escuro. Área anteriormente queimada. Comum no local; observado vários exemplares em floração, mas somente neste ponto esp"
3326294,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.774968,-47.796956,,ok,,,,,"Lavoisiera quinquenervis Wurdack",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Subarbusto até 40cm de altura; pétalas roxas com a base amarela, filetes amarelas, anteras roxas. Campo campestre. (INPA-Herbario)"
3326830,POACEAE,"Altoparadisium chapadense Filg. et al.",-14.652222,-48.439722,,ok,,,,,"Altoparadisium chapadense Filg. et al.",,,,,,,"Fernanda Wimmer ; ","MEXU, VEM"
3331630,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.050833,-47.513333,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",true,valid,no,no,native,valid,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; ",Hábito:Herbáceo
3331631,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.130278,-47.695833,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",false,unknown,no,no,native,valid,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; ","Erva com 15 cm de altura. Frequente"
3331632,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.015278,-47.526389,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",false,valid,no,yes,native,valid,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; ","campo limpo recentemente queimado, adjacente a morro com cerrado rupestre"
3331633,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.0725,-47.509167,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",true,valid,no,no,native,valid,"Marcio Verdi ; João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; ",
3331634,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.033443,-47.659577,sig,ok,,,,"centroide de uc","Calea abbreviata Pruski & Urbatsch",true,valid,no,no,native,valid,"Marcio Verdi ; João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; ","Cerrado queimado, sobre morro pedregoso. Relevo: Planalto. Subarbusto heliófito, botões florais verdes; flores de cor amarela."
3335924,AMARYLLIDACEAE,"Griffinia nocturna Ravenna",-12.989571,-46.483533,sig,ok,,,,"centroide de municipio","Griffinia nocturna Ravenna",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Mata secundária e Cerradão"
3336908,ORCHIDACEAE,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",-13.783675,-47.528884,,ok,,,,,"Cyrtopodium linearifolium J.A.N.Batista & Bianchetti",,,,,,,"Marcio Verdi ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
3339966,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-18.257333,-43.669556,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",true,valid,no,no,native,valid,"Marcio Verdi ; João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Erva terrestre, em campo limpo seco. Solo areno-argiloso marrom-claro. Área anteriormente queimada."
451033,LAMIACEAE,"Hypenia aristulata (Epling) Harley",-14.336667,-48.398333,,ok,,,,,"Hypenia aristulata (Epling) Harley",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Morro com solo serpentino."
472622,LAMIACEAE,"Hypenia aristulata (Epling) Harley",-14.156111,-48.316667,,ok,,,,,"Hypenia aristulata (Epling) Harley",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Cerrado sentido restrito."
473107,LAMIACEAE,"Hypenia aristulata (Epling) Harley",-14.016667,-48.283333,,ok,,,,,"Hypenia aristulata (Epling) Harley",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Cerrado denso com árvores e arbusto. Latossolo."
614450,MELASTOMATACEAE,"Lavoisiera quinquenervis Wurdack",-15.774968,-47.796956,,ok,,,,,"Lavoisiera quinquenervis Wurdack",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Subarbusto até 40 cm de altura; pétalas roxas com a base amarela, filetes amarelas, anteras roxas. Campo campestre."
912539,ASTERACEAE,"Calea abbreviata Pruski & Urbatsch",-14.203681,-47.523045,,ok,,,,,"Calea abbreviata Pruski & Urbatsch",false,,,no,,unknown,"João Bernardo de Azevedo Bringel Junior ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Campo rupestre da Chapada dos Veadeiros. Solo turfoso, úmido. Capítulos amarelos"
927633,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
982892,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",true,valid,no,no,native,valid,"Taciana Barbosa Cavalcanti ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
982893,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
984623,LYTHRACEAE,"Diplusodon ericoides Lourteig",-14.574815,-47.423995,,ok,,,,,"Diplusodon ericoides Lourteig",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
54c7ca257a43b,ANNONACEAE,"Annona burchellii R.E.Fr.",-3.408468,-60.897174,,ok,,,,,"Annona burchellii R.E.Fr.",false,,,,,,"Juliana Amaral de Oliveira ; Diogo Silva ; ",
54c7ca257a4b7,ANNONACEAE,"Annona burchellii R.E.Fr.",-0.300000,-56.166667,,ok,,,,,"Annona burchellii R.E.Fr.",false,,,,,,"Juliana Amaral de Oliveira ; ",
54c7ca63e0e26,ERIOCAULACEAE,"Paepalanthus extremensis Silveira",-14.072500,-47.509167,,ok,,,,,"Paepalanthus extremensis Silveira",false,,,,,,"Juliana Amaral de Oliveira ; ","Campo limpo."
54c7ca63e0eb1,ERIOCAULACEAE,"Paepalanthus extremensis Silveira",-16.547778,-42.891111,,ok,,,,,"Paepalanthus extremensis Silveira",false,,,,,,"Juliana Amaral de Oliveira ; ",
