family,scientificNameWithoutAuthorship,scientificNameAuthorship
Fabaceae,"Eriosema platycarpon",Micheli
MELASTOMATACEAE,"Lavoisiera quinquenervis",Wurdack
PODOCARPACEAE,"Podocarpus barretoi","Laubenf. & Silba"
ASTERACEAE,"Calea abbreviata","Pruski & Urbatsch"
AMARYLLIDACEAE,"Griffinia nocturna",Ravenna
Annonaceae,"Annona burchellii",R.E.Fr.
Annonaceae,"Annona malmeana",R.E.Fr.
Eriocaulaceae,"Paepalanthus macer",Trovó
Rubiaceae,"Borreria pulchristipula","(Bremek.) Bacigalupo & E.L.Cabral"
Xyridaceae,"Xyris metallica","Klotzsch ex Seub."
Eriocaulaceae,"Paepalanthus cordatus",Ruhland
Eriocaulaceae,"Paepalanthus extremensis",Silveira
Asteraceae,"Eremanthus praetermissus",Loeuille
Asteraceae,"Eremanthus ovatifolius",Loeuille
ERIOCAULACEAE,"Paepalanthus capixabensis",Trovó
LAMIACEAE,"Hypenia aristulata","(Epling) Harley"
LAURACEAE,"Cinnamomum taubertianum","(Mez & Schwacke) Kosterm."
Lentibulariaceae,"Utricularia biovularioides","(Kuhlm.) P.Taylor"
LYTHRACEAE,"Diplusodon ericoides",Lourteig
Lythraceae,"Lafoensia vandelliana subsp. replicata","(Pohl) Lourteig"
Melastomataceae,"Cambessedesia glaziovii","Cogn. ex A.B.Martins"
ORCHIDACEAE,"Cyrtopodium linearifolium","J.A.N.Batista & Bianchetti"
Piperaceae,"Peperomia regelii",C.DC.
POACEAE,"Altoparadisium chapadense","Filg. et al."
Moraceae,"Ficus aripuanensis","C.C.Berg & Kooy"
POACEAE,"Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) A. López & Morrone"
BROMELIACEAE,"Encholirium fragae",Forzza
BROMELIACEAE,"Encholirium kranzianum","Leme & Forzza"
BROMELIACEAE,"Encholirium splendidum",Forzza
ERIOCAULACEAE,"Paepalanthus echinoides",Trovó.
