family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Fabaceae,"Eriosema platycarpon",Micheli,"Eriosema platycarpon Micheli"
MELASTOMATACEAE,"Lavoisiera quinquenervis",Wurdack,"Lavoisiera quinquenervis"
PODOCARPACEAE,"Podocarpus barretoi","Laubenf. & Silba","Podocarpus barretoi"
ASTERACEAE,"Calea abbreviata","Pruski & Urbatsch","Calea abbreviata"
AMARYLLIDACEAE,"Griffinia nocturna",Ravenna,"Griffinia nocturna"
Annonaceae,"Annona burchellii",R.E.Fr.,"Annona burchellii R.E.Fr."
Annonaceae,"Annona malmeana",R.E.Fr.,"Annona malmeana R.E.Fr."
Rubiaceae,"Borreria pulchristipula","(Bremek.) Bacigalupo & E.L.Cabral","Borreria pulchristipula (Bremek.) Bacigalupo & E.L.Cabral"
Xyridaceae,"Xyris metallica","Klotzsch ex Seub.","Xyris metallica Klotzsch ex Seub."
Eriocaulaceae,"Paepalanthus extremensis",Silveira,"Paepalanthus extremensis Silveira"
LAMIACEAE,"Hypenia aristulata","(Epling) Harley","Hypenia aristulata"
LAURACEAE,"Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","Cinnamomum taubertianum"
Lentibulariaceae,"Utricularia biovularioides","(Kuhlm.) P.Taylor","Utricularia biovularioides (Kuhlm.) P.Taylor"
LYTHRACEAE,"Diplusodon ericoides",Lourteig,"Diplusodon ericoides"
Lythraceae,"Lafoensia vandelliana subsp. replicata","(Pohl) Lourteig","Lafoensia vandelliana subsp. replicata (Pohl) Lourteig"
Melastomataceae,"Cambessedesia glaziovii","Cogn. ex A.B.Martins","Cambessedesia glaziovii Cogn. ex A.B.Martins"
ORCHIDACEAE,"Cyrtopodium linearifolium","J.A.N.Batista & Bianchetti","Cyrtopodium linearifolium"
Piperaceae,"Peperomia regelii",C.DC.,"Peperomia regelii C.DC."
POACEAE,"Altoparadisium chapadense","Filg. et al.","Altoparadisium chapadense"
Moraceae,"Ficus aripuanensis","C.C.Berg & Kooy","Ficus aripuanensis C.C.Berg & Kooy"
POACEAE,"Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) A. López & Morrone","Axonopus hydrolithicus (Filg., Davidse & Zuloaga) A. López & Morrone"
