family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
Melastomataceae,"Microlicia juniperina",A.St.-Hil.,,,,,
MALPIGHIACEAE,"Peixotoa andersonii",C.E.Anderson,,,,,
OROBANCHACEAE,"Agalinis schwackeana","(Diels) V.C.Souza & Giul.",,,,,
APOCYNACEAE,"Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini",,,,,
APOCYNACEAE,"Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini",,,,,
APOCYNACEAE,"Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",,,,,
Asteraceae,"Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.",,,,,
ASTERACEAE,"Eupatorium lineatum","Sch.Bip. ex Baker",,,,,
Orchidaceae,"Octomeria geraensis",Barb.Rodr.,,,,,
Lycopodiaceae,"Phlegmariurus itambensis","(B.Øllg. & P.G.Windisch) B.Øllg.",,,,,
Asteraceae,"Lychnophora markgravii",G.M.Barroso,,,,,
Asteraceae,"Lychnophoriopsis candelabrum","(Sch.Bip.) H.Rob.",,,,,
ASTERACEAE,"Richterago caulescens",Roque,,,,,
Euphorbiaceae,"Euphorbia attastoma",Rizzini,,,,,
Alstroemeriaceae,"Alstroemeria brasiliensis",Spreng.,,,,,
Alstroemeriaceae,"Alstroemeria penduliflora",M.C.Assis,,,,,
AQUIFOLIACEAE,"Ilex prostrata",Groppo,,,,,
Apocynaceae,"Ditassa itambensis",Rapini,,,,,
APOCYNACEAE,"Hemipogon abietoides",E.Fourn.,,,,,
APOCYNACEAE,"Hemipogon hatschbachii","(Fontella & Marquete) Rapini",,,,,
APOCYNACEAE,"Hemipogon piranii","(Fontella) Rapini",,,,,
Asteraceae,"Aspilia cylindrocephala",H.Rob.,,,,,
ASTERACEAE,"Aspilia eglerii",J.U.Santos,,,,,
ASTERACEAE,"Aspilia jugata",H.Rob.,,,,,
ASTERACEAE,"Lychnophora humillima",Sch.Bip.,,,,,
ASTERACEAE,"Lychnophora souzae",H.Rob.,,,,,
BROMELIACEAE,"Dyckia ursina",L.B.Sm.,,,,,
BROMELIACEAE,"Encholirium biflorum","(Mez) Forzza",,,,,
BROMELIACEAE,"Encholirium pedicellatum","(Mez) Rauh",,,,,
Bromeliaceae,"Encholirium scrutor","(L.B.Sm.) Rauh",,,,,
BROMELIACEAE,"Encholirium vogelii",Rauh,,,,,
FABACEAE,"Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",,,,,
FABACEAE,"Chamaecrista lagotois","H.S.Irwin & Barneby",,,,,
ERIOCAULACEAE,"Actinocephalus cipoensis","(Silveira) Sano",,,,,
ERIOCAULACEAE,"Leiothrix linearis",Silveira,,,,,
ERIOCAULACEAE,"Paepalanthus ater",Silveira,,,,,
Asteraceae,"Lessingianthus rosmarinifolius","(Less.) H.Rob.",,,,,
FABACEAE,"Lupinus parvifolius",Gardner,,,,,
Eriocaulaceae,"Paepalanthus uncinatus",Gardner,,,,,
Connaraceae,"Rourea cnestidifolia",G.Schellenb.,,,,,
