"family","scientificName","analysis","assessment","category","criteria"
"Melastomataceae","Microlicia juniperina","","","",""
"MALPIGHIACEAE","Peixotoa andersonii","","","",""
"OROBANCHACEAE","Agalinis schwackeana","","","",""
"APOCYNACEAE","Minaria bifurcata","","","",""
"APOCYNACEAE","Minaria diamantinensis","","","",""
"APOCYNACEAE","Minaria hemipogonoides","","","",""
"Asteraceae","Piptolepis leptospermoides","","","",""
"ASTERACEAE","Eupatorium lineatum","","","",""
"Orchidaceae","Octomeria geraensis","","","",""
"Asteraceae","Lychnophora markgravii","","","",""
"Asteraceae","Lychnophoriopsis candelabrum","","","",""
"ASTERACEAE","Richterago caulescens","","","",""
"Euphorbiaceae","Euphorbia attastoma","","","",""
"Alstroemeriaceae","Alstroemeria brasiliensis","","","",""
"Alstroemeriaceae","Alstroemeria penduliflora","","","",""
"AQUIFOLIACEAE","Ilex prostrata","","","",""
"Apocynaceae","Ditassa itambensis","","","",""
"APOCYNACEAE","Hemipogon abietoides","","","",""
"APOCYNACEAE","Hemipogon hatschbachii","","","",""
"APOCYNACEAE","Hemipogon piranii","","","",""
"Asteraceae","Aspilia cylindrocephala","","","",""
"ASTERACEAE","Aspilia eglerii","","","",""
"ASTERACEAE","Aspilia jugata","","","",""
"ASTERACEAE","Lychnophora humillima","","","",""
"ASTERACEAE","Lychnophora souzae","","","",""
"BROMELIACEAE","Dyckia ursina","","","",""
"BROMELIACEAE","Encholirium biflorum","","","",""
"BROMELIACEAE","Encholirium pedicellatum","","","",""
"Bromeliaceae","Encholirium scrutor","","","",""
"BROMELIACEAE","Encholirium vogelii","","","",""
"FABACEAE","Chamaecrista aristata","","","",""
"FABACEAE","Chamaecrista lagotois","","","",""
"ERIOCAULACEAE","Actinocephalus cipoensis","","","",""
"ERIOCAULACEAE","Leiothrix linearis","","","",""
"ERIOCAULACEAE","Paepalanthus ater","","","",""
"FABACEAE","Lupinus parvifolius","","","",""
"Eriocaulaceae","Paepalanthus uncinatus","","","",""
"IRIDACEAE","Pseudotrimezia aminae","","","",""
"IRIDACEAE","Pseudotrimezia brevistamina","","","",""
"IRIDACEAE","Pseudotrimezia gracilis","","","",""
"Iridaceae","Trimezia fistulosa var. longifolia","","","",""
"Lauraceae","Persea pedunculosa","","","",""
"LOGANIACEAE","Spigelia cipoensis","","","",""
"MALPIGHIACEAE","Byrsonima fonsecae","","","",""
"MELASTOMATACEAE","Lavoisiera sampaioana","","","",""
"ORCHIDACEAE","Constantia cipoensis","","","",""
"ORCHIDACEAE","Pseudolaelia cipoensis","","","",""
"OXALIDACEAE","Oxalis diamantinae","","","",""
"VELLOZIACEAE","Barbacenia glutinosa","","","",""
"XYRIDACEAE","Xyris dardanoi","","","",""
"XYRIDACEAE","Xyris hystrix","","","",""
"XYRIDACEAE","Xyris nigricans","","","",""
"XYRIDACEAE","Xyris platystachya","","","",""
"XYRIDACEAE","Xyris tortilis","","","",""
"ERIOCAULACEAE","Actinocephalus ciliatus","","","",""
"Iridaceae","Trimezia plicatifolia","","","",""
"Eriocaulaceae","Eriocaulon cipoense","","","",""
"Lamiaceae","Eriope angustifolia","","","",""
"Melastomataceae","Lavoisiera angustifolia","","","",""
"Melastomataceae","Lavoisiera tetragona","","","",""
"Eriocaulaceae","Leiothrix rupestris","","","",""
"ORCHIDACEAE","Grobya cipoensis","","","",""
"VELLOZIACEAE","Barbacenia longiscapa","","","",""
"VELLOZIACEAE","Barbacenia pungens","","","",""
"Velloziaceae","Barbacenia rodriguesii","","","",""
"ARECACEAE","Syagrus mendanhensis","","","",""
"Eriocaulaceae","Paepalanthus hydra","","","",""
"LYTHRACEAE","Diplusodon glaziovii","","","",""
"Asteraceae","Aspilia ovalifolia","","","",""
"Pteridaceae","Pellaea cymbiformis","","","",""
"MELASTOMATACEAE","Microlicia elegans","","","",""
"MELASTOMATACEAE","Microlicia microphylla","","","",""
"MALVACEAE","Callianthe monteiroi","","","",""
