occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1006153,AQUIFOLIACEAE,"Ilex prostrata Groppo",-19.166872,-43.626694,,ok,,,,,"Ilex prostrata Groppo",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ","Subarbusto prostrado, em terreno arenoso, junto Ã  veloziÃ¡ceas baixas. Folhas coriÃ¡ceas, as novas com borda pÃºrpura. Frutos alaranjados, imarturos. Solo arenoso-pedregoso, com manchas arenosas."
1006278,FABACEAE,"Chamaecrista lagotois H.S.Irwin & Barneby",-19.166872,-43.626694,coletor,ok,,,,,"Chamaecrista lagotois H.S.Irwin & Barneby",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ",
1010077,AQUIFOLIACEAE,"Ilex prostrata Groppo",-19.202708,-43.643587,,ok,,,,,"Ilex prostrata Groppo",,,,,,,"Thiago Serrano ; ",
1010839,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-17.724145,-44.129134,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ",
1019996,BROMELIACEAE,"Encholirium pedicellatum (Mez) Rauh",-18.055177,-43.65238,,ok,,,,,"Encholirium pedicellatum (Mez) Rauh",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ",
1022237,BROMELIACEAE,"Encholirium biflorum (Mez) Forzza",-18.055177,-43.65238,,ok,,,,,"Encholirium biflorum (Mez) Forzza",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ","No campo arenoso. Folhas grossas e duras em formaÃ§Ãµes densas, formando tapetes. escapos florais passados."
1025945,OXALIDACEAE,"Oxalis diamantinae Knuth",-18.055177,-43.65238,,ok,,,,,"Oxalis diamantinae Knuth",,,,,,,"Thiago Serrano ; ","Flor amarela, campo pedregoso (rupestre)."
1039815,APOCYNACEAE,"Minaria bifurcata",-18.284433,-43.801439,,ok,,,,,"Minaria bifurcata",,,,,,,"Ricardo Avancini ; ","Rocky summits with soil-filled crevices and small areas of white sand."
1043680,MELASTOMATACEAE,"Microlicia microphylla (Naudin) Cogn.",-18.055177,-43.65238,,ok,,,,,"Microlicia microphylla (Naudin) Cogn.",false,unknown,no,no,unknown,valid,"Rosana Romero ; ",
1045813,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.674829,-42.9711,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Ricardo Avancini ; Thiago Serrano ; ",
1052050,ASTERACEAE,"Lychnophora souzae H.Rob.",-18.055177,-43.65238,,ok,,,,,"Lychnophora souzae H.Rob.",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Thiago Serrano ; Ricardo Avancini ; ","Shrub ca. 1m tall. Heads magenta. Rocky creek margin. Sandy cerrado and thickets in sandy pockets in outcrops"
105888,BIGNONIACEAE,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",-22.742508,-47.793282,,ok,,,,,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",,,,,,,,
1080180,BIGNONIACEAE,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",-3.535944,-41.123002,,ok,,,,,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",,,,,,,"Fernanda Wimmer ; ",
