family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Melastomataceae,"Microlicia juniperina",A.St.-Hil.,"Microlicia juniperina A.St.-Hil."
MALPIGHIACEAE,"Peixotoa andersonii",C.E.Anderson,"Peixotoa andersonii"
OROBANCHACEAE,"Agalinis schwackeana","(Diels) V.C.Souza & Giul.","Agalinis schwackeana"
APOCYNACEAE,"Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini","Minaria bifurcata"
APOCYNACEAE,"Minaria diamantinensis","(Fontella) T.U.P.Konno & Rapini","Minaria diamantinensis"
APOCYNACEAE,"Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini","Minaria hemipogonoides"
Asteraceae,"Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Piptolepis leptospermoides (Mart. ex DC.) Sch.Bip."
ASTERACEAE,"Eupatorium lineatum","Sch.Bip. ex Baker","Eupatorium lineatum"
Orchidaceae,"Octomeria geraensis",Barb.Rodr.,"Octomeria geraensis Barb.Rodr."
Lycopodiaceae,"Phlegmariurus itambensis","(B.Øllg. & P.G.Windisch) B.Øllg.","Phlegmariurus itambensis (B.Øllg. & P.G.Windisch) B.Øllg."
Asteraceae,"Lychnophora markgravii",G.M.Barroso,"Lychnophora markgravii G.M.Barroso"
Asteraceae,"Lychnophoriopsis candelabrum","(Sch.Bip.) H.Rob.","Lychnophoriopsis candelabrum (Sch.Bip.) H.Rob."
ASTERACEAE,"Richterago caulescens",Roque,"Richterago caulescens"
Euphorbiaceae,"Euphorbia attastoma",Rizzini,"Euphorbia attastoma Rizzini"
Alstroemeriaceae,"Alstroemeria brasiliensis",Spreng.,"Alstroemeria brasiliensis Spreng."
Alstroemeriaceae,"Alstroemeria penduliflora",M.C.Assis,"Alstroemeria penduliflora M.C.Assis"
AQUIFOLIACEAE,"Ilex prostrata",Groppo,"Ilex prostrata"
Apocynaceae,"Ditassa itambensis",Rapini,"Ditassa itambensis Rapini"
APOCYNACEAE,"Hemipogon abietoides",E.Fourn.,"Hemipogon abietoides"
APOCYNACEAE,"Hemipogon hatschbachii","(Fontella & Marquete) Rapini","Hemipogon hatschbachii"
APOCYNACEAE,"Hemipogon piranii","(Fontella) Rapini","Hemipogon piranii"
Asteraceae,"Aspilia cylindrocephala",H.Rob.,"Aspilia cylindrocephala H.Rob."
ASTERACEAE,"Aspilia eglerii",J.U.Santos,"Aspilia eglerii"
ASTERACEAE,"Aspilia jugata",H.Rob.,"Aspilia jugata"
ASTERACEAE,"Lychnophora humillima",Sch.Bip.,"Lychnophora humillima"
ASTERACEAE,"Lychnophora souzae",H.Rob.,"Lychnophora souzae"
