family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
Cactaceae,"Discocactus horstii","Buining & Brederoo",,,,,
CACTACEAE,"Discocactus pseudoinsignis","N.P.Taylor & Zappi",,,,,
BROMELIACEAE,"Encholirium irwinii",L.B.Sm.,,,,,
BROMELIACEAE,"Orthophytum humile",L.B.Sm.,,,,,
BROMELIACEAE,"Pitcairnia bradei",Markgr.,,,,,
IRIDACEAE,"Pseudotrimezia concava",Ravenna,,,,,
LYTHRACEAE,"Cuphea rubro-virens",T.B.Cavalc.,,,,,
LYTHRACEAE,"Cuphea teleandra",Lourteig,,,,,
Melastomataceae,"Lavoisiera mello-barretoi",Markgr.,,,,,
VELLOZIACEAE,"Barbacenia riparia","(N.L.Menezes & Mello-Silva) Mello-Silva",,,,,
FABACEAE,"Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby",,,,,
Fabaceae,"Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby",,,,,
FABACEAE,"Chamaecrista ulmea","H.S.Irwin & Barneby",,,,,
Eriocaulaceae,"Paepalanthus grao-mogolensis",Silveira,,,,,
APOCYNACEAE,"Ditassa auriflora",Rapini,,,,,
Lamiaceae,"Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",,,,,
MALVACEAE,"Callianthe monteiroi","(Krapov.) Donnell",,,,,
