"Familia";"Nome";"Analise";"Avaliação";"Categoria";"Criterio"
"Cactaceae";"Discocactus horstii";"";"";"";""
"CACTACEAE";"Discocactus pseudoinsignis";"";"";"";""
"BROMELIACEAE";"Encholirium irwinii";"";"";"";""
"BROMELIACEAE";"Orthophytum humile";"";"";"";""
"BROMELIACEAE";"Pitcairnia bradei";"";"";"";""
"IRIDACEAE";"Pseudotrimezia concava";"";"";"";""
"LYTHRACEAE";"Cuphea rubro-virens";"";"";"";""
"LYTHRACEAE";"Cuphea teleandra";"";"";"";""
"Melastomataceae";"Lavoisiera mello-barretoi";"";"";"";""
"VELLOZIACEAE";"Barbacenia riparia";"";"";"";""
"FABACEAE";"Chamaecrista aristata";"";"";"";""
"Fabaceae";"Chamaecrista strictifolia";"";"";"";""
"FABACEAE";"Chamaecrista ulmea";"";"";"";""
"Eriocaulaceae";"Paepalanthus grao-mogolensis";"";"";"";""
"APOCYNACEAE";"Ditassa auriflora";"";"";"";""
"Lamiaceae";"Oocephalus piranii";"";"";"";""
"MALVACEAE";"Callianthe monteiroi";"";"";"";""
