family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
FABACEAE,"Chamaecrista aristata",6,20,20,43,3,0,6,40,46,,
BROMELIACEAE,"Pitcairnia bradei",5,7,9,20,1,0,5,16,21,,
BROMELIACEAE,"Orthophytum humile",4,5,0,8,1,0,4,5,9,,
FABACEAE,"Chamaecrista ulmea",6,11,0,17,0,0,6,11,17,,
CACTACEAE,"Discocactus pseudoinsignis",4,4,7,15,0,0,4,11,15,,
LYTHRACEAE,"Cuphea teleandra",2,8,4,14,0,0,2,12,14,,
APOCYNACEAE,"Ditassa auriflora",0,15,6,21,0,0,0,21,21,,
MALVACEAE,"Abutilon monteiroi",3,3,1,7,0,0,3,4,7,,
BROMELIACEAE,"Encholirium irwinii",2,4,3,9,0,0,2,7,9,,
VELLOZIACEAE,"Pleurostima riparia",0,5,2,7,0,0,0,7,7,,
LYTHRACEAE,"Cuphea rubro-virens",0,6,5,11,0,0,0,11,11,,
Lamiaceae,"Hyptis piranii",2,15,2,19,0,0,2,17,19,,
VELLOZIACEAE,"Barbacenia riparia",2,9,1,11,1,0,2,10,12,,
IRIDACEAE,"Pseudotrimezia concava",1,2,1,4,0,0,1,3,4,,
FABACEAE,"Cassia aristata",0,0,2,2,0,0,0,2,2,,
Cactaceae,"Discocactus horstii",4,0,0,4,0,0,4,0,4,,
Eriocaulaceae,"Paepalanthus grao-mogolensis",3,5,0,8,0,0,3,5,8,,
Fabaceae,"Chamaecrista strictifolia",3,9,0,8,4,0,2,10,12,,
Melastomataceae,"Lavoisiera mello-barretoi",6,7,0,13,0,0,6,7,13,,
Fabaceae,"Cassia strictifolia",0,5,0,0,5,0,0,5,5,,
MALVACEAE,"Callianthe monteiroi",0,1,0,1,0,0,0,1,1,,
BROMELIACEAE,"Pepinia bradei",0,1,0,0,1,0,0,1,1,,
