occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1010839,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-17.724145,-44.129134,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Fernanda Wimmer ; Diogo Silva ; Ricardo Avancini ; Thiago Serrano ; ",
1016198,BROMELIACEAE,"Pitcairnia bradei Markgr.",-16.674829,-42.9711,,ok,,,,,"Pitcairnia bradei Markgr.",,,,,,,"Juliana Amaral de Oliveira ; Fernanda ; ","Erva na margem do curso d'água. Folhas discolores, glaucas na face abaxial. Frutos castanhos"
1045813,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.674829,-42.9711,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Fernanda Wimmer ; Ricardo Avancini ; Thiago Serrano ; ",
1046667,BROMELIACEAE,"Pitcairnia bradei Markgr.",-16.672491,-42.974225,,ok,"Fernanda Wimmer",,,,"Pitcairnia bradei Markgr.",true,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; Fernanda ; ",
1046673,BROMELIACEAE,"Orthophytum humile L.B.Sm.",-16.674829,-42.9711,,ok,,,,,"Orthophytum humile L.B.Sm.",false,valid,yes,no,native,valid,"Rafael Batista Louzada ; Juliana Amaral de Oliveira ; ",
1047179,FABACEAE,"Chamaecrista ulmea H.S.Irwin & Barneby",-16.674829,-42.9711,,ok,,,,,"Chamaecrista ulmea H.S.Irwin & Barneby",true,valid,no,no,native,valid,"Juliana Rando ; Juliana Amaral de Oliveira ; ",
1047275,CACTACEAE,"Discocactus pseudoinsignis N.P.Taylor & Zappi",-16.674829,-42.9711,,ok,,,,,"Discocactus pseudoinsignis N.P.Taylor & Zappi",,,,,,,"Marcio Verdi ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1051470,LYTHRACEAE,"Cuphea teleandra Lourteig",-16.674829,-42.9711,,ok,,,,,"Cuphea teleandra Lourteig",,,,,,,"Juliana Amaral de Oliveira ; ",
1114397,APOCYNACEAE,"Ditassa auriflora Rapini",-16.924396,-43.343051,,ok,,,,,"Ditassa auriflora Rapini",,,,,,,"Daniel Maurenza ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ",
1114398,APOCYNACEAE,"Ditassa auriflora Rapini",-17.025964,-43.356607,,ok,,,,,"Ditassa auriflora Rapini",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1629687"
1114399,APOCYNACEAE,"Ditassa auriflora Rapini",-16.924396,-43.343051,,ok,,,,,"Ditassa auriflora Rapini",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1630000"
1114400,APOCYNACEAE,"Ditassa auriflora Rapini",-17.066667,-43.333333,,ok,,,,,"Ditassa auriflora Rapini",,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1624504"
1156011,BROMELIACEAE,"Pitcairnia bradei Markgr.",-15.925094,-47.990077,,ok,,,,,"Pitcairnia bradei Markgr.",,,,,,,"Juliana Amaral de Oliveira ; Fernanda ; ","Duplicata de ID 1774736"
1156027,BROMELIACEAE,"Pitcairnia bradei Markgr.",-16.672491,-42.974225,,ok,,,,,"Pitcairnia bradei Markgr.",false,unknown,unknown,yes,unknown,unknown,"Daniel Maurenza ; Juliana Amaral de Oliveira ; Fernanda ; ","Duplicata de ID 1046667"
1159765,MALVACEAE,"Callianthe monteiroi",-16.672491,-42.974226,,ok,,,,,"Callianthe monteiroi",,,,,,,"Daniel Maurenza ; Ricardo Avancini ; Thiago Serrano ; ","Arbusto 2 m, flor creme. Campo rupestre, afloramentos rochosos. Duplicata de ID urn:occurrence:MBM:MBM:137990"
1181739,LYTHRACEAE,"Cuphea teleandra Lourteig",-16.56,-42.89,,ok,,,,,"Cuphea teleandra Lourteig",,,,,,,"Juliana Amaral de Oliveira ; ",
1199594,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",0,0,,nok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Fernanda Wimmer ; Ricardo Avancini ; Thiago Serrano ; ",
1199667,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.674829,-42.9711,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",true,valid,no,unknown,native,valid,"Fernanda Wimmer ; Juliana Rando ; Ricardo Avancini ; Thiago Serrano ; ",
1202534,FABACEAE,"Chamaecrista ulmea H.S.Irwin & Barneby",-16.674829,-42.9711,,ok,"Fernanda Wimmer",,,,"Chamaecrista ulmea H.S.Irwin & Barneby",false,valid,no,yes,native,valid,"Juliana Rando ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1047179 "
1264578,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.672491,-42.974225,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",false,unknown,no,unknown,native,valid,"Fernanda Wimmer ; Juliana Rando ; Ricardo Avancini ; Thiago Serrano ; ",
