family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Cactaceae,"Discocactus horstii","Buining & Brederoo","Discocactus horstii Buining & Brederoo"
CACTACEAE,"Discocactus pseudoinsignis","N.P.Taylor & Zappi","Discocactus pseudoinsignis"
BROMELIACEAE,"Encholirium irwinii",L.B.Sm.,"Encholirium irwinii"
BROMELIACEAE,"Orthophytum humile",L.B.Sm.,"Orthophytum humile"
BROMELIACEAE,"Pitcairnia bradei",Markgr.,"Pitcairnia bradei"
IRIDACEAE,"Pseudotrimezia concava",Ravenna,"Pseudotrimezia concava"
LYTHRACEAE,"Cuphea rubro-virens",T.B.Cavalc.,"Cuphea rubro-virens"
LYTHRACEAE,"Cuphea teleandra",Lourteig,"Cuphea teleandra"
Melastomataceae,"Lavoisiera mello-barretoi",Markgr.,"Lavoisiera mello-barretoi Markgr."
VELLOZIACEAE,"Barbacenia riparia","(N.L.Menezes & Mello-Silva) Mello-Silva","Barbacenia riparia"
FABACEAE,"Chamaecrista aristata","(Benth.) H.S.Irwin & Barneby","Chamaecrista aristata"
Fabaceae,"Chamaecrista strictifolia","(Benth.) H.S.Irwin & Barneby","Chamaecrista strictifolia (Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista ulmea","H.S.Irwin & Barneby","Chamaecrista ulmea"
Eriocaulaceae,"Paepalanthus grao-mogolensis",Silveira,"Paepalanthus grao-mogolensis Silveira"
APOCYNACEAE,"Ditassa auriflora",Rapini,"Ditassa auriflora"
Lamiaceae,"Oocephalus piranii","(Harley) Harley & J.F.B.Pastore","Oocephalus piranii (Harley) Harley & J.F.B.Pastore"
MALVACEAE,"Callianthe monteiroi","(Krapov.) Donnell","Callianthe monteiroi (Krapov.) Donnell"
