family,scientificName,action,situation,details,references
Fabaceae,"Albizia robsonii","1.1 Site/area protection","on going","Uma das coletas depositadas no RB é proveniente do município de Carapebus, que é em parte protegido pelo PARNA Jurubatiba (RB421163- M.G.Santos 353- RJ: Carapebus- 21/6/1995). No entanto apenas um indivíduo da espécie foi registrado não havendo maiores informações sobre o tamanho da su-população no local.",
Fabaceae,"Albizia robsonii","3.4 Ex-situ conservation",needed,"Por conta da ameaça ao habitat natural de Albizia robsonii a conservação ex-situ da espécie se torna necessária, seja pela produção de material para pesquisas, armazenamento de germoplasma, ou produção de material pra re-introdução, restauração e manejo de habitat.
",
ERIOCAULACEAE,"Syngonanthus incurvifolius","1.1 Site/area protection",needed,"A espécie ocorre fora de unidade de conservação, mas próximo dos limites do Parque Nacional da Chapara dos Veadeiros (PNCV) (Watanabe et al. submetido). Seria importante intensificar as buscas na região para tentar encontrar sub-populações dentro do Parque (L. Echternacht com. pess.).","Watanabe, MTC, Echternacht, L, Hensold, N, Sano, PT, in prep. Two new and endangered species of Syngonanthus (Eriocaulaceae) from Chapada dos Veadeiros, Goiás, Brazil. Phytotaxa."
ERIOCAULACEAE,"Syngonanthus incurvifolius","3.4 Ex-situ conservation",needed,"Visto que a espécie ocorre em uma área muito pequena, sob fortes pressões de degradação (Watanabe et al. submetido), seria importante desenvolver estratégias de cultivo ex sito, em jardin botânico ou instituições afins ou mesmo dentro do PNCV (L. Echternacht com. pess.). ","Watanabe, MTC, Echternacht, L, Hensold, N, Sano, PT, in prep. Two new and endangered species of Syngonanthus (Eriocaulaceae) from Chapada dos Veadeiros, Goiás, Brazil. Phytotaxa."
ERIOCAULACEAE,"Syngonanthus incurvifolius","4.3 Awareness & communications",needed,"São desejadas ações de conscientização ambiental na região, a fim de informar aos habitantes locais e gestores sobre esta e outras espécies ameaçadas que ocorrem na região (L. Echternacht com. pess.).",
ERIOCAULACEAE,"Syngonanthus vittatus","1.1 Site/area protection",needed,"A espécie ocorre fora de unidade de conservação, mas próximo dos limites do Parque Nacional da Chapara dos Veadeiros (PNCV) (Watanabe et al. submetido). Seria importante intensificar as buscas na região para tentar encontrar subpopulações dentro do Parque e/ou  aumentar os limites do Parque para incluir esta espécie em seu território (L. Echternacht com. pess.).
","Watanabe, MTC, Echternacht, L, Hensold, N, Sano, PT, in prep. Two new and endangered species of Syngonanthus (Eriocaulaceae) from Chapada dos Veadeiros, Goiás, Brazil. Phytotaxa."
ERIOCAULACEAE,"Syngonanthus vittatus","3.4 Ex-situ conservation",needed,"Visto que a espécie ocorre em uma área muito pequena, sob fortes pressões de degradação (Watanabe et al. submetido), seria importante desenvolver estratégias de cultivo ex situ, em Jardim Botânico, instituições afins ou mesmo dentro do PNCV (L. Echternacht com. pess.).","Watanabe, MTC, Echternacht, L, Hensold, N, Sano, PT, in prep. Two new and endangered species of Syngonanthus (Eriocaulaceae) from Chapada dos Veadeiros, Goiás, Brazil. Phytotaxa."
ERIOCAULACEAE,"Syngonanthus vittatus","4.3 Awareness & communications",needed,"São desejadas ações de conscientização ambiental na região, a fim de informar aos habitantes locais e gestores sobre esta e outras espécies ameaçadas que ocorrem na região (L. Echternacht com. pess.).",
CYPERACEAE,"Abildgaardia papillosa","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina. ",
CYPERACEAE,"Abildgaardia papillosa","4 Education & awareness","on going","O governo do estado da Bahia, através da Diretoria de Educação Ambiental, vem apoiando ações de prevenção, combate e fiscalização de incêndios florestais na região da Chapada Diamantina e Oeste da Bahia no sentido de oferecer instrumentos de apoio pedagógico em oficinas com professores, agentes comunitários de saúde, brigadistas, entre outros profissionais que têm contato direto com as comunidades visando diminuir a ocorrência dos incêndios (Secretaria do Meio Ambiente da Bahia). Além disso, o IBAMA criou um setor especializado na prevenção e no combate a incêndios florestais, o PREVFOGO, que assumiu todas as atribuições correlatas ao combate ao fogo em Unidades de Conservação (MMA/ICMBio, 2007).","MMA/ICMBio. Plano de Manejo para o Parque Nacional da Chapada Diamantina – Versão Preliminar. Presente em: <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/parna_chapada_diamantina.pdf>., 2007. Acessado em 03 set. 2013.;SECRETARIA DO MEIO AMBIENTE DA BAHIA. Educação ambiental no programa Bahia sem fogo. Disponível em: <http://www.meioambiente.ba.gov.br/conteudo.aspx?s=EAPBF&p=EDU_AMBI>. Acessado em 06 set. 2013."
MALPIGHIACEAE,"Acmanthera fernandesii","1.1 Site/area protection",needed,"O município de Santa Filomena não possui dentro de seus limites nenhuma Unidade de Conservação, fazendo-se necessário a criação de áreas protegidas para garantir a perpetuação da biodiversidade nessa região (MMA/ICMbio, 2011).","MMA/ICMBio 2011. Atlas do Corredor Ecológico da região do Jalapão. Disponível em: < http://www.icmbio.gov.br/portal/images/stories/comunicacao/downloads/atlasjalapao.pdf> Acesso em 20 d novembro 2013."
ERIOCAULACEAE,"Actinocephalus aggregatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Actinocephalus callophyllus","1.1 Site/area protection",,"A espécie ocorre no Parque Estadual do Pico do Itambé. ",
ERIOCAULACEAE,"Actinocephalus compactus","1.1 Site/area protection",needed,"A espécie não se encontra em área protegida, sendo uma necessidade, visto sua única ocorrência descrita na Cadeia do Espinhaço, no município de Diamantina (J.A. Silva et al., 2008).",
ERIOCAULACEAE,"Actinocephalus coutoensis","1.1 Site/area protection",needed,"A espécie não foi coletada no interior de Unidades de Conservação. Devido a ocorrência restrita e em locais atividades humanas intensas, o estabelecimento de uma Unidade de Conservação na região poderia ser uma importante ação para a conservação.",
ERIOCAULACEAE,"Actinocephalus deflexus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Actinocephalus diffusus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Actinocephalus falcifolius","1.1 Site/area protection",needed,"A espécie não se encontra em áreas Unidades de Conservação.",
ERIOCAULACEAE,"Actinocephalus fimbriatus","1.1 Site/area protection",needed,"A espécie é endêmica da região da Chapada do Couto, que não está contido em uma Unidades de Conservação (UC). A criação de uma UC é importante para a conservação desta espécie.
",
ERIOCAULACEAE,"Actinocephalus glabrescens","1.1 Site/area protection",,"A Cadeia do Espinhaço estende-se pelos estados de Minas Gerais e Bahia, havendo um mosaico de Unidades de Conservação espalhadas pela cadeia montanhosa. Porém, não é possível aferir sua ocorrência dentro de Unidade de Conservação pela falta de maiores dados.",
ERIOCAULACEAE,"Actinocephalus graminifolius","1.1 Site/area protection","on going","A espécie ocorre na Serra do Cipó, localizada dentro do Parque Nacional da Serra do Cipó, MG. ",
ERIOCAULACEAE,"Actinocephalus herzogii","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Actinocephalus nodifer","1.1 Site/area protection",needed,"A espécie é endêmica da região da Chapada do Couto, que não está contido em uma Unidades de Conservação.",
ERIOCAULACEAE,"Actinocephalus robustus","1.1 Site/area protection",,"A espécie ocorre na Serra do Cipó, localizada dentro do Parque Nacional da Serra do Cipó, MG.",
