family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
Verbenaceae,"Lippia diamantinensis",Glaziou,comments,LC,,"Lucas Moraes","Luiz Santos","Espécie de endemismo desconhecido, ocorre no estado de Minas Gerais (Salimena, 2013), encontrada nos municípios de Diamantina e Couto de Magalhães (Salimena et al., 2009). Ocorre em Cerrado. A espécie se desenvolve ocasionalmente em campos abertos de cascalho e sobre encostas de arenito, entre 900 m e 1.170 m de altitude (Moldenke, 1966; Salimena et al., 2009). Registros de coleta indicam a sua presença em beira de estrada (CNCFlora, 2013). Apesar de estar sujeita a uma série ameaças em potencial, a espécie apresenta um EOO de aproximadamente 120.000 km² e está sujeita a mais de 10 situações de ameaça."
Melastomataceae,"Cambessedesia cambessedesioides","(Wurdack) A.B.Martins",comments,VU,"B1ab(i,ii,iii,iv,v)","Luiz Santos","Luiz Santos"," Espécie endêmica do estado da Bahia (Martins & Rodrigues, 2014), é restrita aos Campos Rupestres da porção leste da Chapada Diamantina (EOO=13.297,03 km²), onde se desenvolve sobre afloramentos rochosos, entre 800 m e 1.400 m de altitude (Santos et al., 2009). Está sujeita a menos de dez situações de ameaça, considerando as localidades de ocorrência dentro da sua amplitude de distribuição geográfica. O aumento da incidência do fogo de origem antrópica para implementação de pastagens e para o manejo do solo em atividades agrícolas (Tanan & Chaves, 2012), além de causar o declínio contínuo da EOO, AOO, e da qualidade do hábitat, afeta diretamente a densidade de suas subpopulações. Encontra-se protegida apenas pelo Parque Municipal de Mucugê (CNCFlora, 2013), o que ressalta a necessidade de investimentos em pesquisas direcionadas à descoberta de novas subpopulações em Unidades de Conservação."
Verbenaceae,"Lantana gracilis",T.Silva,comments,LC,,"Lucas Moraes","Luiz Santos","Espécie endêmica do Brasil, encontrada nos estados da Bahia, onde ocorre na região da Chapada Diamantina (Salimenta et al., 2009), Piauí, Sergipe e no Rio Grande do Sul (Silva & Lima, 2012; CNCFlora, 2013). Seus registros de coleta indicam a sua presença em Campos Rupestres (CNCFlora, 2013). Possui distribuição ampla distribuição (EOO=1.446.984 km²) e está sujeita a mais de 10 situações de ameaça. Coletada em Unidade de Conservação (Parque Nacional da Serra de Itabaiana) (CNCFlora, 2013)."
Fabaceae,"Chamaecrista gymnothyrsa","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Laila Araujo","Luiz Santos","Espécie endêmica do estado de Goiás (Souza & Bortoluzzi, 2013), ocorre nos municípios de Alto Paraíso de Goiás e Cavalcante, na região da Chapada dos Veadeiros (Queiroz et al., 2009) (EOO=288 km²; AOO=12 km²). Está sujeita a duas situações de ameaça considerando sua ocorrência dentro e fora dos limites do Parque Nacional da Chapada dos Veadeiros. Desenvolve-se em Cerrado (lato sensu), em campos rochosos (Souza & Bortoluzzi, 2013), a aproximadamente 1.000 m de altitude (CNCFlora, 2013). A expansão das atividades agropecuaristas (Barbosa, 2008), o aumento na frequência dos incêndios (Fiedler et al., 2006), a introdução de espécies exóticas (Ziller, 2001), o turismo desordenado e a mineração (Barbosa, 2008) configuram ameaças em potencial a sua região de ocorrência, e ocasionam o declínio contínuo na EOO, AOO e qualidade do hábitat. Investimentos em pesquisa e expedições à área de distribuição do táxon são necessários a fim de descobrir novas subpopulações e ampliar o conhecimento sobre sua ecologia. Medidas de controle e monitoramento das ameaças são essenciais para a manutenção da viabilidade da espécie na natureza, como também para evitar que sua categoria de risco torne-se ainda mais preocupante em um futuro próximo."
Eriocaulaceae,"Actinocephalus nodifer","(Silveira) Sano",comments,DD,,"Rodrigo Amaro","Luiz Santos","Herbácea endêmica do bioma Cerrado, encontrada na região da Chapada do Couto, no município de Couto de Magalhães de Minas, estado de Minas Gerais (Giulietti et al., 2009; 2013). Conhecida apenas pelo material-tipo (CNCFlora, 2013). É necessário ampliar o conhecimento sobre a espécie, investindo no aumento do esforço de coleta e no levantamento de informações sobre a existência de outras subpopulações, informações de distribuição e ecologia, a fim de possibilitar o entendimento do real estado de conservação da espécie na natureza."
Eriocaulaceae,"Actinocephalus robustus","(Silveira) Sano",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie herbácea endêmica dos arredores da Serra do Cipó, no estado de Minas Gerais (Giulietti et al., 2009; 2013). Ocorre em Campos Rupestres de solo arenoso (CNCFlora, 2013). Tem EOO menor que 5.000 km², AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça em função de suas localidades de ocorrência. Apesar de protegida pelo Parque Nacional da Serra do Cipó, suspeita-se que sofra com o declínio da EOO, AOO e perda de qualidade do hábitat, principalmente pela existência de ameaças como o aumento da incidência de queimadas na região, o turismo e a invasão de espécies exóticas (MMA/ICMBio, 2009)."
Eriocaulaceae,"Actinocephalus stereophyllus","(Ruhland) Sano",comments,EN,"B1ab(iii)+2ab(ii,iii,iv)","Rodrigo Amaro","Luiz Santos","Espécie herbácea endêmica da Cadeia do Espinhaço, de distribuição restrita aos campos arenosos com afloramentos rochosos (CNCFlora, 2013) do Planalto de Diamantina, no estado de Minas Gerais (Giulietti et al., 2009; 2013). Tem EOO de 2.707 km², AOO estimada em 28 km² e está sujeita a menos de cinco situações de ameaça, considerando suas localidades de ocorrência. Suspeita-se que esteja sob a influência do contínuo declínio da AOO, da perda de qualidade do hábitat e da redução de suas subpopulações em decorrência do aumento da frequência dos incêndios de origem antrópica para o manejo do solo na implementação da pecuária (Wanderley et al., 2009; Sano et al., 2010) , bem como pela histórica atividade mineradora na região de Diamantina (Câmara Municipal de Diamantina – MG, 2009)."
Lythraceae,"Diplusodon leucocalycinus",Lourteig,comments,VU,"B1ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Goiás (Cavalcanti & Graham, 2013), é encontrada na região da Chapada dos Veadeiros, nos municípios de Água Fria de Goiás e Alto Paraíso de Goiás (Cavalcanti & Noronha, 2009). Ocorre no domínio Cerrado (Cavalcanti & Graham, 2013), onde se desenvolve em Campos Sujos e Campos Rupestres (Cavalcanti & Noronha, 2009), sobre solo rochoso de encosta de morro e solo areno-pedregoso (CNCFlora, 2013). Tem EOO estimada em 5.235 km² e está sujeita a sete situações de ameaça considerando suas localidades de ocorrência. Apesar de protegida pelo Parque Nacional da Chapada dos Veadeiros (CNCFlora, 2013), em sua área de ocorrência fora do Parque está ameaçada pelas culturas agrícolas, que suprimem intensamente a vegetação nativa (Sano et al., 2010). A pecuária e o aumento da frequência dos incêndios para a formação de pastagens e rebroto do capim (Sano et al., 2010), a presença de espécies invasoras (capim-gordura) (Ziller, 2001) e o turismo estabelecido de forma desordenada também configuram importantes ameaças na área de distribuição da espécie (MMA/ICMBio, 2009). Medidas de controle e monitoramento das ameaças incidentes são necessárias para evitar que o táxon seja categorizado em um grau de risco de maior preocupação em um futuro próximo."
Lythraceae,"Diplusodon nigricans",Koehne,comments,DD,,"Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Goiás (Cavalcanti & Graham, 2013), encontrada na região da Chapada dos Veadeiros, no município de Alto Paraíso de Goiás (Cavalcante & Noronha, 2009) e no Parque Nacional da Chapada dos Veadeiros (CNCFlora, 2013). De ocorrência em Cerrado (Cavalcanti & Graham, 2013), foi coletada em Campos Rupestres (CNCFlora, 2013). A carência de dados acerca da espécie e seu baixo esforço amostral alertam para a necessidade de investimentos em pesquisa e em novos esforços de coleta."
Melastomataceae,"Chaetostoma scoparium",Cogn.,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","Endêmica do estado de Goiás, a espécie é restrita à região da Chapada dos Veadeiros, município de Alto Paraíso de Goiás (Koschnitzke & Martins, 2006). Ocorre em vegetação associada às formações campestres do Cerrado, sendo encontrada em Campos Rupestres, Campo Limpo arenoso, campo com solo rochoso e, em vegetação a beira de rios (CNCFlora, 2013; Martins & Rodrigues, 2014). Apresenta EOO de 209,68 km², AOO estimada em 16 km² e está sujeita a três situações de ameaças considerando suas localidades de ocorrência. As atividades agrícola e pecuária em atual e constante expansão no estado de Goiás, particularmente no município de Alto Paraíso (Souza & Felfili, 2006), representam graves ameaças para a espécie, causando declínio contínuo de EOO e AOO. Além disso, essas atividades resultam em declínio da qualidade do hábitat em função dos impactos indiretos causados pelas atividades agropecuárias, como a invasão de gramíneas exóticas e o aumento na frequência de incêndios (Fiedler et al., 2006). Tendo em vista que não há registro da espécie em área protegida, são necessários investimentos para a busca de novas ocorrências na região e para o desenvolvimento de planos de ação necessários para a sua conservação na natureza."
