"family","scientificName","analysis","assessment","category","criteria"
"Verbenaceae","Lippia diamantinensis","done","comments","LC",""
"Verbenaceae","Lippia lasiocalycina","done","open","LC",""
"Melastomataceae","Cambessedesia cambessedesioides","done","comments","VU","B1ab(i,ii,iii,iv,v)"
"Verbenaceae","Lantana gracilis","done","comments","LC",""
"Fabaceae","Chamaecrista gymnothyrsa","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"Eriocaulaceae","Actinocephalus nodifer","done","comments","DD",""
"Eriocaulaceae","Actinocephalus robustus","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"Eriocaulaceae","Actinocephalus stereophyllus","done","comments","EN","B1ab(iii)+2ab(ii,iii,iv)"
"Lythraceae","Diplusodon leucocalycinus","done","comments","VU","B1ab(i,ii,iii)"
"Lythraceae","Diplusodon nigricans","done","comments","DD",""
"Melastomataceae","Chaetostoma scoparium","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"Verbenaceae","Lippia rubella","done","comments","EN","B2ab(i,ii,iii)"
"Araliaceae","Schefflera lucumoides","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ERIOCAULACEAE","Comanthera pignalii","done","comments","CR","B2ab(i,ii,iii,iv)"
"Fabaceae","Albizia robsonii","done","open","EN","B2ab(i,ii,iii,iv,v);E"
"RUBIACEAE","Bradea borrerioides","done","review","EN","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);D1"
"ERIOCAULACEAE","Syngonanthus incurvifolius","done","review","CR","A2ac;B2ab(i,ii,iii)"
"ERIOCAULACEAE","Syngonanthus vittatus","done","review","EN","B2ab(i,ii,iii)"
"ACANTHACEAE","Justicia clivalis","done","comments","NT",""
"ACANTHACEAE","Poikilacanthus bahiensis","done","comments","NT",""
"ACANTHACEAE","Staurogyne minarum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ACANTHACEAE","Stenandrium goiasense","done","comments","DD",""
"ACANTHACEAE","Stenandrium irwinii","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"ALISMATACEAE","Echinodorus lanceolatus","done","comments","LC",""
"ALSTROEMERIACEAE","Alstroemeria chapadensis","done","comments","EN","B1ab(i,ii,iii)"
"AMARANTHACEAE","Gomphrena hermogenesii","done","comments","VU","B1ab(iii);D2"
"AMARANTHACEAE","Gomphrena hillii","done","comments","EN","B2ab(i,ii,iii,iv)"
"AMARANTHACEAE","Gomphrena marginata","done","comments","EN","B1ab(i,iii,iv)+2ab(ii,iii,iv)"
"ANNONACEAE","Duguetia rotundifolia","done","comments","DD",""
"APOCYNACEAE","Barjonia grazielae","done","comments","EN","B1ab(i,ii,iii)"
"APOCYNACEAE","Blepharodon hatschbachii","done","comments","EN","B1ab(i,ii,iii)"
"APOCYNACEAE","Ditassa emmerichii","done","open","DD",""
"APOCYNACEAE","Ditassa insignis","done","comments","EN","B1ab(i,ii,iii)"
"APOCYNACEAE","Ditassa obscura","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Mandevilla rubra","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Mandevilla semirii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Marsdenia neomanarae","done","comments","EN","B1ab(i,ii,iii)"
"APOCYNACEAE","Marsdenia sessilifolia","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Marsdenia virgultorum","done","comments","DD",""
"APOCYNACEAE","Matelea matogrossensis","done","comments","DD",""
"APOCYNACEAE","Matelea refracta","done","comments","DD",""
"APOCYNACEAE","Minaria campanuliflora","done","comments","CR","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Nephradenia filipes","done","comments","CR","B2ab(i,ii,iii)"
"APOCYNACEAE","Oxypetalum habrogynum","done","comments","CR","B2ab(i,ii,iii)"
"APOCYNACEAE","Oxypetalum helios","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"APOCYNACEAE","Oxypetalum pardense","done","comments","DD",""
"APOCYNACEAE","Rauvolfia ligustrina","done","comments","LC",""
"APOCYNACEAE","Tassadia geniculata","done","comments","EN","B1ab(i,ii,iii)"
"APOCYNACEAE","Tassadia rizzoana","done","comments","CR","B2ab(i,ii,iii)"
"APODANTHACEAE","Apodanthes minarum","done","comments","EN","B2ab(i,ii,iii,iv)"
"AQUIFOLIACEAE","Ilex mucugensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ARACEAE","Anthurium megapetiolatum","done","comments","EN","B2ab(i,ii,iii)"
"ARACEAE","Philodendron cipoense","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"ARACEAE","Philodendron pachyphyllum","done","comments","EN","B2ab(i,ii,iii,iv)"
"ARACEAE","Philodendron rhizomatosum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ARALIACEAE","Schefflera botumirimensis","done","comments","CR","B1ab(i,ii)"
"ARALIACEAE","Schefflera cephalantha","done","comments","CR","B2ab(i,ii,iii)"
"ARALIACEAE","Schefflera fruticosa","done","comments","EN","A4cd;B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ARECACEAE","Attalea pindobassu","done","comments","LC",""
"ARECACEAE","Syagrus werdermannii","done","comments","LC",""
"ASTERACEAE","Aspilia discolor","done","comments","DD",""
"ASTERACEAE","Aspilia goiazensis","done","comments","VU","D2"
"ASTERACEAE","Aspilia hatschbachii","done","comments","DD",""
