family,scientificName,dispersion
RUBIACEAE,"Bradea borrerioides",anemochory
ARECACEAE,"Attalea pindobassu",mamaliochory
POACEAE,"Axonopus aureus",anemochory
VOCHYSIACEAE,"Callisthene erythroclada",anemochory
ANNONACEAE,"Duguetia rotundifolia",zoochory
CALOPHYLLACEAE,"Kielmeyera anisosepala",anemochory
CUNONIACEAE,"Lamanonia brasiliensis",anemochory
BALANOPHORACEAE,"Lophophytum rizzoi",hidrochory
BALANOPHORACEAE,"Lophophytum rizzoi",zoochory
TURNERACEAE,"Piriqueta araguaiana",mimecochory
TURNERACEAE,"Piriqueta caiapoensis",mimecochory
TURNERACEAE,"Piriqueta cristobaliae",mimecochory
TURNERACEAE,"Piriqueta emasensis",mimecochory
TURNERACEAE,"Piriqueta lourteigiae",mimecochory
MYRTACEAE,"Psidium firmum",zoochory
LORANTHACEAE,"Psittacanthus acinarius",zoochory
VOCHYSIACEAE,"Qualea elegans",anemochory
TURNERACEAE,"Turnera cipoensis",mimecochory
VOCHYSIACEAE,"Vochysia petraea",anemochory
VOCHYSIACEAE,"Vochysia pygmaea",anemochory
VOCHYSIACEAE,"Vochysia rotundifolia",anemochory
